id,postcode,lat,lon
1588425,AB30 1WP,56.8973,-2.4498
1588426,AB30 1WQ,56.8965,-2.4513
1588427,AB30 1WR,56.9003,-2.4505
1588428,AB30 1WS,56.8994,-2.4503
1588429,AB30 1WT,56.9025,-2.4516
1588430,AB30 1WU,56.9029,-2.4505
1588431,AB30 1WX,56.9025,-2.4491
1588433,AB30 1XA,56.7859,-2.5035
1588434,AB30 1XB,56.7836,-2.4931
1588435,AB30 1XD,56.7731,-2.4909
1588525,AB30 1XE,56.7838,-2.5136
1588526,AB30 1XG,56.8989,-2.4500
1588527,AB30 1XH,56.9012,-2.4483
1588528,AB30 1XJ,56.7771,-2.4746
1588529,AB30 1XL,56.7761,-2.5095
1588530,AB30 1XN,56.7967,-2.5177
1588531,AB30 1XP,56.8992,-2.4494
1588532,AB30 1XQ,56.8982,-2.4493
1588533,AB30 1XR,56.8996,-2.4507
1588534,AB30 1XS,56.9015,-2.4509
1588535,AB30 1XT,56.9019,-2.4493
1588536,AB30 1XU,56.9003,-2.4486
1588537,AB30 1XW,56.8514,-2.5755
1588538,AB30 1XX,56.8506,-2.5756
1588539,AB30 1XY,56.8499,-2.5727
1588540,AB30 1XZ,56.8500,-2.5750
1588541,AB30 1YA,56.8521,-2.5749
1588542,AB30 1YB,56.8536,-2.5786
1588543,AB30 1YD,56.8422,-2.6024
1588544,AB30 1YF,56.8526,-2.5731
1588545,AB30 1YG,56.8532,-2.5744
1588546,AB30 1YJ,56.8381,-2.6173
1588547,AB30 1YL,56.8285,-2.6046
1588548,AB30 1YN,56.8324,-2.5860
1588549,AB30 1YP,56.8311,-2.5739
1588550,AB30 1YQ,56.8382,-2.5675
1588551,AB30 1YR,56.8072,-2.5615
1588552,AB30 1YS,56.8080,-2.5664
1588553,AB30 1YT,56.8060,-2.5638
1588554,AB30 1YU,56.8514,-2.5757
1588555,AB30 1YW,56.8531,-2.5762
1588556,AB30 1YX,56.8080,-2.5561
1588557,AB30 1YY,56.8532,-2.5765
1588559,AB30 1ZF,56.8357,-2.4628
1588560,AB30 1ZG,56.9006,-2.4467
1588561,AB30 1ZJ,56.8359,-2.4595
1588563,AB30 1ZR,56.8089,-2.5629
1588625,AB30 1DR,56.8526,-2.5855
1588626,AB30 1DS,56.8602,-2.6175
1588627,AB30 1DT,56.8570,-2.6370
1588628,AB30 1DU,56.8504,-2.6265
1588629,AB30 1DW,56.8301,-2.4694
1588630,AB30 1DX,56.8323,-2.4752
1588631,AB30 1DY,56.8352,-2.4971
1588632,AB30 1DZ,56.8483,-2.4720
1588725,AB30 1EA,56.8435,-2.5083
1588726,AB30 1EB,56.8362,-2.5170
1588727,AB30 1ED,56.8424,-2.5204
1588728,AB30 1EE,56.8542,-2.5285
1588729,AB30 1EF,56.8335,-2.4762
1588730,AB30 1EG,56.8269,-2.4704
1588731,AB30 1EH,56.8352,-2.4623
1588732,AB30 1EJ,56.8541,-2.4886
1588733,AB30 1EL,56.8462,-2.4740
1588734,AB30 1EN,56.8552,-2.4743
1588735,AB30 1EP,56.8677,-2.4790
1588736,AB30 1EQ,56.8592,-2.4971
1588737,AB30 1ER,56.8699,-2.5107
1588738,AB30 1ES,56.8579,-2.5202
1588739,AB30 1ET,56.8601,-2.5372
1588740,AB30 1EW,56.8618,-2.4874
1588741,AB30 1EX,56.8661,-2.5398
1588742,AB30 1EY,56.8374,-2.4621
1588743,AB30 1EZ,56.8539,-2.5760
1588744,AB30 1FA,56.8294,-2.4763
1588745,AB30 1FB,56.8374,-2.4712
1588746,AB30 1FD,56.8380,-2.4690
1588747,AB30 1FE,56.8377,-2.4702
1588748,AB30 1FF,56.8331,-2.4651
1588749,AB30 1FG,56.8320,-2.4663
1588750,AB30 1FH,56.8318,-2.4670
1588751,AB30 1FJ,56.8319,-2.4609
1588752,AB30 1FL,56.8332,-2.4624
1588753,AB30 1FN,56.8389,-2.4697
1588754,AB30 1FP,56.8341,-2.4754
1588755,AB30 1FQ,56.8280,-2.4723
1588756,AB30 1FR,56.8545,-2.5758
1588757,AB30 1FS,56.8345,-2.4767
1588758,AB30 1FT,56.8302,-2.4747
