id,postcode,lat,lon
68169,B3 3HA,52.4809,-1.9027
68170,B3 3HB,52.4811,-1.9033
68171,B3 3HD,52.4767,-1.9035
68172,B3 3HE,52.4813,-1.9057
68173,B3 3HF,52.4809,-1.9028
68174,B3 3HG,52.4792,-1.9055
68175,B3 3HH,52.4792,-1.9055
68176,B3 3HJ,52.4802,-1.9065
68177,B3 3HL,52.4811,-1.9033
68178,B3 3HN,52.4815,-1.9054
68179,B3 3HP,52.4791,-1.9057
68180,B3 3HQ,52.4803,-1.9049
68181,B3 3HS,52.4816,-1.9050
68182,B3 3HT,52.4819,-1.9050
68183,B3 3HU,52.4815,-1.9054
68184,B3 3HW,52.4815,-1.9054
68185,B3 3HX,52.4817,-1.9052
68186,B3 3HY,52.4809,-1.9057
68187,B3 3HZ,52.4811,-1.9033
