id,postcode,lat,lon
81221,B5 5LA,52.4819,-1.8883
81222,B5 5LB,52.4818,-1.8895
81223,B5 5LD,52.4821,-1.8875
81224,B5 5LE,52.4826,-1.8882
81225,B5 5LF,52.4818,-1.8880
81226,B5 5LG,52.4817,-1.8868
81227,B5 5LH,52.4809,-1.8895
81228,B5 5LJ,52.4809,-1.8910
81229,B5 5LL,52.4809,-1.8910
81230,B5 5LN,52.4814,-1.8877
81231,B5 5LP,52.4773,-1.8881
81232,B5 5LQ,52.4809,-1.8881
81233,B5 5LR,52.4778,-1.8883
81234,B5 5LS,52.4769,-1.8902
81235,B5 5LT,52.4772,-1.8864
81236,B5 5LU,52.4764,-1.8895
81237,B5 5LY,52.4776,-1.8891
81238,B5 5LZ,52.4769,-1.8902
