id,postcode,lat,lon
82415,B6 6BA,52.5052,-1.8980
82416,B6 6BB,52.5052,-1.8991
82417,B6 6BD,52.5050,-1.8988
82418,B6 6BE,52.4960,-1.8942
82419,B6 6BF,52.4960,-1.8942
82420,B6 6BG,52.5043,-1.8998
82421,B6 6BH,52.4960,-1.8942
82422,B6 6BJ,52.5045,-1.9001
82423,B6 6BL,52.4960,-1.8942
82424,B6 6BN,52.5043,-1.8939
82425,B6 6BP,52.5041,-1.8897
82426,B6 6BQ,52.5075,-1.8782
82427,B6 6BS,52.5046,-1.8933
82428,B6 6BT,52.5053,-1.8966
82429,B6 6BU,52.5047,-1.8974
82430,B6 6BW,52.5041,-1.8897
82431,B6 6BX,52.5055,-1.8957
82432,B6 6BY,52.5049,-1.8984
82433,B6 6BZ,52.5047,-1.8991
