id,postcode,lat,lon
PPL,BELLABEG,57.2,-3.06667
PPL,BELLADRUM,57.44698,-4.46217
PPL,BELLAGHY,54.8087,-6.51918
PPL,BELLANALECK,54.28333,-7.63333
PPL,BELLANOCH,56.07357,-5.53196
PPL,BELLARENA,55.11169,-6.96032
PPL,BELLBUSK,54.00596,-2.1533
ADM4,BELLEAU,53.28882,0.08942
PPL,BELLEEK,54.16667,-6.48333
PPL,BELLEISLE,53.76475,-1.53036
PPL,BELLERBY,54.33132,-1.82478
PPLX,BELLEVALE,53.39213,-2.86022
PPL,BELLEVER,50.58114,-3.90298
PPL,BELLEVUE,54.88333,-2.98333
PPL,BELLINGDON,51.73801,-0.63589
PPL,BELLINGHAM,55.14464,-2.25383
PPL,BELLOCH,56.56667,-5.7
PPL,BELLOCHANTUY,55.53127,-5.70212
PPL,BELLSBANK,55.3131,-4.39869
PPLX,BELLSDYKE,56.04287,-3.75896
PPL,BELLSHILL,55.81667,-4.01667
PPL,BELLUTON,51.3758,-2.56569
PPL,BELLWAY,54.66667,-7.48333
