id,postcode,lat,lon
209962,BN1 2AA,50.8249,-0.1538
209963,BN1 2AB,50.8253,-0.1552
209964,BN1 2AD,50.8251,-0.1534
209965,BN1 2AE,50.8252,-0.1540
209966,BN1 2AF,50.8251,-0.1551
209967,BN1 2AG,50.8263,-0.1408
209968,BN1 2AH,50.8246,-0.1557
209969,BN1 2AJ,50.8249,-0.1502
209970,BN1 2AL,50.8249,-0.1541
209971,BN1 2AN,50.8233,-0.1514
209972,BN1 2AP,50.8233,-0.1514
209973,BN1 2AQ,50.8263,-0.1408
209974,BN1 2AR,50.8263,-0.1408
209975,BN1 2AS,50.8263,-0.1408
209976,BN1 2AT,50.8263,-0.1408
209977,BN1 2AU,50.8234,-0.1493
209978,BN1 2AX,50.8263,-0.1408
209979,BN1 2AY,50.8263,-0.1408
209980,BN1 2AZ,50.8263,-0.1408
209981,BN1 2BA,50.8241,-0.1462
209982,BN1 2BB,50.8244,-0.1488
209983,BN1 2BD,50.8263,-0.1408
209984,BN1 2BE,50.8238,-0.1430
209985,BN1 2BF,50.8233,-0.1514
209986,BN1 2BG,50.8242,-0.1471
209987,BN1 2BH,50.8263,-0.1408
209988,BN1 2BJ,50.8241,-0.1456
209989,BN1 2BL,50.8244,-0.1481
209990,BN1 2BN,50.8240,-0.1564
209991,BN1 2BP,50.8233,-0.1514
209992,BN1 2BQ,50.8263,-0.1408
209993,BN1 2BS,50.8233,-0.1514
209994,BN1 2BT,50.8233,-0.1514
209995,BN1 2BU,50.8263,-0.1408
209996,BN1 2BW,50.8235,-0.1486
209997,BN1 2BX,50.8235,-0.1486
209998,BN1 2BY,50.8263,-0.1408
209999,BN1 2BZ,50.8263,-0.1408
210000,BN1 2DA,50.8247,-0.1503
210001,BN1 2DB,50.8249,-0.1502
210002,BN1 2DD,50.8249,-0.1502
210003,BN1 2DE,50.8249,-0.1502
210004,BN1 2DF,50.8245,-0.1514
210005,BN1 2DG,50.8239,-0.1450
210006,BN1 2DH,50.8234,-0.1517
210007,BN1 2DJ,50.8263,-0.1408
210008,BN1 2DL,50.8234,-0.1517
210009,BN1 2DN,50.8233,-0.1514
210010,BN1 2DP,50.8233,-0.1514
210011,BN1 2DQ,50.8234,-0.1517
210012,BN1 2DR,50.8246,-0.1502
210013,BN1 2DS,50.8246,-0.1502
210014,BN1 2DT,50.8234,-0.1517
210015,BN1 2DU,50.8263,-0.1408
210016,BN1 2DW,50.8217,-0.1458
210017,BN1 2DX,50.8220,-0.1474
210018,BN1 2DY,50.8217,-0.1472
210019,BN1 2DZ,50.8246,-0.1502
210020,BN1 2EA,50.8231,-0.1457
210021,BN1 2EB,50.8238,-0.1474
210022,BN1 2ED,50.8235,-0.1474
210023,BN1 2EE,50.8232,-0.1482
210024,BN1 2EF,50.8228,-0.1483
210025,BN1 2EG,50.8238,-0.1486
210026,BN1 2EH,50.8263,-0.1408
210027,BN1 2EJ,50.8226,-0.1486
210028,BN1 2EL,50.8263,-0.1408
210029,BN1 2EN,50.8235,-0.1472
210030,BN1 2EP,50.8230,-0.1448
