id,postcode,lat,lon
1532225,BR6 9TT,51.3686,0.0915
1532226,BR6 9TU,51.3659,0.0879
1532227,BR6 9TW,51.3645,0.0896
1532228,BR6 9TX,51.3655,0.0890
1532229,BR6 9TY,51.3650,0.0892
1532230,BR6 9TZ,51.3667,0.0893
1532231,BR6 9UB,51.3665,0.0903
1532232,BR6 9UD,51.3672,0.0898
1532233,BR6 9UE,51.3642,0.0911
1532234,BR6 9UF,51.3655,0.0906
1532235,BR6 9UH,51.3642,0.0922
1532236,BR6 9UJ,51.3575,0.1078
1532237,BR6 9UR,51.3730,0.0969
1532239,BR6 9WA,51.3627,0.1046
1532240,BR6 9WB,51.3632,0.1059
1532241,BR6 9WD,51.3622,0.1059
1532242,BR6 9WE,51.3622,0.1039
1532244,BR6 9XA,51.3643,0.0935
1532245,BR6 9XB,51.3639,0.0950
1532246,BR6 9XD,51.3628,0.0966
1532247,BR6 9XE,51.3624,0.0978
1532248,BR6 9XF,51.3638,0.0938
1532249,BR6 9XG,51.3636,0.0945
1532250,BR6 9XH,51.3649,0.0939
1532251,BR6 9XJ,51.3649,0.0946
1532252,BR6 9XL,51.3643,0.0955
1532253,BR6 9XN,51.3637,0.0962
1532254,BR6 9XP,51.3615,0.0988
1532255,BR6 9XQ,51.3616,0.0965
1532256,BR6 9XR,51.3622,0.0961
1532257,BR6 9XS,51.3624,0.0987
1532258,BR6 9XT,51.3633,0.0969
1532259,BR6 9XU,51.3631,0.0930
1532261,BR6 9YE,51.3768,0.0991
1532425,BR6 9DG,51.3617,0.1138
1532426,BR6 9DH,51.3647,0.1132
1532427,BR6 9DJ,51.3599,0.1111
1532428,BR6 9DL,51.3626,0.1115
1532429,BR6 9DN,51.3581,0.1068
1532430,BR6 9DP,51.3625,0.1108
1532431,BR6 9DQ,51.3592,0.1114
1532432,BR6 9DR,51.3692,0.0990
1532433,BR6 9DS,51.3685,0.0995
1532434,BR6 9DT,51.3654,0.1082
1532435,BR6 9DU,51.3665,0.1021
1532436,BR6 9DW,51.3581,0.1076
1532437,BR6 9DX,51.3666,0.1075
1532438,BR6 9DY,51.3660,0.1040
1532439,BR6 9DZ,51.3650,0.1083
1532440,BR6 9EA,51.3649,0.1059
1532441,BR6 9EB,51.3660,0.1077
1532442,BR6 9ED,51.3684,0.1069
1532443,BR6 9EE,51.3677,0.1074
1532444,BR6 9EF,51.3691,0.1038
1532445,BR6 9EG,51.3698,0.1027
1532446,BR6 9EH,51.3699,0.0995
1532447,BR6 9EJ,51.3678,0.0991
1532448,BR6 9EL,51.3678,0.0982
1532449,BR6 9EN,51.3657,0.1018
1532450,BR6 9EP,51.3641,0.1050
1532451,BR6 9EQ,51.3706,0.0991
1532452,BR6 9ER,51.3637,0.1056
1532453,BR6 9ES,51.3625,0.1123
1532454,BR6 9ET,51.3642,0.1089
1532455,BR6 9EU,51.3637,0.1100
1532456,BR6 9EW,51.3655,0.1011
1532457,BR6 9EX,51.3649,0.1035
1532458,BR6 9EY,51.3634,0.1019
1532459,BR6 9EZ,51.3632,0.1026
1532460,BR6 9FB,51.3674,0.1110
1532461,BR6 9HA,51.3625,0.1077
1532462,BR6 9HB,51.3625,0.1071
1532463,BR6 9HD,51.3612,0.1056
1532525,BR6 9HE,51.3608,0.1057
1532526,BR6 9HF,51.3610,0.1105
1532527,BR6 9HG,51.3626,0.1095
1532528,BR6 9HH,51.3614,0.1105
1532529,BR6 9HJ,51.3665,0.0983
1532530,BR6 9HL,51.3662,0.0988
1532531,BR6 9HN,51.3644,0.1009
1532532,BR6 9HP,51.3674,0.0971
1532533,BR6 9HQ,51.3626,0.1089
1532534,BR6 9HR,51.3667,0.0967
1532535,BR6 9HS,51.3661,0.0966
1532536,BR6 9HT,51.3641,0.0989
1532537,BR6 9HU,51.3643,0.0980
1532538,BR6 9HW,51.3645,0.1002
1532539,BR6 9HX,51.3622,0.1004
1532540,BR6 9HY,51.3618,0.1018
1532541,BR6 9HZ,51.3599,0.1049
1532542,BR6 9JA,51.3605,0.1031
1532543,BR6 9JB,51.3592,0.1052
1532544,BR6 9JD,51.3593,0.1074
1532545,BR6 9JE,51.3588,0.1081
1532546,BR6 9JF,51.3602,0.1068
1532547,BR6 9JG,51.3599,0.1079
1532548,BR6 9JH,51.3713,0.0972
1532549,BR6 9JJ,51.3718,0.0965
1532550,BR6 9JL,51.3701,0.0962
1532551,BR6 9JN,51.3686,0.0964
1532552,BR6 9JQ,51.3593,0.1096
1532554,BR6 9JT,51.3663,0.0915
1532555,BR6 9JU,51.3625,0.0951
1532556,BR6 9JW,51.3668,0.0954
1532557,BR6 9JY,51.3636,0.0916
1532558,BR6 9JZ,51.3621,0.0902
1532559,BR6 9LA,51.3633,0.0909
1532560,BR6 9LB,51.3650,0.0930
1532561,BR6 9LD,51.3626,0.0894
1532562,BR6 9LE,51.3619,0.0935
1532563,BR6 9LF,51.3616,0.0931
1532564,BR6 9LG,51.3608,0.0961
1532565,BR6 9LH,51.3639,0.0906
1532566,BR6 9LJ,51.3616,0.0906
1532567,BR6 9LL,51.3651,0.1051
1532568,BR6 9LN,51.3607,0.0992
1532569,BR6 9LP,51.3608,0.0881
1532570,BR6 9LQ,51.3604,0.0955
1532571,BR6 9LR,51.3609,0.0885
1532572,BR6 9LS,51.3603,0.0876
1532573,BR6 9LT,51.3609,0.0872
1532574,BR6 9LU,51.3625,0.0858
1532575,BR6 9LW,51.3604,0.0984
1532576,BR6 9LX,51.3631,0.0831
1532577,BR6 9LY,51.3627,0.0833
1532578,BR6 9LZ,51.3618,0.0858
1532579,BR6 9NA,51.3621,0.0838
1532580,BR6 9NB,51.3616,0.0832
1532581,BR6 9ND,51.3608,0.0854
1532582,BR6 9NE,51.3610,0.0835
1532583,BR6 9NF,51.3605,0.0837
1532584,BR6 9NG,51.3597,0.0855
1532585,BR6 9NH,51.3601,0.0867
1532586,BR6 9NJ,51.3598,0.0839
1532587,BR6 9NL,51.3588,0.0866
1532588,BR6 9NN,51.3634,0.0795
1532589,BR6 9NP,51.3646,0.0811
1532590,BR6 9NQ,51.3594,0.0853
1532591,BR6 9NR,51.3625,0.0799
1532592,BR6 9NS,51.3628,0.0802
1532593,BR6 9NT,51.3612,0.0805
1532594,BR6 9NU,51.3607,0.0826
1532595,BR6 9NW,51.3637,0.0787
1532596,BR6 9NX,51.3627,0.0811
1532597,BR6 9NY,51.3616,0.0819
1532598,BR6 9NZ,51.3614,0.0815
1532599,BR6 9PA,51.3633,0.0805
1532600,BR6 9PB,51.3641,0.0829
1532601,BR6 9PD,51.3637,0.0831
1532602,BR6 9PE,51.3633,0.0859
1532603,BR6 9PF,51.3629,0.0858
1532604,BR6 9PG,51.3623,0.0880
1532605,BR6 9PH,51.3648,0.0792
1532606,BR6 9PJ,51.3631,0.0846
1532607,BR6 9PL,51.3612,0.0877
1532608,BR6 9PN,51.3703,0.0879
1532609,BR6 9PP,51.3678,0.0846
1532610,BR6 9PQ,51.3621,0.0875
1532611,BR6 9PR,51.3675,0.0835
1532612,BR6 9PS,51.3663,0.0826
1532613,BR6 9PT,51.3661,0.0813
1532614,BR6 9PU,51.3645,0.0797
1532615,BR6 9PW,51.3693,0.0863
1532616,BR6 9PX,51.3660,0.0832
1532617,BR6 9PY,51.3653,0.0822
1532618,BR6 9PZ,51.3650,0.0819
1532619,BR6 9QA,51.3654,0.0842
1532620,BR6 9QB,51.3652,0.0848
1532621,BR6 9QD,51.3619,0.0792
1532622,BR6 9QE,51.3673,0.0850
1532623,BR6 9QF,51.3674,0.0863
1532624,BR6 9QG,51.3681,0.0870
1532661,BR6 9QH,51.3696,0.0880
1532662,BR6 9QJ,51.3691,0.0900
1532663,BR6 9QL,51.3685,0.0895
1532664,BR6 9QN,51.3683,0.0889
1532665,BR6 9QP,51.3666,0.0864
