id,postcode,lat,lon
314768,BT26 6AA,54.4664,-6.0835
314769,BT26 6AB,54.4637,-6.0834
314770,BT26 6AD,54.4629,-6.0836
314771,BT26 6AE,54.4620,-6.0837
314772,BT26 6AF,54.4357,-5.9980
314773,BT26 6AG,54.4609,-6.0841
314774,BT26 6AH,54.4599,-6.0848
314775,BT26 6AJ,54.4627,-6.0823
314776,BT26 6AL,54.4593,-6.0848
314777,BT26 6AN,54.4666,-6.0725
314778,BT26 6AP,54.4629,-6.0816
314779,BT26 6AQ,54.4602,-6.0848
314780,BT26 6AR,54.4641,-6.0792
314781,BT26 6AS,54.4647,-6.0766
314782,BT26 6AT,54.4640,-6.0754
314783,BT26 6AU,54.4647,-6.0752
314784,BT26 6AW,54.4631,-6.0821
314785,BT26 6AX,54.4642,-6.0817
314786,BT26 6AY,54.4632,-6.0750
314787,BT26 6AZ,54.4634,-6.0734
314788,BT26 6BA,54.4637,-6.0745
314789,BT26 6BB,54.4581,-6.0614
314790,BT26 6BD,54.4514,-6.0468
314791,BT26 6BE,54.4544,-6.0467
314792,BT26 6BF,54.4492,-6.0363
314793,BT26 6BG,54.4442,-6.0231
314794,BT26 6BH,54.4394,-6.0079
314795,BT26 6BJ,54.4323,-6.0046
314796,BT26 6BL,54.4254,-5.9843
314797,BT26 6BN,54.4274,-6.0063
314798,BT26 6BP,54.4362,-5.9957
314799,BT26 6BQ,54.4410,-6.0196
314800,BT26 6BS,54.4364,-5.9998
314801,BT26 6BT,54.4323,-5.9700
314802,BT26 6BU,54.4270,-5.9739
314803,BT26 6BW,54.4218,-5.9993
314804,BT26 6BX,54.4285,-5.9608
314805,BT26 6BY,54.4247,-5.9545
314806,BT26 6BZ,54.4173,-5.9486
314807,BT26 6DA,54.4189,-5.9582
314808,BT26 6DB,54.4316,-5.9895
314809,BT26 6DD,54.4657,-6.0673
314810,BT26 6DE,54.4671,-6.0724
314811,BT26 6DF,54.4347,-5.9964
314812,BT26 6DG,54.4638,-6.0724
314813,BT26 6DH,54.4348,-6.0011
314814,BT26 6DJ,54.4660,-6.0727
314815,BT26 6DL,54.4655,-6.1331
314816,BT26 6DN,54.4650,-6.0725
314817,BT26 6DP,54.4559,-6.0799
314818,BT26 6DQ,54.4676,-6.0700
314819,BT26 6DR,54.4544,-6.0748
314820,BT26 6DS,54.4517,-6.0724
314821,BT26 6DT,54.4571,-6.0816
314822,BT26 6DU,54.4631,-6.0927
314823,BT26 6DW,54.4652,-6.0740
