id,postcode,lat,lon
1483025,CB8 9HW,52.1706,0.5159
1483026,CB8 9HX,52.1510,0.4893
1483027,CB8 9HY,52.1581,0.5018
1483028,CB8 9HZ,52.1550,0.5025
1483029,CB8 9JA,52.1656,0.4809
1483030,CB8 9JB,52.1703,0.4789
1483031,CB8 9JD,52.2233,0.4172
1483032,CB8 9JR,52.2398,0.3988
1483033,CB8 9JS,52.2404,0.3991
1483034,CB8 9JT,52.2295,0.3937
1483036,CB8 9JW,52.2390,0.3979
1483037,CB8 9JX,52.1586,0.3916
1483038,CB8 9JY,52.1547,0.3990
1483039,CB8 9JZ,52.1518,0.3984
1483041,CB8 9LD,52.1486,0.4019
1483042,CB8 9LE,52.1390,0.3985
1483043,CB8 9LF,52.1556,0.4043
1483044,CB8 9LG,52.1541,0.4330
1483045,CB8 9LH,52.1516,0.4373
1483046,CB8 9LJ,52.1574,0.4379
1483047,CB8 9LL,52.1512,0.4360
1483048,CB8 9LN,52.1501,0.4349
1483049,CB8 9LP,52.1467,0.4431
1483050,CB8 9LQ,52.1514,0.4391
1483051,CB8 9LR,52.1462,0.4441
1483052,CB8 9LS,52.1509,0.4418
1483053,CB8 9LT,52.1507,0.4449
1483054,CB8 9LU,52.1556,0.4632
1483055,CB8 9LW,52.1494,0.4407
1483056,CB8 9LX,52.1630,0.4194
1483057,CB8 9LY,52.1729,0.3914
1483058,CB8 9NA,52.1728,0.3909
1483059,CB8 9NB,52.1742,0.3954
1483060,CB8 9ND,52.1735,0.3955
1483061,CB8 9NE,52.1817,0.3857
1483062,CB8 9NF,52.1735,0.3927
1483063,CB8 9NG,52.1721,0.3969
1483064,CB8 9NH,52.1751,0.3930
1483065,CB8 9NJ,52.1721,0.3929
1483066,CB8 9NQ,52.1718,0.3951
1483067,CB8 9NR,52.1506,0.4385
1483068,CB8 9PA,52.1894,0.4662
1483069,CB8 9PB,52.1839,0.4697
1483070,CB8 9PD,52.1791,0.4632
1483071,CB8 9PE,52.1755,0.4614
1483072,CB8 9PF,52.1794,0.4594
1483073,CB8 9PG,52.1781,0.4555
1483074,CB8 9PH,52.2000,0.4869
1483075,CB8 9PJ,52.1983,0.4867
1483076,CB8 9PL,52.2117,0.4866
1483077,CB8 9PN,52.1934,0.5124
1483078,CB8 9PP,52.1903,0.5214
1483079,CB8 9PQ,52.1924,0.4753
1483080,CB8 9PR,52.1877,0.5246
1483081,CB8 9PS,52.1813,0.5305
1483082,CB8 9PT,52.1942,0.5165
1483083,CB8 9PU,52.1918,0.5180
1483084,CB8 9PW,52.1924,0.5159
1483085,CB8 9PX,52.1899,0.5268
1483086,CB8 9PY,52.1895,0.5266
1483087,CB8 9PZ,52.1823,0.5097
1483088,CB8 9QA,52.1658,0.5052
1483089,CB8 9QB,52.1635,0.5057
1483090,CB8 9QD,52.1592,0.5063
1483091,CB8 9QE,52.1606,0.5181
1483092,CB8 9QF,52.1613,0.5040
1483093,CB8 9QG,52.1583,0.5069
1483094,CB8 9QH,52.1580,0.5077
1483095,CB8 9QQ,52.1565,0.5077
1483096,CB8 9RA,52.2089,0.4643
1483097,CB8 9RB,52.2101,0.4667
1483098,CB8 9RD,52.2113,0.4708
1483099,CB8 9RE,52.2128,0.4706
1483100,CB8 9RF,52.2134,0.4751
1483101,CB8 9RG,52.2146,0.4635
1483102,CB8 9RH,52.2157,0.4643
1483103,CB8 9RJ,52.2154,0.4621
1483104,CB8 9RL,52.2148,0.4607
1483105,CB8 9RN,52.2063,0.4594
1483106,CB8 9RP,52.2056,0.4574
1483107,CB8 9RQ,52.2131,0.4623
1483108,CB8 9RR,52.2047,0.4580
1483109,CB8 9RS,52.2079,0.4550
1483110,CB8 9RT,52.2089,0.4513
1483111,CB8 9RU,52.2096,0.4518
1483112,CB8 9RW,52.2064,0.4589
1483113,CB8 9RX,52.2079,0.4497
1483114,CB8 9RY,52.2039,0.4424
1483115,CB8 9RZ,52.2004,0.4397
1483116,CB8 9SA,52.2007,0.4364
1483117,CB8 9SD,52.2041,0.4338
1483118,CB8 9SE,52.2057,0.4263
1483119,CB8 9SF,52.2053,0.4259
1483120,CB8 9SG,52.1988,0.4285
1483128,CB8 9SH,52.1974,0.4295
1483129,CB8 9SP,52.1968,0.4216
1483130,CB8 9SQ,52.1967,0.4264
1483131,CB8 9SR,52.1950,0.4315
1483132,CB8 9SS,52.1871,0.4451
1483133,CB8 9ST,52.2124,0.4695
1483134,CB8 9SU,52.2147,0.4626
1483135,CB8 9SW,52.1956,0.4236
1483136,CB8 9SX,52.2139,0.4517
1483137,CB8 9TH,52.2011,0.3999
1483138,CB8 9TJ,52.2012,0.3991
1483139,CB8 9TL,52.2008,0.3988
1483140,CB8 9TN,52.2056,0.4012
1483141,CB8 9TP,52.1984,0.3982
1483142,CB8 9TR,52.1990,0.3955
1483143,CB8 9TS,52.1986,0.4012
1483144,CB8 9TT,52.1991,0.4022
1483145,CB8 9TX,52.1897,0.4165
1483146,CB8 9TY,52.1797,0.4318
1483147,CB8 9TZ,52.2003,0.4009
1483148,CB8 9UA,52.1999,0.3984
1483149,CB8 9UH,52.1954,0.3943
1483150,CB8 9UJ,52.1948,0.3897
1483151,CB8 9UL,52.1951,0.3929
1483152,CB8 9UP,52.1963,0.3784
1483153,CB8 9UR,52.1958,0.3823
1483154,CB8 9UT,52.2023,0.3624
1483155,CB8 9UW,52.1921,0.3843
1483156,CB8 9UY,52.1977,0.3715
1483157,CB8 9UZ,52.2001,0.3769
1483158,CB8 9WA,52.1829,0.4891
1483159,CB8 9WH,52.1617,0.3882
1483160,CB8 9WL,52.2424,0.4026
1483161,CB8 9WR,52.2427,0.4022
1483163,CB8 9WT,52.2377,0.4059
1483164,CB8 9XA,52.2002,0.3757
1483165,CB8 9XB,52.2031,0.3818
1483166,CB8 9XD,52.1942,0.3858
1483167,CB8 9XE,52.1935,0.3846
1483168,CB8 9XF,52.1781,0.3946
1483169,CB8 9XG,52.1818,0.4037
1483170,CB8 9XH,52.1923,0.3934
1483171,CB8 9XJ,52.1954,0.3895
1483172,CB8 9XL,52.1962,0.3940
1483173,CB8 9XN,52.1955,0.3928
1483174,CB8 9XP,52.1940,0.3679
1483175,CB8 9XS,52.1955,0.3909
1483176,CB8 9XX,52.1413,0.5193
1483177,CB8 9XZ,52.1404,0.5181
1483178,CB8 9YA,52.1396,0.5167
1483179,CB8 9YB,52.1392,0.5184
1483180,CB8 9YD,52.1395,0.5192
1483181,CB8 9YE,52.1399,0.5180
1483182,CB8 9YF,52.1384,0.5046
1483183,CB8 9YG,52.1372,0.5142
1483184,CB8 9YH,52.2429,0.4042
1483185,CB8 9YL,52.1389,0.5073
1483186,CB8 9YN,52.1398,0.5129
1483187,CB8 9ZR,52.2429,0.4042
1483188,CB8 9ZS,52.2429,0.4042
1483348,CB8 9AA,52.2421,0.4035
1483349,CB8 9AE,52.2418,0.4009
1483350,CB8 9AF,52.2423,0.4014
1483351,CB8 9AG,52.2414,0.4004
1483352,CB8 9AH,52.2413,0.4005
1483353,CB8 9AJ,52.2424,0.4017
1483354,CB8 9AP,52.2419,0.4002
1483355,CB8 9AQ,52.2427,0.4022
1483356,CB8 9AS,52.2410,0.3992
1483357,CB8 9AT,52.2411,0.3995
1483358,CB8 9AU,52.2414,0.4011
1483359,CB8 9AW,52.2430,0.4015
1483360,CB8 9AX,52.2419,0.4029
1483361,CB8 9AY,52.2399,0.4067
1483362,CB8 9AZ,52.2423,0.4043
1483363,CB8 9BA,52.2392,0.4072
1483364,CB8 9BB,52.2388,0.4057
1483365,CB8 9BE,52.2371,0.4037
1483366,CB8 9BG,52.2370,0.4057
1483367,CB8 9BH,52.2359,0.4004
1483368,CB8 9BJ,52.2346,0.4031
1483369,CB8 9BL,52.2387,0.4062
1483370,CB8 9BN,52.2389,0.4078
1483371,CB8 9BP,52.2408,0.3990
1483372,CB8 9BQ,52.2340,0.4045
1483373,CB8 9BT,52.2419,0.4012
1483374,CB8 9BU,52.2391,0.3990
1483375,CB8 9BZ,52.2405,0.3999
1483376,CB8 9DB,52.2167,0.4413
1483377,CB8 9DD,52.2240,0.4415
1483378,CB8 9DE,52.2209,0.4463
1483379,CB8 9DF,52.2216,0.4602
1483380,CB8 9DG,52.2194,0.4642
1483381,CB8 9DH,52.2195,0.4653
1483382,CB8 9DJ,52.2201,0.4659
1483383,CB8 9DL,52.2236,0.4647
1483384,CB8 9DN,52.2292,0.4665
1483385,CB8 9DP,52.2276,0.4673
1483386,CB8 9DQ,52.2257,0.4648
1483387,CB8 9DR,52.2263,0.4825
1483388,CB8 9DS,52.2268,0.4842
1483389,CB8 9DT,52.2361,0.4061
1483390,CB8 9DU,52.2268,0.4865
1483391,CB8 9DW,52.2320,0.4712
1483392,CB8 9DX,52.2246,0.4838
1483393,CB8 9DY,52.2241,0.4830
1483394,CB8 9DZ,52.2242,0.4856
1483395,CB8 9EA,52.2250,0.4850
1483396,CB8 9EB,52.2260,0.4847
1483397,CB8 9ED,52.2263,0.4851
1483398,CB8 9EE,52.2293,0.4827
1483399,CB8 9EF,52.2284,0.4929
1483400,CB8 9EG,52.2279,0.4932
1483401,CB8 9EH,52.2322,0.4482
1483402,CB8 9EJ,52.2332,0.4572
1483403,CB8 9EN,52.2216,0.4612
1483404,CB8 9EP,52.2229,0.4611
1483405,CB8 9EQ,52.2283,0.4640
1483406,CB8 9EW,52.2229,0.4641
1483407,CB8 9FD,52.2429,0.4042
1483409,CB8 9HA,52.1564,0.4896
1483410,CB8 9HB,52.2313,0.4284
1483411,CB8 9HD,52.2201,0.4339
1483412,CB8 9HE,52.2200,0.4316
1483413,CB8 9HF,52.2211,0.4263
1483414,CB8 9HG,52.2141,0.4482
1483415,CB8 9HH,52.1732,0.4676
1483416,CB8 9HJ,52.1786,0.4771
1483417,CB8 9HL,52.1861,0.4723
1483418,CB8 9HN,52.1771,0.5052
1483419,CB8 9HP,52.1755,0.5212
1483420,CB8 9HQ,52.1988,0.4636
1483421,CB8 9HR,52.1509,0.5165
1483422,CB8 9HS,52.1391,0.5100
1483423,CB8 9HT,52.1440,0.5027
1483424,CB8 9HU,52.1637,0.4906
1758903,CB8 9ER,52.1723,0.3937
1758904,CB8 9ET,52.1477,0.4316
2611321,CB8 9EX,52.1391,0.5018
2611322,CB8 9EZ,52.1391,0.5018
2621929,CB8 9EU,52.2159,0.4651
2623750,CB8 9EY,52.2431,0.4026
2623751,CB8 9JJ,52.1440,0.5027
2634260,CB8 9FF,52.2022,0.3624
2650407,CB8 9FG,52.2119,0.4625
2650408,CB8 9FY,52.2057,0.4591
2662255,CB8 9FA,52.2379,0.4818
