id,postcode,lat,lon
1472027,CF36 9AQ,51.4790,-3.7060
1472030,CF36 9BB,51.4790,-3.7060
1472033,CF36 9BN,51.4790,-3.7060
1472034,CF36 9BP,51.4790,-3.7060
1472038,CF36 9BU,51.4790,-3.7060
1472125,CF36 3UU,51.4878,-3.7185
1472126,CF36 3UW,51.4917,-3.7263
1472127,CF36 3WZ,51.4790,-3.7060
1472128,CF36 3XB,51.4787,-3.7028
1472228,CF36 3YA,51.4779,-3.7050
1472229,CF36 3YE,51.4765,-3.7048
1472230,CF36 3YG,51.4769,-3.7058
1472231,CF36 3YJ,51.4790,-3.7060
1472232,CF36 3YL,51.4772,-3.7055
1472233,CF36 3YN,51.4781,-3.7054
1472234,CF36 3YR,51.4758,-3.7040
1472235,CF36 3YS,51.4778,-3.7063
1472236,CF36 3YT,51.4782,-3.7067
1472237,CF36 3YU,51.4772,-3.7067
1472238,CF36 3YW,51.4766,-3.7067
1472239,CF36 3YY,51.4781,-3.7076
1472243,CF36 5AA,51.4875,-3.6729
1472244,CF36 5AB,51.4875,-3.6686
1472245,CF36 5AD,51.4875,-3.6679
1472246,CF36 5AE,51.4867,-3.6680
1472247,CF36 5AF,51.4870,-3.6675
1472248,CF36 5AG,51.4870,-3.6745
1472249,CF36 5AH,51.4868,-3.6737
1472250,CF36 5AJ,51.4833,-3.6706
1472251,CF36 5AL,51.4868,-3.6756
1472252,CF36 5AN,51.4845,-3.6728
1472253,CF36 5AP,51.4860,-3.6693
1472254,CF36 5AQ,51.4844,-3.6715
1472255,CF36 5AR,51.4857,-3.6679
1472256,CF36 5AS,51.4872,-3.6765
1472257,CF36 5AT,51.4852,-3.6692
1472258,CF36 5AU,51.4845,-3.6694
1472259,CF36 5AW,51.4864,-3.6720
1472260,CF36 5AX,51.4836,-3.6713
1472261,CF36 5AY,51.4852,-3.6682
1472262,CF36 5BA,51.4830,-3.6853
1472263,CF36 5BD,51.4837,-3.6866
1472264,CF36 5BE,51.4835,-3.6854
1472265,CF36 5BF,51.4866,-3.6784
1472266,CF36 5BG,51.4830,-3.6894
1472267,CF36 5BH,51.4827,-3.6891
1472268,CF36 5BJ,51.4824,-3.6725
1472269,CF36 5BL,51.4824,-3.6923
1472270,CF36 5BN,51.4828,-3.6922
1472271,CF36 5BP,51.4814,-3.6950
1472272,CF36 5BQ,51.4829,-3.6715
1472273,CF36 5BS,51.4810,-3.6946
1472274,CF36 5BT,51.4794,-3.6954
1472275,CF36 5BW,51.4816,-3.6944
1472276,CF36 5BX,51.4823,-3.6714
1472277,CF36 5BY,51.4789,-3.6961
1472278,CF36 5BZ,51.4839,-3.6693
