id,postcode,lat,lon
441190,CH1 6AA,53.2210,-2.9608
441191,CH1 6AB,53.2246,-2.9540
441192,CH1 6AD,53.2221,-2.9519
441193,CH1 6AE,53.2114,-2.9412
441194,CH1 6AF,53.2138,-2.9445
441195,CH1 6AG,53.2169,-2.9478
441196,CH1 6AH,53.2237,-2.9518
441197,CH1 6AJ,53.2147,-2.9437
441198,CH1 6AL,53.2159,-2.9445
441199,CH1 6AN,53.2231,-2.9506
441200,CH1 6AP,53.2216,-2.9529
441201,CH1 6AQ,53.2202,-2.9545
441202,CH1 6AR,53.2204,-2.9534
441203,CH1 6AS,53.2202,-2.9513
441204,CH1 6AT,53.2236,-2.9538
441205,CH1 6AU,53.2208,-2.9586
441206,CH1 6AW,53.2219,-2.9495
441207,CH1 6AX,53.2227,-2.9515
441208,CH1 6AY,53.2224,-2.9553
441209,CH1 6AZ,53.2233,-2.9556
441210,CH1 6BA,53.2085,-2.9686
441211,CH1 6BB,53.1992,-2.9683
441212,CH1 6BD,53.2229,-2.9536
441213,CH1 6BE,53.2223,-2.9582
441214,CH1 6BF,53.2246,-2.9538
441215,CH1 6BG,53.2216,-2.9583
441216,CH1 6BH,53.2229,-2.9583
441217,CH1 6BJ,53.2217,-2.9621
441218,CH1 6BL,53.2148,-2.9643
441219,CH1 6BP,53.1990,-2.9682
441220,CH1 6BQ,53.2027,-2.9762
441221,CH1 6BR,53.2115,-2.9689
441222,CH1 6BS,53.2022,-2.9485
441223,CH1 6BT,53.2053,-2.9587
441224,CH1 6BU,53.2221,-2.9545
441225,CH1 6BW,53.2242,-2.9529
441226,CH1 6BX,53.1959,-2.9583
441227,CH1 6BY,53.2094,-2.9702
441228,CH1 6BZ,53.2058,-2.9733
441229,CH1 6DA,53.2214,-2.9539
441230,CH1 6DB,53.2245,-2.9558
441231,CH1 6DD,53.1993,-2.9681
441232,CH1 6DE,53.2251,-2.9385
441233,CH1 6DF,53.2259,-2.9379
441234,CH1 6DG,53.2249,-2.9548
441235,CH1 6DH,53.2280,-2.9461
441236,CH1 6DJ,53.1977,-2.9639
441237,CH1 6DL,53.2282,-2.9506
441238,CH1 6DN,53.2313,-2.9487
441239,CH1 6DP,53.2294,-2.9511
441240,CH1 6DQ,53.2235,-2.9568
441241,CH1 6DR,53.2297,-2.9508
441242,CH1 6DS,53.2299,-2.9505
441243,CH1 6DT,53.2293,-2.9536
441244,CH1 6DU,53.2216,-2.9607
441245,CH1 6DW,53.2343,-2.9449
441246,CH1 6DX,53.2287,-2.9541
441247,CH1 6DY,53.2297,-2.9541
441248,CH1 6DZ,53.2280,-2.9555
441249,CH1 6EA,53.2401,-2.9036
441250,CH1 6EB,53.2052,-2.9581
441251,CH1 6ED,53.2243,-2.9569
441252,CH1 6EE,53.2216,-2.9596
441253,CH1 6EF,53.2241,-2.9579
441254,CH1 6EG,53.2258,-2.9519
441255,CH1 6EH,53.2602,-2.9481
441256,CH1 6EJ,53.2259,-2.9537
441257,CH1 6EL,53.2278,-2.9514
441258,CH1 6EN,53.2237,-2.9584
441259,CH1 6EP,53.2253,-2.9565
441260,CH1 6EQ,53.2264,-2.9527
441261,CH1 6ER,53.2635,-2.9521
441262,CH1 6ES,53.2596,-2.9488
441263,CH1 6ET,53.2246,-2.9581
441264,CH1 6EU,53.2272,-2.9524
441265,CH1 6EW,53.2279,-2.9540
441266,CH1 6EX,53.2515,-2.9676
441267,CH1 6EY,53.2442,-2.9589
441268,CH1 6EZ,53.2583,-2.9762
441269,CH1 6FA,53.2286,-2.9560
441270,CH1 6FB,53.2269,-2.9562
441271,CH1 6FD,53.2285,-2.9566
441272,CH1 6GA,53.2260,-2.9632
441273,CH1 6HA,53.2158,-2.9663
441274,CH1 6HB,53.2155,-2.9665
441275,CH1 6HD,53.2359,-2.9605
441276,CH1 6HE,53.2563,-2.9545
441277,CH1 6HF,53.2544,-2.9573
441278,CH1 6HG,53.2572,-2.9528
441279,CH1 6HH,53.2151,-2.9654
441280,CH1 6HJ,53.2562,-2.9518
441281,CH1 6HL,53.2580,-2.9519
441282,CH1 6HN,53.2587,-2.9542
441283,CH1 6HQ,53.2588,-2.9452
441284,CH1 6HS,53.2575,-2.9773
441285,CH1 6HT,53.2580,-2.9778
441286,CH1 6HU,53.2395,-2.9878
441287,CH1 6HW,53.2604,-2.9540
441288,CH1 6HX,53.2392,-2.9940
441289,CH1 6HY,53.2464,-2.9778
441290,CH1 6HZ,53.2396,-2.9955
441291,CH1 6JA,53.2268,-2.9262
441292,CH1 6JB,53.2406,-2.9937
441293,CH1 6JD,53.2441,-2.9769
441294,CH1 6JH,53.2486,-2.9678
441295,CH1 6JJ,53.2374,-2.9806
441296,CH1 6JL,53.2315,-2.9632
441297,CH1 6JP,53.2294,-2.9554
441298,CH1 6JS,53.2334,-2.9429
441299,CH1 6JU,53.2282,-2.9376
441300,CH1 6JX,53.2295,-2.9390
441301,CH1 6JZ,53.2389,-2.9655
441302,CH1 6LA,53.2277,-2.9225
441303,CH1 6LB,53.2289,-2.9272
441304,CH1 6LD,53.2284,-2.9197
441305,CH1 6LE,53.2280,-2.9197
441306,CH1 6LF,53.2315,-2.9214
441307,CH1 6LG,53.2359,-2.9225
441308,CH1 6LH,53.2424,-2.9485
441309,CH1 6LJ,53.2378,-2.9397
441310,CH1 6LL,53.2401,-2.9371
441311,CH1 6LN,53.2384,-2.9201
441312,CH1 6LP,53.2411,-2.9201
441313,CH1 6LQ,53.2319,-2.9194
441314,CH1 6LR,53.2455,-2.9275
441315,CH1 6LS,53.2267,-2.9204
441316,CH1 6LT,53.2471,-2.9320
441317,CH1 6LU,53.2527,-2.9386
441318,CH1 6LW,53.2285,-2.9205
441319,CH1 6LX,53.2518,-2.9346
441320,CH1 6LY,53.2512,-2.9271
441321,CH1 6LZ,53.2495,-2.9300
441322,CH1 6NA,53.2513,-2.9277
441323,CH1 6ND,53.2201,-2.9166
441324,CH1 6NE,53.2193,-2.9238
441325,CH1 6NF,53.2172,-2.9195
441326,CH1 6NG,53.2151,-2.9130
441327,CH1 6NH,53.2239,-2.9263
441328,CH1 6NJ,53.2233,-2.9210
441329,CH1 6NL,53.2242,-2.9220
441330,CH1 6NN,53.2168,-2.9182
441331,CH1 6NP,53.2181,-2.9181
441332,CH1 6NQ,53.2181,-2.9189
441333,CH1 6NR,53.2255,-2.9203
441334,CH1 6NS,53.2205,-2.9202
441335,CH1 6NT,53.2339,-2.9106
441336,CH1 6NU,53.2361,-2.9113
441337,CH1 6NW,53.2251,-2.9206
441338,CH1 6NX,53.2344,-2.9086
441339,CH1 6NY,53.2175,-2.9179
441340,CH1 6NZ,53.2356,-2.9101
441341,CH1 6PA,53.2541,-2.9206
441342,CH1 6PB,53.2540,-2.9215
441343,CH1 6PD,53.2545,-2.9227
441344,CH1 6PE,53.2509,-2.9169
441345,CH1 6PF,53.2347,-2.9034
441346,CH1 6PG,53.2564,-2.9088
441347,CH1 6PH,53.2554,-2.9095
441348,CH1 6PJ,53.2558,-2.9103
441349,CH1 6PL,53.2468,-2.9068
441350,CH1 6PN,53.2558,-2.9114
441351,CH1 6PP,53.2178,-2.9178
441352,CH1 6PQ,53.2571,-2.9081
441353,CH1 6PW,53.2368,-2.9146
441354,CH1 6PX,53.2401,-2.9036
441355,CH1 6PZ,53.2401,-2.9036
441356,CH1 6QA,53.2224,-2.9598
441357,CH1 6QB,53.1863,-2.9450
441358,CH1 6QD,53.2406,-2.9035
