id,postcode,lat,lon
ADM2,CITYANDBOROUGHOFBIRMINGHAM,52.4805,-1.8982
ADM2,CITYANDBOROUGHOFLEEDS,53.7964,-1.5477
ADM2,CITYANDBOROUGHOFSALFORD,53.5000,-2.3333
ADM2,CITYANDBOROUGHOFWAKEFIELD,53.6808,-1.4990
ADM2,CITYANDCOUNTYOFSWANSEA,51.5833,-4.0000
ADM3,CITYANDDISTRICTOFSTALBANS,51.7701,-0.3325
ADM2,CITYOFBELFAST,54.5833,-5.9167
ADM2,CITYOFBRISTOL,51.4500,-2.6000
ADM3,CITYOFCANTERBURY,51.2796,1.0808
ADM2H,CITYOFDERRY,55.0000,-7.2500
ADM2,CITYOFEDINBURGH,55.9497,-3.1933
ADM2,CITYOFKINGSTONUPONHULL,53.7500,-0.3333
ADM2,CITYOFLEICESTER,52.6333,-1.1333
ADM3,CITYOFLONDON,51.5133,-0.0890
PPLA3,CITYOFWESTMINSTER,51.4975,-0.1357
ADM2,CITYOFYORK,53.9640,-1.0914
