id,postcode,lat,lon
PPL,CLAYBROOKEMAGNA,52.49346,-1.27712
PPL,CLAYBROOKEPARVA,52.4869,-1.27443
ADM4,CLAYCOTON,52.38864,-1.12875
PPL,CLAYCROSS,53.16671,-1.41252
PPL,CLAYDON,52.10672,1.11134
ADM4,CLAYDONWITHCLATTERCOT,52.15024,-1.3276
PPL,CLAYGATE,51.36021,-0.34075
PPLX,CLAYHALL,51.58505,0.05211
ADM4,CLAYHANGER,51.0028,-3.39749
ADM4,CLAYHIDON,50.91372,-3.19625
PPLX,CLAYMILLS,52.83871,-1.61478
PPL,CLAYPITS,51.75333,-2.34111
PPL,CLAYPOLE,53.03144,-0.73407
PPL,CLAYTHORPE,53.29016,0.11982
PPLA3,CLAYTON,53.76667,-1.81667
ADM4,CLAYTONLEDALE,53.80004,-2.50548
PPL,CLAYTONLEMOORS,53.76667,-2.38333
PPL,CLAYTONLEWOODS,53.69689,-2.66818
PPL,CLAYTONWEST,53.59501,-1.61107
ADM3,CLAYTONWITHFRICKLEY,53.56744,-1.31595
PPL,CLAYWORTH,53.3859,-0.90681
