id,postcode,lat,lon
PPL,COLL,58.26685,-6.32562
PPL,COLLACE,56.47696,-3.29387
PPL,COLLATONSTMARY,50.42904,-3.59862
PPLX,COLLEGE,51.43599,-0.07712
PPLX,COLLEGEPARKANDOLDOAK,51.52203,-0.2377
PPL,COLLESSIE,56.30655,-3.15475
PPLX,COLLIERROW,51.59893,0.166
ADM4,COLLIERSTREET,51.18464,0.45106
PPL,COLLIERSWOOD,51.41634,-0.17612
PPL,COLLIESTON,57.34807,-1.93618
PPL,COLLIN,55.06892,-3.52366
PPL,COLLINGBOURNEDUCIS,51.28516,-1.65252
PPLA3,COLLINGBOURNEKINGSTON,51.30105,-1.65876
PPLA3,COLLINGHAM,53.91167,-1.41174
PPLA3,COLLINGTON,52.25,-2.51667
PPL,COLLINGTREE,52.19298,-0.9032
PPL,COLLINSGREEN,53.43333,-2.66667
PPLX,COLLIPRIEST,50.88547,-3.48842
PPL,COLLISTON,56.59514,-2.64453
PPLX,COLLYHURST,53.49882,-2.22019
PPL,COLLYWESTON,52.61399,-0.52983
