id,postcode,lat,lon
533812,CT2 7AA,51.2909,1.0779
533813,CT2 7AB,51.2917,1.0787
533814,CT2 7AD,51.2924,1.0798
533815,CT2 7AE,51.2932,1.0784
533816,CT2 7AF,51.2939,1.0780
533817,CT2 7AG,51.2939,1.0792
533818,CT2 7AH,51.2939,1.0767
533819,CT2 7AJ,51.2938,1.0813
533820,CT2 7AL,51.2949,1.0770
533821,CT2 7AN,51.2947,1.0804
533822,CT2 7AP,51.2941,1.0740
533823,CT2 7AQ,51.2952,1.0789
533824,CT2 7AR,51.2945,1.0753
533825,CT2 7AS,51.2959,1.0743
533826,CT2 7AT,51.2947,1.0744
533827,CT2 7AU,51.2944,1.0748
533828,CT2 7AW,51.2953,1.0798
533829,CT2 7AX,51.2927,1.0768
533830,CT2 7AY,51.2960,1.0766
533831,CT2 7AZ,51.2848,1.0728
533832,CT2 7BA,51.2885,1.0823
533833,CT2 7BB,51.2953,1.0735
533834,CT2 7BD,51.2928,1.0777
533835,CT2 7BE,51.2928,1.0778
533836,CT2 7BF,51.2901,1.0786
533837,CT2 7BG,51.2931,1.0838
533838,CT2 7BH,51.2940,1.0841
533839,CT2 7BJ,51.2951,1.0825
533840,CT2 7BL,51.2957,1.0816
533841,CT2 7BN,51.2962,1.0825
533842,CT2 7BP,51.2878,1.0822
533843,CT2 7BQ,51.2999,1.0710
533844,CT2 7BS,51.2964,1.0813
533845,CT2 7BT,51.2976,1.0817
533846,CT2 7BU,51.2968,1.0825
533847,CT2 7BW,51.2971,1.0818
533848,CT2 7BX,51.2956,1.0844
533849,CT2 7BY,51.2948,1.0834
533850,CT2 7BZ,51.2954,1.0842
533851,CT2 7DA,51.2949,1.0845
533852,CT2 7DB,51.2945,1.0859
533853,CT2 7DD,51.2951,1.0863
533854,CT2 7DE,51.2956,1.0869
533855,CT2 7DF,51.2972,1.0850
533856,CT2 7DG,51.2981,1.0830
533857,CT2 7DH,51.2957,1.0865
533858,CT2 7DJ,51.2963,1.0859
533859,CT2 7DL,51.2969,1.0840
533860,CT2 7DN,51.2976,1.0848
533861,CT2 7DP,51.2969,1.0861
533862,CT2 7DQ,51.2840,1.0737
533863,CT2 7DR,51.2951,1.0880
533864,CT2 7DS,51.2941,1.0867
533865,CT2 7DT,51.2948,1.0867
533866,CT2 7DU,51.2828,1.0773
533867,CT2 7DW,51.2976,1.0857
