id,postcode,lat,lon
1349625,DA8 1NL,51.4764,0.1499
1349626,DA8 1NN,51.4763,0.1486
1349627,DA8 1NP,51.4884,0.1700
1349628,DA8 1NQ,51.4761,0.1478
1349629,DA8 1NR,51.4846,0.1710
1349630,DA8 1NS,51.4866,0.1727
1349631,DA8 1NT,51.4865,0.1730
1349632,DA8 1NU,51.4731,0.1574
1349633,DA8 1NW,51.4763,0.1492
1349634,DA8 1NX,51.4850,0.1704
1349635,DA8 1NY,51.4842,0.1697
1349636,DA8 1NZ,51.4847,0.1683
1349637,DA8 1PA,51.4854,0.1677
1349638,DA8 1PB,51.4855,0.1681
1349639,DA8 1PD,51.4855,0.1693
1349640,DA8 1PE,51.4849,0.1699
1349641,DA8 1PF,51.4828,0.1724
1349642,DA8 1PG,51.4847,0.1665
1349643,DA8 1PH,51.4849,0.1692
1349644,DA8 1PJ,51.4845,0.1677
1349645,DA8 1PL,51.4839,0.1666
1349646,DA8 1PN,51.4860,0.1690
1349647,DA8 1PP,51.4838,0.1659
1349648,DA8 1PQ,51.4891,0.1701
1349649,DA8 1PS,51.4838,0.1644
1349650,DA8 1PT,51.4834,0.1635
1349651,DA8 1PU,51.4838,0.1628
1349652,DA8 1PW,51.4837,0.1700
1349653,DA8 1PX,51.4837,0.1618
1349654,DA8 1PY,51.4829,0.1603
1349655,DA8 1PZ,51.4815,0.1564
1349656,DA8 1QA,51.4830,0.1592
1349657,DA8 1QB,51.4841,0.1607
1349658,DA8 1QD,51.4839,0.1608
1349659,DA8 1QE,51.4816,0.1552
1349660,DA8 1QF,51.4820,0.1573
1349661,DA8 1QG,51.4847,0.1638
1349662,DA8 1QH,51.4833,0.1679
1349663,DA8 1QJ,51.4811,0.1706
1349664,DA8 1QL,51.4819,0.1708
1349665,DA8 1QN,51.4814,0.1570
1349667,DA8 1QR,51.4807,0.1848
1349668,DA8 1QS,51.4821,0.1672
1349669,DA8 1QT,51.4833,0.1655
1349670,DA8 1QU,51.4830,0.1660
1349671,DA8 1QW,51.4812,0.1824
1349672,DA8 1QX,51.4808,0.1662
1349673,DA8 1QY,51.4817,0.1810
1349674,DA8 1RA,51.4814,0.1778
1349675,DA8 1RB,51.4801,0.1790
1349676,DA8 1RE,51.4803,0.1799
1349677,DA8 1RF,51.4802,0.1815
1349678,DA8 1RG,51.4801,0.1809
1349679,DA8 1RN,51.4784,0.1808
1349680,DA8 1RP,51.4790,0.1803
1349681,DA8 1RQ,51.4796,0.1808
1349682,DA8 1RS,51.4814,0.1778
1349683,DA8 1RU,51.4789,0.1797
1349726,DA8 1RX,51.4817,0.1816
1349727,DA8 1RY,51.4775,0.1818
1349728,DA8 1RZ,51.4775,0.1809
1349729,DA8 1SA,51.4814,0.1788
1349730,DA8 1SB,51.4813,0.1801
1349731,DA8 1SD,51.4838,0.1763
1349732,DA8 1SE,51.4803,0.1803
1349733,DA8 1SF,51.4833,0.1772
1349734,DA8 1SH,51.4806,0.1785
1349736,DA8 1SL,51.4791,0.1814
1349737,DA8 1SN,51.4790,0.1814
1349738,DA8 1SP,51.4811,0.1791
1349739,DA8 1SQ,51.4782,0.1803
1349740,DA8 1TA,51.4801,0.1791
1349741,DA8 1TB,51.4803,0.1809
1349742,DA8 1TL,51.4810,0.1778
1349743,DA8 1TU,51.4823,0.1754
1349744,DA8 1TX,51.4826,0.1757
1349745,DA8 1TY,51.4816,0.1753
1349746,DA8 1UA,51.4765,0.1957
1349747,DA8 1UB,51.4765,0.1957
1349748,DA8 1UN,51.4765,0.1957
1349750,DA8 1WJ,51.4765,0.1957
1349751,DA8 1YA,51.4730,0.1530
1349752,DA8 1YB,51.4725,0.1541
1349753,DA8 1YD,51.4728,0.1555
1349754,DA8 1YE,51.4740,0.1545
1349755,DA8 1YF,51.4736,0.1555
1349756,DA8 1YG,51.4743,0.1528
1349757,DA8 1YH,51.4749,0.1533
1349758,DA8 1YJ,51.4730,0.1536
1349759,DA8 1YT,51.4765,0.1957
1349761,DA8 1ZJ,51.4765,0.1957
1349880,DA8 1AB,51.4827,0.1763
1349881,DA8 1AD,51.4831,0.1762
1349882,DA8 1AE,51.4828,0.1771
1349883,DA8 1AF,51.4837,0.1755
1349884,DA8 1AG,51.4846,0.1746
1349885,DA8 1AH,51.4833,0.1749
1349886,DA8 1AJ,51.4839,0.1737
1349887,DA8 1AL,51.4843,0.1733
1349888,DA8 1AN,51.4855,0.1721
1349889,DA8 1AP,51.4868,0.1721
1349890,DA8 1AQ,51.4846,0.1739
1349925,DA8 1AS,51.4859,0.1710
1349926,DA8 1AT,51.4850,0.1722
1349927,DA8 1AU,51.4865,0.1702
1349928,DA8 1AW,51.4860,0.1724
1349929,DA8 1AX,51.4901,0.1635
1349930,DA8 1AY,51.4879,0.1699
1349932,DA8 1BA,51.4797,0.1821
1349933,DA8 1BB,51.4841,0.1764
1349934,DA8 1BD,51.4872,0.1713
1349935,DA8 1BE,51.4843,0.1767
1349936,DA8 1BF,51.4838,0.1772
1349937,DA8 1BG,51.4835,0.1775
1349938,DA8 1BJ,51.4885,0.1662
1349939,DA8 1BL,51.4849,0.1753
1349940,DA8 1BN,51.4864,0.1680
1349941,DA8 1BP,51.4882,0.1652
1349942,DA8 1BQ,51.4850,0.1759
1349943,DA8 1BS,51.4876,0.1674
1349944,DA8 1BT,51.4872,0.1669
1349945,DA8 1BU,51.4865,0.1672
1349946,DA8 1BW,51.4862,0.1671
1349947,DA8 1BX,51.4864,0.1656
1349948,DA8 1BY,51.4853,0.1663
1349949,DA8 1BZ,51.4851,0.1652
1349950,DA8 1DA,51.4860,0.1663
1349951,DA8 1DB,51.4845,0.1649
1349952,DA8 1DD,51.4875,0.1724
1349953,DA8 1DE,51.4935,0.1699
1349955,DA8 1DG,51.4911,0.1681
1349956,DA8 1DH,51.4878,0.1664
1349957,DA8 1DL,51.4928,0.1677
1349958,DA8 1DN,51.4782,0.1609
1349959,DA8 1DP,51.4786,0.1618
1349960,DA8 1DQ,51.4845,0.1757
1349961,DA8 1DR,51.4785,0.1600
1349962,DA8 1DS,51.4791,0.1581
1349963,DA8 1DT,51.4787,0.1585
1349964,DA8 1DU,51.4790,0.1562
1349965,DA8 1DW,51.4785,0.1613
1349966,DA8 1DX,51.4786,0.1564
1349967,DA8 1DY,51.4790,0.1549
1349968,DA8 1DZ,51.4767,0.1565
1349969,DA8 1EA,51.4781,0.1564
1349970,DA8 1EB,51.4764,0.1562
1349971,DA8 1ED,51.4764,0.1554
1349972,DA8 1EE,51.4771,0.1572
1349973,DA8 1EF,51.4774,0.1577
1349974,DA8 1EG,51.4808,0.1578
1349975,DA8 1EH,51.4761,0.1593
1349976,DA8 1EJ,51.4773,0.1603
1349977,DA8 1EL,51.4785,0.1584
1349978,DA8 1EP,51.4773,0.1593
1349979,DA8 1EQ,51.4801,0.1582
