id,postcode,lat,lon
599215,DD1 5AA,56.4581,-2.9862
599216,DD1 5AB,56.4585,-2.9874
599217,DD1 5AD,56.4628,-2.9816
599218,DD1 5AF,56.4628,-2.9818
599219,DD1 5AH,56.4628,-2.9819
599220,DD1 5AJ,56.4628,-2.9819
599221,DD1 5AL,56.4634,-2.9870
599222,DD1 5AN,56.4630,-2.9850
599223,DD1 5AP,56.4634,-2.9835
599224,DD1 5AQ,56.4629,-2.9800
599225,DD1 5AR,56.4634,-2.9855
599226,DD1 5AS,56.4630,-2.9821
599227,DD1 5AU,56.4629,-2.9841
599228,DD1 5AW,56.4634,-2.9836
599229,DD1 5AX,56.4633,-2.9864
599230,DD1 5AZ,56.4627,-2.9862
599231,DD1 5BA,56.4615,-2.9862
599232,DD1 5BB,56.4618,-2.9887
599233,DD1 5BD,56.4617,-2.9861
599234,DD1 5BG,56.4617,-2.9879
599235,DD1 5BH,56.4611,-2.9879
599236,DD1 5BJ,56.4612,-2.9858
599237,DD1 5BL,56.4607,-2.9863
599238,DD1 5BN,56.4609,-2.9842
599239,DD1 5BP,56.4608,-2.9858
599240,DD1 5BQ,56.4616,-2.9879
599241,DD1 5BR,56.4609,-2.9840
599242,DD1 5BS,56.4607,-2.9832
599243,DD1 5BT,56.4612,-2.9845
599244,DD1 5BU,56.4617,-2.9835
599245,DD1 5BX,56.4619,-2.9848
599246,DD1 5BY,56.4619,-2.9849
599247,DD1 5BZ,56.4620,-2.9816
599248,DD1 5DA,56.4626,-2.9836
599249,DD1 5DB,56.4619,-2.9843
599250,DD1 5DD,56.4623,-2.9811
599251,DD1 5DE,56.4611,-2.9858
599252,DD1 5DF,56.4622,-2.9822
599253,DD1 5DG,56.4609,-2.9806
599254,DD1 5DH,56.4603,-2.9832
599255,DD1 5DJ,56.4601,-2.9841
599256,DD1 5DL,56.4605,-2.9805
599257,DD1 5DN,56.4604,-2.9802
599258,DD1 5DP,56.4601,-2.9847
599259,DD1 5DQ,56.4603,-2.9841
599260,DD1 5DR,56.4611,-2.9806
599261,DD1 5DS,56.4605,-2.9818
599262,DD1 5DT,56.4621,-2.9805
599263,DD1 5DU,56.4605,-2.9824
599264,DD1 5DW,56.4609,-2.9806
599265,DD1 5DX,56.4602,-2.9808
599266,DD1 5DY,56.4618,-2.9793
599267,DD1 5DZ,56.4613,-2.9910
599268,DD1 5EA,56.4610,-2.9793
599269,DD1 5EB,56.4610,-2.9795
599270,DD1 5ED,56.4633,-2.9807
599271,DD1 5EE,56.4622,-2.9790
599272,DD1 5EF,56.4619,-2.9789
599273,DD1 5EG,56.4618,-2.9793
599274,DD1 5EH,56.4575,-2.9870
599275,DD1 5EJ,56.4606,-2.9798
599276,DD1 5EL,56.4601,-2.9786
599277,DD1 5EN,56.4596,-2.9835
599278,DD1 5EP,56.4593,-2.9780
599279,DD1 5EQ,56.4593,-2.9784
599280,DD1 5ER,56.4594,-2.9794
599281,DD1 5ET,56.4596,-2.9799
599282,DD1 5EU,56.4595,-2.9802
599283,DD1 5GP,56.4599,-2.9783
599284,DD1 5HA,56.4596,-2.9888
599285,DD1 5HB,56.4596,-2.9864
599286,DD1 5HF,56.4589,-2.9818
599287,DD1 5HG,56.4589,-2.9818
599288,DD1 5HH,56.4584,-2.9859
