id,postcode,lat,lon
1330525,DE4 3GH,53.1409,-1.5464
1330526,DE4 3GJ,53.1437,-1.5488
1330527,DE4 3GL,53.1410,-1.5517
1330528,DE4 3GN,53.1430,-1.5494
1330529,DE4 3GP,53.1462,-1.5523
1330530,DE4 3GQ,53.1432,-1.5482
1330531,DE4 3GR,53.1436,-1.5506
1330532,DE4 3GS,53.1440,-1.5474
1330533,DE4 3GT,53.1427,-1.5496
1330534,DE4 3GU,53.1432,-1.5491
1330535,DE4 3GW,53.1441,-1.5450
1330536,DE4 3GX,53.1442,-1.5437
1330537,DE4 3GY,53.1445,-1.5468
1330538,DE4 3GZ,53.1457,-1.5469
1330539,DE4 3HA,53.1447,-1.5461
1330540,DE4 3HB,53.1446,-1.5506
1330541,DE4 3HD,53.1451,-1.5519
1330542,DE4 3HE,53.1459,-1.5543
1330543,DE4 3HF,53.1460,-1.5486
1330544,DE4 3HG,53.1467,-1.5499
1330545,DE4 3HH,53.1461,-1.5504
1330546,DE4 3HJ,53.1472,-1.5523
1330547,DE4 3HL,53.1470,-1.5545
1330548,DE4 3HN,53.1481,-1.5538
1330549,DE4 3HP,53.1478,-1.5521
1330550,DE4 3HQ,53.1477,-1.5529
1330551,DE4 3HR,53.1446,-1.5449
1330552,DE4 3HS,53.1416,-1.5579
1330553,DE4 3HT,53.1424,-1.5585
1330554,DE4 3HU,53.1430,-1.5572
1330555,DE4 3HW,53.1428,-1.5576
1330556,DE4 3HX,53.1436,-1.5581
1330557,DE4 3HY,53.1435,-1.5593
1330558,DE4 3HZ,53.1441,-1.5586
1330559,DE4 3JA,53.1445,-1.5579
1330560,DE4 3JB,53.1444,-1.5481
1330561,DE4 3JD,53.1455,-1.5595
1330562,DE4 3JE,53.1445,-1.5571
1330563,DE4 3JF,53.1443,-1.5563
1330564,DE4 3JG,53.1433,-1.5547
1330565,DE4 3JH,53.1439,-1.5542
1330566,DE4 3JJ,53.1431,-1.5523
1330567,DE4 3JL,53.1438,-1.5531
1330568,DE4 3JN,53.1432,-1.5515
1330569,DE4 3JP,53.1437,-1.5521
1330570,DE4 3JQ,53.1443,-1.5533
1330571,DE4 3JR,53.1444,-1.5517
1330572,DE4 3JS,53.1446,-1.5539
1330573,DE4 3JT,53.1435,-1.5602
