id,postcode,lat,lon
1320325,DG2 7AZ,55.0660,-3.6146
1320326,DG2 7BA,55.0657,-3.6142
1320327,DG2 7BB,55.0664,-3.6144
1320328,DG2 7BD,55.0669,-3.6155
1320329,DG2 7BE,55.0676,-3.6171
1320330,DG2 7BF,55.0588,-3.6150
1320331,DG2 7BG,55.0677,-3.6180
1320332,DG2 7BH,55.0575,-3.6194
1320333,DG2 7BJ,55.0583,-3.6140
1320334,DG2 7BL,55.0591,-3.6135
1320335,DG2 7DA,55.0626,-3.6097
1320337,DG2 7DD,55.0616,-3.6093
1320338,DG2 7DE,55.0614,-3.6075
1320339,DG2 7DF,55.0607,-3.6085
1320340,DG2 7DG,55.0619,-3.6085
1320341,DG2 7DH,55.0596,-3.6171
1320342,DG2 7DJ,55.0631,-3.6117
1320343,DG2 7DL,55.0625,-3.6110
1320344,DG2 7DN,55.0622,-3.6107
1320345,DG2 7DR,55.0609,-3.6095
1320346,DG2 7DS,55.0603,-3.6086
1320347,DG2 7DT,55.0586,-3.6072
1320348,DG2 7DU,55.0593,-3.6168
1320349,DG2 7DW,55.0614,-3.6099
1320350,DG2 7DX,55.0586,-3.6080
1320351,DG2 7DY,55.0595,-3.6083
1320352,DG2 7DZ,55.0591,-3.6083
1320353,DG2 7EA,55.0592,-3.6090
1320354,DG2 7EB,55.0598,-3.6094
1320355,DG2 7ED,55.0613,-3.6105
1320356,DG2 7EE,55.0617,-3.6108
1320357,DG2 7EF,55.0613,-3.6124
1320358,DG2 7EH,55.0610,-3.6123
1320359,DG2 7EJ,55.0608,-3.6124
1320360,DG2 7EL,55.0607,-3.6125
1320361,DG2 7EN,55.0605,-3.6127
1320362,DG2 7EP,55.0594,-3.6144
1320363,DG2 7EQ,55.0614,-3.6114
1320364,DG2 7ER,55.0584,-3.6168
1320365,DG2 7ES,55.0586,-3.6167
1320366,DG2 7ET,55.0608,-3.6117
1320367,DG2 7EU,55.0605,-3.6114
1320368,DG2 7EW,55.0603,-3.6118
1320369,DG2 7EX,55.0602,-3.6113
1320370,DG2 7EY,55.0609,-3.6114
1320371,DG2 7EZ,55.0593,-3.6102
1320372,DG2 7FB,55.0619,-3.6113
1320373,DG2 7FD,55.0625,-3.6116
