id,postcode,lat,lon
725404,DY8 3AA,52.4417,-2.1630
725405,DY8 3AB,52.4437,-2.1618
725406,DY8 3AD,52.4405,-2.1681
725407,DY8 3AE,52.4411,-2.1642
725408,DY8 3AF,52.4423,-2.1650
725409,DY8 3AG,52.4417,-2.1655
725410,DY8 3AH,52.4396,-2.1678
725411,DY8 3AJ,52.4394,-2.1671
725412,DY8 3AL,52.4579,-2.1590
725413,DY8 3AP,52.4481,-2.1606
725414,DY8 3AQ,52.4411,-2.1681
725415,DY8 3AR,52.4504,-2.1624
725416,DY8 3AS,52.4497,-2.1576
725417,DY8 3AT,52.4493,-2.1618
725418,DY8 3AU,52.4507,-2.1611
725419,DY8 3AW,52.4488,-2.1611
725420,DY8 3AX,52.4496,-2.1599
725421,DY8 3AY,52.4488,-2.1590
725422,DY8 3AZ,52.4477,-2.1612
725423,DY8 3BA,52.4482,-2.1626
725424,DY8 3BB,52.4471,-2.1623
725425,DY8 3BD,52.4471,-2.1601
725426,DY8 3BE,52.4476,-2.1581
725427,DY8 3BG,52.4485,-2.1568
725428,DY8 3BH,52.4468,-2.1577
725429,DY8 3BJ,52.4464,-2.1588
725430,DY8 3BL,52.4458,-2.1585
725431,DY8 3BN,52.4458,-2.1607
725432,DY8 3BP,52.4441,-2.1630
725433,DY8 3BQ,52.4477,-2.1573
725434,DY8 3BS,52.4439,-2.1626
725435,DY8 3BT,52.4425,-2.1665
725436,DY8 3BU,52.4428,-2.1667
725437,DY8 3BW,52.4457,-2.1623
725438,DY8 3BX,52.4460,-2.1637
725439,DY8 3BY,52.4442,-2.1645
725440,DY8 3BZ,52.4445,-2.1636
725441,DY8 3DA,52.4462,-2.1629
725442,DY8 3DB,52.4465,-2.1610
725443,DY8 3DD,52.4469,-2.1634
725444,DY8 3DE,52.4566,-2.1454
725445,DY8 3DF,52.4454,-2.1594
725446,DY8 3DH,52.4485,-2.1589
725447,DY8 3DS,52.4459,-2.1652
725448,DY8 3DT,52.4466,-2.1663
725449,DY8 3DU,52.4446,-2.1666
725450,DY8 3DW,52.4475,-2.1618
725451,DY8 3DX,52.4449,-2.1670
725452,DY8 3DY,52.4429,-2.1688
725453,DY8 3DZ,52.4445,-2.1697
725454,DY8 3EA,52.4441,-2.1685
725455,DY8 3EB,52.4449,-2.1687
725456,DY8 3ED,52.4454,-2.1679
725457,DY8 3EE,52.4467,-2.1677
725458,DY8 3EF,52.4460,-2.1686
725459,DY8 3EG,52.4469,-2.1690
725460,DY8 3EH,52.4460,-2.1694
725461,DY8 3EJ,52.4480,-2.1697
725462,DY8 3EL,52.4480,-2.1683
725463,DY8 3EN,52.4473,-2.1667
725464,DY8 3EP,52.4482,-2.1677
725465,DY8 3EQ,52.4468,-2.1708
725466,DY8 3ER,52.4485,-2.1666
725467,DY8 3ES,52.4494,-2.1676
725468,DY8 3ET,52.4491,-2.1689
725469,DY8 3EU,52.4498,-2.1657
725470,DY8 3EW,52.4480,-2.1654
725471,DY8 3EX,52.4493,-2.1664
725472,DY8 3EY,52.4503,-2.1666
725473,DY8 3EZ,52.4508,-2.1661
725474,DY8 3HA,52.4502,-2.1662
725475,DY8 3HL,52.4496,-2.1624
725476,DY8 3HN,52.4516,-2.1619
725477,DY8 3HP,52.4487,-2.1642
725478,DY8 3HR,52.4488,-2.1655
725479,DY8 3HS,52.4475,-2.1644
725480,DY8 3HT,52.4474,-2.1653
725481,DY8 3HU,52.4465,-2.1653
725482,DY8 3HW,52.4509,-2.1640
725483,DY8 3HX,52.4465,-2.1644
725484,DY8 3HY,52.4441,-2.1655
725485,DY8 3HZ,52.4441,-2.1664
725486,DY8 3JA,52.4415,-2.1686
725487,DY8 3JB,52.4418,-2.1692
725488,DY8 3JD,52.4410,-2.1702
725489,DY8 3JE,52.4417,-2.1702
725490,DY8 3JF,52.4423,-2.1698
725491,DY8 3JG,52.4427,-2.1708
725492,DY8 3JH,52.4437,-2.1704
725493,DY8 3JJ,52.4444,-2.1711
725494,DY8 3JL,52.4448,-2.1705
725495,DY8 3JN,52.4458,-2.1710
725496,DY8 3JP,52.4461,-2.1710
725497,DY8 3JQ,52.4431,-2.1700
725498,DY8 3JR,52.4484,-2.1711
725499,DY8 3JS,52.4504,-2.1697
725500,DY8 3JT,52.4504,-2.1704
725501,DY8 3JU,52.4427,-2.1705
725502,DY8 3JW,52.4461,-2.1715
725503,DY8 3JY,52.4529,-2.1702
725504,DY8 3JZ,52.4925,-2.1723
725505,DY8 3LA,52.4566,-2.1471
725506,DY8 3LB,52.4510,-2.1712
725507,DY8 3LD,52.4496,-2.1721
725508,DY8 3LE,52.4499,-2.1730
725509,DY8 3LF,52.4496,-2.1729
725510,DY8 3LG,52.4503,-2.1722
725511,DY8 3LH,52.4512,-2.1728
725512,DY8 3LJ,52.4519,-2.1731
725513,DY8 3LL,52.4525,-2.1721
725514,DY8 3LN,52.4526,-2.1711
725515,DY8 3LP,52.4532,-2.1729
725516,DY8 3LQ,52.4515,-2.1719
725517,DY8 3LR,52.4536,-2.1709
725518,DY8 3LS,52.4535,-2.1736
725519,DY8 3LT,52.4549,-2.1732
725520,DY8 3LU,52.4546,-2.1711
725521,DY8 3LW,52.4528,-2.1734
725522,DY8 3LX,52.4537,-2.1697
725523,DY8 3LY,52.4538,-2.1688
725524,DY8 3LZ,52.4545,-2.1684
725525,DY8 3NA,52.4546,-2.1693
725526,DY8 3NB,52.4555,-2.1710
725527,DY8 3ND,52.4558,-2.1678
725528,DY8 3NE,52.4561,-2.1684
725529,DY8 3NF,52.4560,-2.1704
725530,DY8 3NG,52.4572,-2.1709
725531,DY8 3NH,52.4581,-2.1673
725532,DY8 3NJ,52.4582,-2.1666
725533,DY8 3NL,52.4587,-2.1659
725534,DY8 3NN,52.4592,-2.1663
725535,DY8 3NP,52.4520,-2.1635
725536,DY8 3NQ,52.4576,-2.1708
725537,DY8 3NU,52.4597,-2.1655
725538,DY8 3NX,52.4600,-2.1643
725539,DY8 3NY,52.4603,-2.1634
725540,DY8 3NZ,52.4603,-2.1633
725541,DY8 3PA,52.4604,-2.1648
725542,DY8 3PB,52.4598,-2.1677
725543,DY8 3PD,52.4598,-2.1700
725544,DY8 3PE,52.4587,-2.1682
725545,DY8 3PF,52.4585,-2.1692
725546,DY8 3PG,52.4590,-2.1709
725547,DY8 3PH,52.4591,-2.1723
725548,DY8 3PJ,52.4595,-2.1737
725549,DY8 3PL,52.4607,-2.1739
725550,DY8 3PN,52.4606,-2.1721
725551,DY8 3PP,52.4566,-2.1454
725552,DY8 3PQ,52.4584,-2.1698
725553,DY8 3PR,52.4601,-2.1707
725554,DY8 3PS,52.4596,-2.1716
725555,DY8 3PW,52.4601,-2.1713
725556,DY8 3PY,52.4586,-2.1588
725557,DY8 3PZ,52.4592,-2.1603
725558,DY8 3QA,52.4592,-2.1591
725559,DY8 3QB,52.4582,-2.1602
725560,DY8 3QD,52.4586,-2.1619
725561,DY8 3QE,52.4591,-2.1612
725562,DY8 3QF,52.4590,-2.1607
725563,DY8 3QG,52.4604,-2.1620
725564,DY8 3QH,52.4590,-2.1600
725565,DY8 3QQ,52.4602,-2.1628
725566,DY8 3QS,52.4592,-2.1618
725567,DY8 3QU,52.4589,-2.1647
725568,DY8 3QW,52.4576,-2.1613
725569,DY8 3QX,52.4569,-2.1652
725570,DY8 3QY,52.4577,-2.1640
725571,DY8 3QZ,52.4583,-2.1635
725572,DY8 3RA,52.4561,-2.1670
725573,DY8 3RB,52.4559,-2.1651
725574,DY8 3RD,52.4555,-2.1664
725575,DY8 3RE,52.4550,-2.1653
725576,DY8 3RF,52.4547,-2.1671
725577,DY8 3RG,52.4540,-2.1681
725578,DY8 3RH,52.4533,-2.1671
725579,DY8 3RJ,52.4531,-2.1653
725580,DY8 3RL,52.4541,-2.1646
725581,DY8 3RN,52.4528,-2.1656
725582,DY8 3RP,52.4541,-2.1660
725583,DY8 3RQ,52.4534,-2.1685
725584,DY8 3RR,52.4554,-2.1641
725585,DY8 3RS,52.4568,-2.1624
725586,DY8 3RT,52.4577,-2.1621
725587,DY8 3RU,52.4592,-2.1632
725588,DY8 3RW,52.4527,-2.1642
725589,DY8 3RX,52.4563,-2.1607
725590,DY8 3RY,52.4567,-2.1608
725591,DY8 3RZ,52.4565,-2.1594
725592,DY8 3SA,52.4570,-2.1585
725593,DY8 3SB,52.4577,-2.1605
725594,DY8 3SD,52.4607,-2.1615
725595,DY8 3SE,52.4614,-2.1613
725596,DY8 3SF,52.4611,-2.1602
725597,DY8 3SL,52.4583,-2.1589
725598,DY8 3SN,52.4597,-2.1582
725599,DY8 3SP,52.4606,-2.1559
725600,DY8 3SQ,52.4572,-2.1604
725601,DY8 3SR,52.4602,-2.1566
725602,DY8 3SS,52.4608,-2.1565
725603,DY8 3ST,52.4612,-2.1571
725604,DY8 3SU,52.4588,-2.1566
725605,DY8 3SW,52.4591,-2.1571
725606,DY8 3SX,52.4576,-2.1578
725607,DY8 3SY,52.4570,-2.1594
725608,DY8 3SZ,52.4577,-2.1588
725609,DY8 3TA,52.4574,-2.1604
725610,DY8 3TB,52.4582,-2.1579
725611,DY8 3TD,52.4578,-2.1569
725612,DY8 3TE,52.4582,-2.1566
725613,DY8 3TF,52.4588,-2.1557
725614,DY8 3TG,52.4565,-2.1559
725615,DY8 3TH,52.4567,-2.1560
725616,DY8 3TJ,52.4572,-2.1550
725617,DY8 3TN,52.4566,-2.1454
725618,DY8 3TP,52.4557,-2.1353
725619,DY8 3TQ,52.4582,-2.1543
725620,DY8 3TR,52.4580,-2.1550
725621,DY8 3TS,52.4560,-2.1533
725622,DY8 3TT,52.4561,-2.1559
725623,DY8 3TU,52.4565,-2.1574
725624,DY8 3TW,52.4556,-2.1562
725625,DY8 3TX,52.4550,-2.1530
725626,DY8 3TY,52.4562,-2.1575
725627,DY8 3TZ,52.4570,-2.1573
725628,DY8 3UD,52.4566,-2.1454
725629,DY8 3UE,52.4538,-2.1569
725630,DY8 3UF,52.4537,-2.1582
725631,DY8 3UG,52.4526,-2.1579
725632,DY8 3UH,52.4526,-2.1597
725633,DY8 3UJ,52.4521,-2.1595
725634,DY8 3UL,52.4524,-2.1617
725635,DY8 3UN,52.4530,-2.1609
725636,DY8 3UP,52.4531,-2.1605
725637,DY8 3UQ,52.4529,-2.1572
725638,DY8 3UR,52.4530,-2.1591
725639,DY8 3US,52.4566,-2.1454
725640,DY8 3UT,52.4540,-2.1601
725641,DY8 3UU,52.4557,-2.1612
725642,DY8 3UW,52.4539,-2.1614
725643,DY8 3UX,52.4546,-2.1596
725644,DY8 3UY,52.4557,-2.1600
725645,DY8 3UZ,52.4556,-2.1582
725646,DY8 3WA,52.4566,-2.1454
725647,DY8 3WB,52.4566,-2.1454
725648,DY8 3WD,52.4566,-2.1454
725649,DY8 3WE,52.4566,-2.1454
725650,DY8 3WF,52.4566,-2.1454
725651,DY8 3WG,52.4566,-2.1454
725652,DY8 3WH,52.4566,-2.1454
725653,DY8 3WJ,52.4570,-2.1452
725654,DY8 3WL,52.4566,-2.1454
725655,DY8 3WN,52.4566,-2.1454
725656,DY8 3WP,52.4566,-2.1454
725657,DY8 3WQ,52.4566,-2.1454
725658,DY8 3WR,52.4566,-2.1454
725659,DY8 3WS,52.4566,-2.1454
725660,DY8 3WT,52.4570,-2.1452
725661,DY8 3WU,52.4566,-2.1454
725662,DY8 3WW,52.4566,-2.1454
725663,DY8 3WX,52.4566,-2.1454
725664,DY8 3WY,52.4570,-2.1452
725665,DY8 3WZ,52.4566,-2.1454
725666,DY8 3XA,52.4551,-2.1583
725667,DY8 3XB,52.4547,-2.1574
725668,DY8 3XD,52.4547,-2.1531
725669,DY8 3XE,52.4541,-2.1562
725670,DY8 3XF,52.4549,-2.1551
725671,DY8 3XG,52.4566,-2.1454
725672,DY8 3XH,52.4566,-2.1454
725673,DY8 3XJ,52.4570,-2.1452
725674,DY8 3XL,52.4566,-2.1454
725675,DY8 3XN,52.4566,-2.1454
725676,DY8 3XP,52.4541,-2.1535
725677,DY8 3XQ,52.4549,-2.1551
725678,DY8 3XR,52.4540,-2.1548
725679,DY8 3XS,52.4532,-2.1560
725680,DY8 3XT,52.4525,-2.1560
725681,DY8 3XU,52.4532,-2.1546
725682,DY8 3XW,52.4566,-2.1454
725683,DY8 3XX,52.4532,-2.1531
725684,DY8 3XY,52.4521,-2.1533
725685,DY8 3XZ,52.4508,-2.1533
725686,DY8 3YA,52.4517,-2.1548
725687,DY8 3YB,52.4514,-2.1557
725688,DY8 3YD,52.4522,-2.1549
725689,DY8 3YE,52.4506,-2.1557
725690,DY8 3YF,52.4504,-2.1561
725691,DY8 3YG,52.4508,-2.1589
725692,DY8 3YH,52.4516,-2.1578
725693,DY8 3YJ,52.4522,-2.1570
725694,DY8 3YL,52.4510,-2.1601
725695,DY8 3YN,52.4497,-2.1588
725696,DY8 3YP,52.4520,-2.1635
725697,DY8 3YQ,52.4517,-2.1602
725698,DY8 3YR,52.4494,-2.1559
725699,DY8 3YT,52.4404,-2.1647
725700,DY8 3YU,52.4404,-2.1647
725701,DY8 3YW,52.4502,-2.1569
725702,DY8 3YX,52.4404,-2.1647
725703,DY8 3YY,52.4405,-2.1639
725704,DY8 3YZ,52.4520,-2.1635
725705,DY8 3ZA,52.4566,-2.1454
725706,DY8 3ZB,52.4566,-2.1454
725707,DY8 3ZD,52.4570,-2.1452
725708,DY8 3ZE,52.4520,-2.1635
725709,DY8 3ZF,52.4520,-2.1635
725710,DY8 3ZG,52.4566,-2.1454
725711,DY8 3ZH,52.4520,-2.1635
725712,DY8 3ZJ,52.4566,-2.1454
725713,DY8 3ZL,52.4520,-2.1635
725714,DY8 3ZN,52.4520,-2.1635
725715,DY8 3ZQ,52.4520,-2.1635
725716,DY8 3ZR,52.4520,-2.1635
725717,DY8 3ZS,52.4566,-2.1454
725718,DY8 3ZT,52.4520,-2.1635
725719,DY8 3ZU,52.4520,-2.1635
725720,DY8 3ZX,52.4566,-2.1454
725721,DY8 3ZY,52.4566,-2.1454
725722,DY8 3ZZ,52.4566,-2.1454
