id,postcode,lat,lon
727616,E1 0AA,51.5125,-0.0521
727617,E1 0AB,51.5134,-0.0509
727618,E1 0AD,51.5129,-0.0553
727619,E1 0AE,51.5107,-0.0526
727620,E1 0AF,51.5109,-0.0512
727621,E1 0AG,51.5134,-0.0540
727622,E1 0AH,51.5111,-0.0515
727623,E1 0AJ,51.5113,-0.0528
727624,E1 0AL,51.5110,-0.0525
727625,E1 0AN,51.5113,-0.0524
727626,E1 0AP,51.5114,-0.0517
727627,E1 0AQ,51.5116,-0.0509
727628,E1 0AR,51.5116,-0.0521
727629,E1 0AS,51.5116,-0.0527
727630,E1 0AT,51.5131,-0.0544
727631,E1 0AU,51.5113,-0.0534
727632,E1 0AW,51.5111,-0.0517
727633,E1 0AX,51.5113,-0.0534
727634,E1 0AY,51.5129,-0.0534
727635,E1 0AZ,51.5125,-0.0543
