id,postcode,lat,lon
736516,E14 7AA,51.5152,-0.0278
736517,E14 7AB,51.5155,-0.0283
736518,E14 7AD,51.5168,-0.0259
736519,E14 7AE,51.5132,-0.0283
736520,E14 7AF,51.5145,-0.0273
736521,E14 7AG,51.5171,-0.0283
736522,E14 7AH,51.5171,-0.0276
736523,E14 7AJ,51.5162,-0.0277
736524,E14 7AL,51.5159,-0.0277
736525,E14 7AN,51.5158,-0.0269
736526,E14 7AP,51.5164,-0.0254
736527,E14 7AQ,51.5175,-0.0276
736528,E14 7AR,51.5168,-0.0252
736529,E14 7AS,51.5173,-0.0262
736530,E14 7AT,51.5176,-0.0257
736531,E14 7AU,51.5172,-0.0249
736532,E14 7AW,51.5161,-0.0270
736533,E14 7AX,51.5176,-0.0251
736534,E14 7AY,51.5175,-0.0236
736535,E14 7AZ,51.5171,-0.0241
736536,E14 7BA,51.5169,-0.0245
736537,E14 7BB,51.5166,-0.0245
736538,E14 7BD,51.5171,-0.0234
736539,E14 7BE,51.5161,-0.0253
736540,E14 7BF,51.5159,-0.0348
736541,E14 7BG,51.5177,-0.0244
736542,E14 7BH,51.5154,-0.0360
736543,E14 7BJ,51.5151,-0.0269
736544,E14 7BL,51.5168,-0.0248
736545,E14 7BN,51.5161,-0.0242
736546,E14 7BP,51.5171,-0.0379
736547,E14 7BQ,51.5176,-0.0379
736548,E14 7BS,51.5166,-0.0380
736549,E14 7BT,51.5180,-0.0257
736550,E14 7BU,51.5159,-0.0377
736551,E14 7BW,51.5165,-0.0285
736552,E14 7BX,51.5155,-0.0376
736553,E14 7BY,51.5149,-0.0283
736554,E14 7BZ,51.5146,-0.0359
736555,E14 7DA,51.5135,-0.0306
736556,E14 7DB,51.5124,-0.0268
736557,E14 7DD,51.5142,-0.0304
736558,E14 7DE,51.5150,-0.0301
736559,E14 7DF,51.5149,-0.0296
736560,E14 7DG,51.5154,-0.0296
736561,E14 7DH,51.5132,-0.0257
736562,E14 7DJ,51.5135,-0.0256
736563,E14 7DL,51.5125,-0.0281
736564,E14 7DN,51.5128,-0.0266
736565,E14 7DP,51.5168,-0.0292
736566,E14 7DQ,51.5152,-0.0290
736567,E14 7DR,51.5137,-0.0276
736568,E14 7DS,51.5126,-0.0255
736569,E14 7DT,51.5134,-0.0252
736570,E14 7DU,51.5132,-0.0265
736571,E14 7DW,51.5129,-0.0255
736572,E14 7DX,51.5136,-0.0294
736573,E14 7DY,51.5141,-0.0254
736574,E14 7DZ,51.5139,-0.0258
736575,E14 7EA,51.5138,-0.0261
736576,E14 7EB,51.5136,-0.0265
736577,E14 7ED,51.5132,-0.0274
736578,E14 7EE,51.5134,-0.0272
736579,E14 7EF,51.5141,-0.0250
736580,E14 7EG,51.5140,-0.0265
736581,E14 7EH,51.5159,-0.0311
736582,E14 7EJ,51.5167,-0.0313
736583,E14 7EL,51.5145,-0.0279
736584,E14 7EN,51.5130,-0.0260
736585,E14 7EP,51.5145,-0.0262
736586,E14 7EQ,51.5141,-0.0265
736587,E14 7ER,51.5163,-0.0289
736588,E14 7ES,51.5138,-0.0251
736589,E14 7ET,51.5146,-0.0246
