id,postcode,lat,lon
728813,E1 4NA,51.5205,-0.0450
728814,E1 4NB,51.5209,-0.0458
728815,E1 4ND,51.5211,-0.0462
728816,E1 4NE,51.5207,-0.0470
728817,E1 4NF,51.5210,-0.0470
728818,E1 4NG,51.5207,-0.0477
728819,E1 4NH,51.5198,-0.0465
728820,E1 4NJ,51.5212,-0.0457
728821,E1 4NL,51.5204,-0.0467
728822,E1 4NN,51.5212,-0.0486
728823,E1 4NP,51.5253,-0.0396
728824,E1 4NQ,51.5214,-0.0463
728825,E1 4NR,51.5249,-0.0388
728826,E1 4NS,51.5246,-0.0407
728827,E1 4NT,51.5236,-0.0392
728828,E1 4NU,51.5229,-0.0393
728829,E1 4NW,51.5190,-0.0581
728830,E1 4NX,51.5259,-0.0402
728831,E1 4NY,51.5264,-0.0403
728832,E1 4NZ,51.5190,-0.0581
