id,postcode,lat,lon
728990,E1 4YA,51.5190,-0.0581
728991,E1 4YB,51.5190,-0.0581
728992,E1 4YD,51.5225,-0.0463
728993,E1 4YE,51.5190,-0.0581
728994,E1 4YF,51.5190,-0.0581
728995,E1 4YG,51.5190,-0.0581
728996,E1 4YH,51.5225,-0.0463
728997,E1 4YJ,51.5224,-0.0464
728998,E1 4YL,51.5190,-0.0581
728999,E1 4YN,51.5190,-0.0581
729000,E1 4YP,51.5224,-0.0464
729001,E1 4YQ,51.5190,-0.0581
729002,E1 4YR,51.5190,-0.0581
729003,E1 4YS,51.5190,-0.0581
729004,E1 4YT,51.5190,-0.0581
729005,E1 4YU,51.5224,-0.0464
729006,E1 4YW,51.5190,-0.0581
729007,E1 4YX,51.5190,-0.0581
729008,E1 4YY,51.5190,-0.0581
729009,E1 4YZ,51.5190,-0.0581
