id,postcode,lat,lon
745846,E2 9BA,51.5344,-0.0625
745847,E2 9BB,51.5346,-0.0624
745848,E2 9BD,51.5349,-0.0614
745849,E2 9BE,51.5344,-0.0622
745850,E2 9BF,51.5321,-0.0594
745851,E2 9BG,51.5344,-0.0631
745852,E2 9BH,51.5338,-0.0628
745853,E2 9BJ,51.5331,-0.0626
745854,E2 9BL,51.5329,-0.0635
745855,E2 9BN,51.5323,-0.0630
745856,E2 9BP,51.5335,-0.0630
745857,E2 9BQ,51.5342,-0.0631
745858,E2 9BS,51.5325,-0.0556
745859,E2 9BT,51.5336,-0.0576
745860,E2 9BU,51.5334,-0.0576
745861,E2 9BW,51.5325,-0.0625
745862,E2 9BX,51.5327,-0.0542
745863,E2 9BY,51.5331,-0.0582
745864,E2 9BZ,51.5312,-0.0523
