id,postcode,lat,lon
747250,E3 4PA,51.5262,-0.0309
747251,E3 4PB,51.5258,-0.0329
747252,E3 4PD,51.5255,-0.0341
747253,E3 4PE,51.5266,-0.0362
747254,E3 4PF,51.5262,-0.0316
747255,E3 4PG,51.5259,-0.0270
747256,E3 4PH,51.5253,-0.0327
747257,E3 4PJ,51.5249,-0.0352
747258,E3 4PL,51.5246,-0.0354
747259,E3 4PN,51.5249,-0.0308
747260,E3 4PP,51.5256,-0.0313
747261,E3 4PQ,51.5256,-0.0269
747262,E3 4PR,51.5253,-0.0322
747263,E3 4PS,51.5254,-0.0270
747264,E3 4PT,51.5259,-0.0254
747265,E3 4PU,51.5242,-0.0320
747266,E3 4PW,51.5302,-0.0289
747267,E3 4PX,51.5238,-0.0304
747268,E3 4PY,51.5230,-0.0307
747269,E3 4PZ,51.5255,-0.0260
