id,postcode,lat,lon
1243672,E3 4XA,51.5247,-0.0248
1243673,E3 4XB,51.5251,-0.0236
1243674,E3 4XD,51.5254,-0.0233
1243675,E3 4XE,51.5244,-0.0241
1243676,E3 4XF,51.5243,-0.0240
1243677,E3 4XG,51.5242,-0.0245
1243678,E3 4XH,51.5250,-0.0231
1243679,E3 4XJ,51.5247,-0.0236
1243680,E3 4XL,51.5241,-0.0238
1243681,E3 4XN,51.5239,-0.0242
1243682,E3 4XP,51.5245,-0.0238
1243683,E3 4XQ,51.5240,-0.0242
1243684,E3 4XR,51.5244,-0.0236
1243685,E3 4XS,51.5242,-0.0235
1243686,E3 4XT,51.5236,-0.0239
1243688,E3 4XW,51.5235,-0.0242
2590368,E3 4XZ,51.5247,-0.0248
2625445,E3 4XY,51.5260,-0.0296
