id,postcode,lat,lon
748945,E4 8WA,51.6332,0.0082
748946,E4 8WB,51.6332,0.0082
748947,E4 8WD,51.6332,0.0082
748948,E4 8WE,51.6332,0.0082
748949,E4 8WG,51.6332,0.0082
748950,E4 8WH,51.6332,0.0082
748951,E4 8WJ,51.6332,0.0082
748952,E4 8WL,51.6332,0.0082
748953,E4 8WN,51.6332,0.0082
748954,E4 8WP,51.6332,0.0082
748955,E4 8WQ,51.6332,0.0082
748956,E4 8WR,51.6332,0.0082
748957,E4 8WS,51.6332,0.0082
748958,E4 8WT,51.6332,0.0082
748959,E4 8WU,51.6332,0.0082
748960,E4 8WW,51.6332,0.0082
748961,E4 8WX,51.6332,0.0082
748962,E4 8WY,51.6332,0.0082
748963,E4 8WZ,51.6332,0.0082
