id,postcode,lat,lon
1240486,E7 0HA,51.5530,0.0255
1240487,E7 0HB,51.5532,0.0259
1240488,E7 0HD,51.5521,0.0230
1240489,E7 0HE,51.5515,0.0207
1240490,E7 0HF,51.5512,0.0209
1240491,E7 0HG,51.5518,0.0235
1240492,E7 0HH,51.5536,0.0242
1240493,E7 0HJ,51.5508,0.0241
1240494,E7 0HL,51.5504,0.0213
1240495,E7 0HN,51.5508,0.0212
1240496,E7 0HP,51.5497,0.0215
1240497,E7 0HQ,51.5515,0.0235
1240500,E7 0HU,51.5517,0.0262
1240501,E7 0HW,51.5501,0.0217
1240502,E7 0HY,51.5513,0.0238
1240503,E7 0HZ,51.5511,0.0228
1771346,E7 0HX,51.5519,0.0259
