id,postcode,lat,lon
754299,E8 3UA,51.5327,-0.0604
754300,E8 3UB,51.5327,-0.0604
754301,E8 3UD,51.5327,-0.0604
754302,E8 3UE,51.5327,-0.0604
754303,E8 3UF,51.5426,-0.0665
754304,E8 3UG,51.5327,-0.0604
754305,E8 3UH,51.5327,-0.0604
754306,E8 3UJ,51.5327,-0.0604
754307,E8 3UL,51.5327,-0.0604
754308,E8 3UN,51.5425,-0.0667
754309,E8 3UP,51.5425,-0.0667
754310,E8 3UQ,51.5327,-0.0604
754311,E8 3UR,51.5327,-0.0604
754312,E8 3US,51.5425,-0.0667
754313,E8 3UT,51.5425,-0.0667
754314,E8 3UU,51.5327,-0.0604
754315,E8 3UW,51.5425,-0.0667
754316,E8 3UX,51.5327,-0.0604
754317,E8 3UY,51.5425,-0.0667
754318,E8 3UZ,51.5327,-0.0604
