id,postcode,lat,lon
1204529,EN5 9FB,51.6430,-0.1711
1204534,EN5 9FU,51.6430,-0.1711
1204556,EN5 9HN,51.6430,-0.1711
1204568,EN5 9JG,51.6430,-0.1711
1204582,EN5 9LA,51.6430,-0.1711
1204587,EN5 9LG,51.6430,-0.1711
1204909,EN5 9AE,51.6430,-0.1711
1204922,EN5 9DJ,51.6430,-0.1711
1773437,EN5 9LQ,51.6430,-0.1711
1773438,EN5 9NA,51.6430,-0.1711
1773440,EN5 9NP,51.6430,-0.1711
1773441,EN5 9NR,51.6430,-0.1711
1773444,EN5 9NY,51.6430,-0.1711
1773447,EN5 9PP,51.6430,-0.1711
1773448,EN5 9PS,51.6430,-0.1711
1773451,EN5 9QA,51.6430,-0.1711
1773452,EN5 9QD,51.6430,-0.1711
1773454,EN5 9QH,51.6430,-0.1711
1773455,EN5 9QN,51.6430,-0.1711
1773457,EN5 9QQ,51.6430,-0.1711
1773459,EN5 9QS,51.6430,-0.1711
2042159,EN5 9PR,51.6432,-0.1711
2578294,EN5 9QU,51.6430,-0.1710
2592896,EN5 9RA,51.6430,-0.1710
2592897,EN5 9RB,51.6430,-0.1710
2608314,EN5 9RH,51.6430,-0.1710
2625702,EN5 9RQ,51.6430,-0.1710
2625704,EN5 9RS,51.6430,-0.1710
2625705,EN5 9RT,51.6430,-0.1710
2625707,EN5 9RW,51.6430,-0.1710
2625708,EN5 9RX,51.6430,-0.1710
2625709,EN5 9RY,51.6430,-0.1710
2625710,EN5 9RZ,51.6430,-0.1710
2625711,EN5 9SA,51.6430,-0.1710
2625713,EN5 9SD,51.6430,-0.1710
2625716,EN5 9SG,51.6430,-0.1710
2625717,EN5 9SH,51.6430,-0.1710
2641257,EN5 9SS,51.6430,-0.1710
2641258,EN5 9SU,51.6430,-0.1710
2641260,EN5 9SX,51.6430,-0.1710
2652294,EN5 9SY,51.6430,-0.1710
2652295,EN5 9SZ,51.6430,-0.1710
2652297,EN5 9TB,51.6430,-0.1710
2652298,EN5 9TD,51.6430,-0.1710
2652299,EN5 9TE,51.6430,-0.1710
2652300,EN5 9TF,51.6430,-0.1710
2652301,EN5 9TG,51.6430,-0.1710
2662805,EN5 9TH,51.6430,-0.1710
2662806,EN5 9TJ,51.6430,-0.1710
