id,postcode,lat,lon
843491,FK1 9AA,56.0020,-3.7848
843492,FK1 9AB,56.0020,-3.7848
843493,FK1 9AD,56.0020,-3.7848
843494,FK1 9AE,56.0020,-3.7848
843495,FK1 9AF,56.0020,-3.7848
843496,FK1 9AG,56.0020,-3.7848
843497,FK1 9AH,56.0020,-3.7848
843498,FK1 9AJ,56.0020,-3.7848
843499,FK1 9AL,56.0020,-3.7848
843500,FK1 9AN,56.0020,-3.7848
843501,FK1 9AP,56.0020,-3.7848
843502,FK1 9AQ,56.0020,-3.7848
843503,FK1 9AR,56.0020,-3.7848
843504,FK1 9AS,56.0020,-3.7848
843505,FK1 9AT,56.0020,-3.7848
843506,FK1 9AU,56.0020,-3.7848
843507,FK1 9AW,56.0020,-3.7848
843508,FK1 9AX,56.0020,-3.7848
843509,FK1 9AY,56.0020,-3.7848
843510,FK1 9AZ,56.0020,-3.7848
843511,FK1 9BA,56.0020,-3.7848
843512,FK1 9BB,56.0020,-3.7848
843513,FK1 9BD,56.0020,-3.7848
843514,FK1 9BE,56.0020,-3.7848
843515,FK1 9BF,56.0020,-3.7848
843516,FK1 9BG,56.0020,-3.7848
843517,FK1 9BH,56.0020,-3.7848
843518,FK1 9BJ,56.0020,-3.7848
843519,FK1 9BL,56.0020,-3.7848
843520,FK1 9BN,56.0020,-3.7848
843521,FK1 9BP,56.0020,-3.7848
843522,FK1 9BQ,56.0020,-3.7848
843523,FK1 9BR,56.0020,-3.7848
843524,FK1 9BS,56.0020,-3.7848
843525,FK1 9BT,56.0020,-3.7848
843526,FK1 9BU,56.0020,-3.7848
843527,FK1 9BW,56.0020,-3.7848
843528,FK1 9BX,56.0020,-3.7848
843529,FK1 9BY,56.0020,-3.7848
843530,FK1 9BZ,56.0020,-3.7848
843531,FK1 9DA,56.0020,-3.7848
843532,FK1 9DB,56.0020,-3.7848
843533,FK1 9DD,56.0020,-3.7848
843534,FK1 9DE,56.0020,-3.7848
843535,FK1 9DF,56.0020,-3.7848
843536,FK1 9DG,56.0020,-3.7848
843537,FK1 9DH,56.0020,-3.7848
