id,postcode,lat,lon
1171625,FY1 4EZ,53.8177,-3.0424
1171626,FY1 4HA,53.8167,-3.0431
1171627,FY1 4HB,53.8166,-3.0426
1171628,FY1 4HD,53.8181,-3.0417
1171629,FY1 4HE,53.8181,-3.0404
1171725,FY1 4HF,53.8176,-3.0391
1171726,FY1 4HG,53.8174,-3.0396
1171727,FY1 4HH,53.8165,-3.0389
1171728,FY1 4HJ,53.8166,-3.0404
1171729,FY1 4HL,53.8168,-3.0415
1171730,FY1 4HN,53.8177,-3.0409
1171731,FY1 4HQ,53.8170,-3.0385
1171732,FY1 4HT,53.8166,-3.0447
1171733,FY1 4HU,53.8161,-3.0541
1171734,FY1 4HW,53.8168,-3.0423
1171735,FY1 4HX,53.8157,-3.0423
1171736,FY1 4HY,53.8163,-3.0394
1171737,FY1 4HZ,53.8155,-3.0389
1171738,FY1 4JA,53.8160,-3.0389
1171739,FY1 4JD,53.8152,-3.0388
1171740,FY1 4JE,53.8137,-3.0445
1171741,FY1 4JF,53.8142,-3.0448
1171742,FY1 4JG,53.8153,-3.0422
1171743,FY1 4JH,53.8148,-3.0423
1171744,FY1 4JJ,53.8144,-3.0420
1171745,FY1 4JL,53.8135,-3.0442
1171746,FY1 4JN,53.8147,-3.0441
1171747,FY1 4JQ,53.8164,-3.0453
1171748,FY1 4JR,53.8174,-3.0496
1171749,FY1 4LA,53.8163,-3.0503
1171750,FY1 4LD,53.8165,-3.0489
1171751,FY1 4LE,53.8168,-3.0491
1171753,FY1 4LH,53.8175,-3.0492
1171754,FY1 4LL,53.8167,-3.0482
1171755,FY1 4LN,53.8173,-3.0485
1171757,FY1 4LS,53.8176,-3.0485
1171758,FY1 4LU,53.8176,-3.0469
1171759,FY1 4LX,53.8175,-3.0471
1171760,FY1 4LY,53.8173,-3.0459
1171761,FY1 4LZ,53.8154,-3.0455
1171762,FY1 4NB,53.8159,-3.0459
1171763,FY1 4ND,53.8170,-3.0475
1171764,FY1 4NF,53.8168,-3.0479
1171765,FY1 4NJ,53.8163,-3.0469
1171767,FY1 4NY,53.8167,-3.0520
1171768,FY1 4PB,53.8159,-3.0517
1171769,FY1 4PD,53.8149,-3.0508
1171770,FY1 4PE,53.8152,-3.0481
1171771,FY1 4PF,53.8153,-3.0488
1171772,FY1 4PG,53.8151,-3.0474
1171773,FY1 4PJ,53.8153,-3.0467
1171774,FY1 4PL,53.8169,-3.0468
1171775,FY1 4PN,53.8165,-3.0480
1171776,FY1 4PP,53.8147,-3.0489
1171777,FY1 4PR,53.8159,-3.0501
1171778,FY1 4PW,53.8157,-3.0494
1171779,FY1 4PX,53.8149,-3.0536
1171780,FY1 4QB,53.8144,-3.0521
1171781,FY1 4QD,53.8140,-3.0516
1171782,FY1 4QE,53.8143,-3.0503
1171783,FY1 4QG,53.8139,-3.0512
1171784,FY1 4QH,53.8147,-3.0450
1171785,FY1 4QJ,53.8143,-3.0491
1171786,FY1 4QL,53.8140,-3.0476
1171787,FY1 4QP,53.8144,-3.0472
1171788,FY1 4QQ,53.8135,-3.0497
1171789,FY1 4QR,53.8135,-3.0493
1171790,FY1 4QS,53.8148,-3.0468
1171791,FY1 4QU,53.8168,-3.0555
1171792,FY1 4QW,53.8142,-3.0465
1171793,FY1 4RD,53.8157,-3.0402
1171794,FY1 4RJ,53.8167,-3.0531
1171795,FY1 4RN,53.8164,-3.0541
1171797,FY1 4RS,53.8168,-3.0546
1171798,FY1 4RT,53.8168,-3.0546
1171799,FY1 4RU,53.8165,-3.0552
1171800,FY1 4RW,53.8167,-3.0542
1171801,FY1 4RY,53.8159,-3.0545
1171802,FY1 4RZ,53.8161,-3.0541
1171805,FY1 4SR,53.8153,-3.0539
1171806,FY1 4SS,53.8156,-3.0541
1171807,FY1 4SW,53.8149,-3.0536
1171808,FY1 4TA,53.8148,-3.0527
1171810,FY1 4TE,53.8161,-3.0541
1171812,FY1 4TQ,53.8149,-3.0551
1171813,FY1 4TR,53.8159,-3.0471
1171814,FY1 4TT,53.8162,-3.0473
1172060,FY1 4AA,53.8119,-3.0463
1172061,FY1 4AB,53.8122,-3.0463
1172062,FY1 4AD,53.8128,-3.0451
1172063,FY1 4AE,53.8118,-3.0430
1172064,FY1 4AF,53.8109,-3.0420
1172065,FY1 4AG,53.8100,-3.0437
1172066,FY1 4AH,53.8118,-3.0435
1172067,FY1 4AJ,53.8108,-3.0431
1172068,FY1 4AL,53.8112,-3.0437
1172069,FY1 4AN,53.8114,-3.0440
1172070,FY1 4AP,53.8107,-3.0444
1172071,FY1 4AQ,53.8101,-3.0439
1172072,FY1 4AR,53.8101,-3.0450
1172073,FY1 4AS,53.8104,-3.0456
1172074,FY1 4AT,53.8107,-3.0459
1172075,FY1 4AU,53.8110,-3.0462
1172076,FY1 4AW,53.8109,-3.0442
1172078,FY1 4BA,53.8162,-3.0473
1172079,FY1 4BD,53.8121,-3.0448
1172080,FY1 4BE,53.8114,-3.0463
1172081,FY1 4BG,53.8116,-3.0465
1172082,FY1 4BH,53.8115,-3.0448
1172083,FY1 4BJ,53.8160,-3.0549
1172084,FY1 4BN,53.8133,-3.0507
1172085,FY1 4BP,53.8128,-3.0490
1172086,FY1 4BT,53.8124,-3.0486
1172087,FY1 4BU,53.8120,-3.0473
1172088,FY1 4BW,53.8130,-3.0498
1172089,FY1 4BX,53.8127,-3.0461
1172090,FY1 4BY,53.8131,-3.0459
1172091,FY1 4BZ,53.8129,-3.0478
1172092,FY1 4DA,53.8130,-3.0473
1172093,FY1 4DB,53.8128,-3.0484
1172094,FY1 4DD,53.8132,-3.0486
1172095,FY1 4DE,53.8134,-3.0465
1172096,FY1 4DG,53.8137,-3.0469
1172097,FY1 4DN,53.8137,-3.0425
1172098,FY1 4DP,53.8133,-3.0422
1172099,FY1 4DQ,53.8137,-3.0482
1172100,FY1 4DS,53.8141,-3.0422
1172101,FY1 4DT,53.8137,-3.0405
1172102,FY1 4DU,53.8149,-3.0389
1172103,FY1 4DW,53.8139,-3.0411
1172104,FY1 4DX,53.8147,-3.0384
1172105,FY1 4DY,53.8132,-3.0396
1172106,FY1 4DZ,53.8143,-3.0381
1172107,FY1 4EA,53.8141,-3.0379
1172108,FY1 4EB,53.8139,-3.0377
1172109,FY1 4ED,53.8138,-3.0373
1172110,FY1 4EE,53.8129,-3.0405
1172111,FY1 4EF,53.8135,-3.0373
1172112,FY1 4EG,53.8133,-3.0372
1172113,FY1 4EH,53.8127,-3.0368
