id,postcode,lat,lon
867711,G2 2TD,55.8619,-4.2582
867712,G2 2TE,55.8552,-4.2499
867713,G2 2TF,55.8619,-4.2582
867714,G2 2TG,55.8622,-4.2579
867715,G2 2TH,55.8629,-4.2576
867716,G2 2TJ,55.8631,-4.2575
867717,G2 2TL,55.8631,-4.2576
867718,G2 2TN,55.8634,-4.2574
867719,G2 2TP,55.8632,-4.2585
867720,G2 2TQ,55.8619,-4.2582
867721,G2 2TS,55.8635,-4.2574
867722,G2 2TT,55.8630,-4.2569
867723,G2 2TU,55.8637,-4.2573
867724,G2 2TW,55.8635,-4.2574
867725,G2 2TX,55.8635,-4.2573
867726,G2 2TY,55.8622,-4.2578
867727,G2 2TZ,55.8622,-4.2578
