id,postcode,lat,lon
868319,G2 5JA,55.8613,-4.2580
868320,G2 5JB,55.8617,-4.2586
868321,G2 5JD,55.8613,-4.2580
868322,G2 5JE,55.8615,-4.2592
868323,G2 5JF,55.8616,-4.2593
868324,G2 5JG,55.8615,-4.2589
868325,G2 5JH,55.8615,-4.2592
868326,G2 5JJ,55.8623,-4.2609
868327,G2 5JL,55.8615,-4.2589
868328,G2 5JP,55.8615,-4.2592
868329,G2 5JQ,55.8615,-4.2592
868330,G2 5JR,55.8622,-4.2605
868331,G2 5JS,55.8615,-4.2592
868332,G2 5JT,55.8615,-4.2594
868333,G2 5JU,55.8618,-4.2581
868334,G2 5JW,55.8623,-4.2609
868335,G2 5JX,55.8686,-4.2419
868336,G2 5JY,55.8623,-4.2609
868337,G2 5JZ,55.8619,-4.2585
