id,postcode,lat,lon
881396,G43 1AA,55.8205,-4.3042
881397,G43 1AB,55.8205,-4.3042
881398,G43 1AD,55.8207,-4.3334
881399,G43 1AE,55.8216,-4.2989
881400,G43 1AF,55.8204,-4.3342
881401,G43 1AG,55.8205,-4.3324
881402,G43 1AH,55.8216,-4.2989
881403,G43 1AJ,55.8198,-4.3313
881404,G43 1AL,55.8216,-4.2989
881405,G43 1AN,55.8192,-4.3357
881406,G43 1AP,55.8215,-4.2988
881407,G43 1AQ,55.8200,-4.3355
881408,G43 1AR,55.8216,-4.3303
881409,G43 1AS,55.8308,-4.3073
881410,G43 1AT,55.8238,-4.3040
881411,G43 1AU,55.8226,-4.3185
881412,G43 1AW,55.8205,-4.3308
881413,G43 1AX,55.8216,-4.3307
881414,G43 1AY,55.8238,-4.3272
881415,G43 1AZ,55.8179,-4.3320
881416,G43 1BA,55.8142,-4.3294
881417,G43 1BB,55.8140,-4.3274
881418,G43 1BD,55.8141,-4.3274
881419,G43 1BE,55.8158,-4.3224
881420,G43 1BF,55.8191,-4.3345
881421,G43 1BG,55.8221,-4.3070
881422,G43 1BH,55.8202,-4.2980
881423,G43 1BJ,55.8212,-4.2985
881424,G43 1BL,55.8162,-4.3036
881425,G43 1BN,55.8217,-4.3314
881426,G43 1BP,55.8113,-4.3018
881427,G43 1BQ,55.8188,-4.3330
881428,G43 1BS,55.8122,-4.3019
881429,G43 1BT,55.8119,-4.3039
881430,G43 1BU,55.8119,-4.3049
881431,G43 1BW,55.8110,-4.3037
881432,G43 1BX,55.8127,-4.3035
881433,G43 1BY,55.8135,-4.3040
881434,G43 1BZ,55.8131,-4.3033
881435,G43 1DA,55.8138,-4.3022
881436,G43 1DB,55.8149,-4.3024
881437,G43 1DD,55.8161,-4.3021
881438,G43 1DE,55.8189,-4.3010
881439,G43 1DF,55.8183,-4.2994
881440,G43 1DG,55.8187,-4.2995
881441,G43 1DH,55.8215,-4.2994
881442,G43 1DJ,55.8186,-4.3018
881443,G43 1DL,55.8194,-4.3335
881444,G43 1DN,55.8184,-4.3028
881445,G43 1DP,55.8186,-4.3029
881446,G43 1DQ,55.8196,-4.3331
881447,G43 1DR,55.8213,-4.3326
881448,G43 1DS,55.8189,-4.3046
881449,G43 1DT,55.8187,-4.3059
881450,G43 1DU,55.8185,-4.3031
881451,G43 1DW,55.8210,-4.3346
881452,G43 1DX,55.8209,-4.3342
881453,G43 1DY,55.8219,-4.3324
881454,G43 1EA,55.8223,-4.2997
881455,G43 1EB,55.8105,-4.3002
881456,G43 1ED,55.8108,-4.3059
881457,G43 1EE,55.8114,-4.3069
881458,G43 1EF,55.8120,-4.3078
881459,G43 1EG,55.8153,-4.3065
881460,G43 1EH,55.8134,-4.3064
881461,G43 1EJ,55.8139,-4.3054
881462,G43 1EL,55.8144,-4.3047
881463,G43 1EN,55.8147,-4.3035
881464,G43 1EP,55.8160,-4.3028
881465,G43 1EQ,55.8129,-4.3075
881466,G43 1ER,55.8178,-4.3025
881467,G43 1ES,55.8204,-4.2998
881468,G43 1ET,55.8228,-4.2930
881469,G43 1EU,55.8153,-4.3048
881470,G43 1EW,55.8153,-4.3030
881471,G43 1EX,55.8149,-4.3067
881472,G43 1EY,55.8159,-4.3078
881473,G43 1EZ,55.8152,-4.3063
881474,G43 1FA,55.8222,-4.2947
881475,G43 1FD,55.8251,-4.2959
881476,G43 1FE,55.8254,-4.2958
881477,G43 1FF,55.8253,-4.2955
881478,G43 1HA,55.8140,-4.3072
881479,G43 1HB,55.8142,-4.3077
881480,G43 1HH,55.8148,-4.3074
881481,G43 1HJ,55.8142,-4.3076
881482,G43 1HL,55.8148,-4.3087
881483,G43 1HN,55.8152,-4.3076
881484,G43 1HP,55.8156,-4.3096
881485,G43 1HQ,55.8137,-4.3082
881486,G43 1HR,55.8204,-4.3022
881487,G43 1HW,55.8148,-4.3093
881488,G43 1HX,55.8153,-4.3088
881489,G43 1HY,55.8158,-4.3096
881490,G43 1HZ,55.8165,-4.3097
881491,G43 1JA,55.8162,-4.3082
881492,G43 1JD,55.8172,-4.3079
881493,G43 1JE,55.8171,-4.3074
881494,G43 1JF,55.8175,-4.3048
881495,G43 1JG,55.8168,-4.3045
881496,G43 1JH,55.8162,-4.3048
881497,G43 1JJ,55.8157,-4.3056
881498,G43 1JL,55.8159,-4.3062
881499,G43 1JN,55.8167,-4.3063
881500,G43 1JP,55.8131,-4.3034
881501,G43 1JT,55.8098,-4.2998
881502,G43 1JU,55.8180,-4.3038
881503,G43 1JW,55.8169,-4.3056
881504,G43 1JX,55.8185,-4.3064
881505,G43 1JY,55.8193,-4.3080
881506,G43 1JZ,55.8197,-4.3066
881507,G43 1LA,55.8193,-4.3054
881508,G43 1LB,55.8194,-4.3038
881509,G43 1LD,55.8201,-4.3043
881510,G43 1LE,55.8204,-4.3052
