id,postcode,lat,lon
884536,G5 8LA,55.8500,-4.2682
884537,G5 8LB,55.8536,-4.2681
884538,G5 8LD,55.8500,-4.2678
884539,G5 8LE,55.8500,-4.2668
884540,G5 8LF,55.8511,-4.2666
884541,G5 8LG,55.8486,-4.2651
884542,G5 8LH,55.8540,-4.2676
884543,G5 8LJ,55.8504,-4.2700
884544,G5 8LL,55.8507,-4.2678
884545,G5 8LN,55.8538,-4.2667
884546,G5 8LP,55.8538,-4.2653
884547,G5 8LQ,55.8504,-4.2678
884548,G5 8LR,55.8540,-4.2668
884549,G5 8LS,55.8494,-4.2664
884550,G5 8LT,55.8451,-4.2652
884551,G5 8LU,55.8408,-4.2637
884552,G5 8LW,55.8508,-4.2701
884553,G5 8LX,55.8518,-4.2753
884554,G5 8LY,55.8540,-4.2668
884555,G5 8LZ,55.8540,-4.2664
