id,postcode,lat,lon
936854,GL8 8AA,51.6380,-2.1608
936855,GL8 8AB,51.6434,-2.1603
936856,GL8 8AD,51.6375,-2.1603
936857,GL8 8AE,51.6463,-2.1604
936858,GL8 8AF,51.6375,-2.1603
936859,GL8 8AG,51.6375,-2.1603
936860,GL8 8AH,51.6383,-2.1618
936861,GL8 8AJ,51.6375,-2.1603
936862,GL8 8AL,51.6373,-2.1605
936863,GL8 8AN,51.6369,-2.1598
936864,GL8 8AP,51.6442,-2.1643
936865,GL8 8AQ,51.6377,-2.1610
936866,GL8 8AR,51.6450,-2.1651
936867,GL8 8AS,51.6451,-2.1643
936868,GL8 8AT,51.6450,-2.1638
936869,GL8 8AU,51.6458,-2.1642
936870,GL8 8AW,51.6411,-2.1618
936871,GL8 8AX,51.6455,-2.1635
936872,GL8 8AY,51.6465,-2.1630
936873,GL8 8AZ,51.6459,-2.1630
936874,GL8 8BA,51.6463,-2.1624
936875,GL8 8BB,51.6454,-2.1630
936876,GL8 8BD,51.6452,-2.1625
936877,GL8 8BE,51.6444,-2.1637
936878,GL8 8BG,51.6438,-2.1631
936879,GL8 8BH,51.6437,-2.1614
936880,GL8 8BJ,51.6431,-2.1613
936881,GL8 8BL,51.6432,-2.1607
936882,GL8 8BN,51.6424,-2.1600
936883,GL8 8BP,51.6437,-2.1643
936884,GL8 8BQ,51.6442,-2.1627
936885,GL8 8BS,51.6417,-2.1595
936886,GL8 8BT,51.6418,-2.1651
936887,GL8 8BU,51.6381,-2.1663
936888,GL8 8BW,51.6427,-2.1596
936889,GL8 8BX,51.6381,-2.1673
936890,GL8 8BY,51.6424,-2.1678
936891,GL8 8BZ,51.6367,-2.1588
936892,GL8 8DA,51.6367,-2.1590
936893,GL8 8DB,51.6367,-2.1588
936894,GL8 8DD,51.6369,-2.1579
936895,GL8 8DE,51.6422,-2.1648
936896,GL8 8DF,51.6385,-2.1655
936897,GL8 8DG,51.6376,-2.1574
936898,GL8 8DH,51.6364,-2.1580
936899,GL8 8DJ,51.6361,-2.1627
936900,GL8 8DL,51.6358,-2.1573
936901,GL8 8DN,51.6359,-2.1590
936902,GL8 8DP,51.6356,-2.1620
936903,GL8 8DQ,51.6388,-2.1573
936904,GL8 8DR,51.6360,-2.1628
936905,GL8 8DS,51.6386,-2.1632
936906,GL8 8DT,51.6383,-2.1626
936907,GL8 8DU,51.6371,-2.1620
936908,GL8 8DW,51.6356,-2.1612
936909,GL8 8DX,51.6372,-2.1654
936910,GL8 8DY,51.6370,-2.1654
936911,GL8 8DZ,51.6362,-2.1641
936912,GL8 8EA,51.6359,-2.1636
936913,GL8 8EB,51.6347,-2.1657
936914,GL8 8ED,51.6337,-2.1635
936915,GL8 8EE,51.6324,-2.1625
936916,GL8 8EF,51.6336,-2.1619
936917,GL8 8EG,51.6337,-2.1624
936918,GL8 8EH,51.6388,-2.1595
936919,GL8 8EJ,51.6320,-2.1648
936920,GL8 8EL,51.6449,-2.1678
936921,GL8 8EN,51.6407,-2.1507
936922,GL8 8EP,51.6395,-2.1543
936923,GL8 8EQ,51.6408,-2.1529
936924,GL8 8ER,51.6433,-2.1590
936925,GL8 8ES,51.6374,-2.1588
936926,GL8 8ET,51.6381,-2.1591
936927,GL8 8EU,51.6378,-2.1579
936928,GL8 8EW,51.6442,-2.1573
936929,GL8 8EX,51.6327,-2.1644
936930,GL8 8EY,51.6391,-2.1557
936931,GL8 8EZ,51.6433,-2.1484
936932,GL8 8FA,51.6417,-2.1521
