id,postcode,lat,lon
986157,HA8 0AA,51.6077,-0.2720
986158,HA8 0AB,51.6068,-0.2720
986159,HA8 0AD,51.6065,-0.2712
986160,HA8 0AE,51.6067,-0.2722
986161,HA8 0AF,51.6066,-0.2723
986162,HA8 0AG,51.6041,-0.2695
986163,HA8 0AH,51.6045,-0.2705
986164,HA8 0AJ,51.6035,-0.2687
986165,HA8 0AL,51.6065,-0.2725
986166,HA8 0AN,51.6036,-0.2695
986167,HA8 0AP,51.6037,-0.2707
986168,HA8 0AQ,51.6064,-0.2727
986169,HA8 0AR,51.6064,-0.2729
986170,HA8 0AS,51.6029,-0.2699
986171,HA8 0AT,51.6037,-0.2678
986172,HA8 0AU,51.6025,-0.2694
986173,HA8 0AW,51.6027,-0.2686
986174,HA8 0AX,51.6018,-0.2684
986175,HA8 0AY,51.6021,-0.2673
986176,HA8 0AZ,51.6016,-0.2644
986177,HA8 0BA,51.6018,-0.2669
986178,HA8 0BB,51.6012,-0.2675
986179,HA8 0BD,51.6132,-0.2778
986180,HA8 0BE,51.6002,-0.2665
986181,HA8 0BF,51.6036,-0.2697
986182,HA8 0BG,51.5996,-0.2674
986183,HA8 0BH,51.6033,-0.2691
986184,HA8 0BJ,51.5994,-0.2655
986185,HA8 0BL,51.5990,-0.2651
986186,HA8 0BN,51.5986,-0.2646
986187,HA8 0BP,51.5980,-0.2640
986188,HA8 0BQ,51.6133,-0.2778
986189,HA8 0BS,51.6050,-0.2688
986190,HA8 0BT,51.6032,-0.2679
986191,HA8 0BU,51.5998,-0.2659
986192,HA8 0BW,51.5982,-0.2642
986193,HA8 0BX,51.6046,-0.2686
986194,HA8 0BY,51.6042,-0.2681
986195,HA8 0BZ,51.6036,-0.2671
986196,HA8 0DA,51.6010,-0.2647
986197,HA8 0DB,51.6012,-0.2649
986198,HA8 0DD,51.6017,-0.2621
986199,HA8 0DE,51.6006,-0.2599
986200,HA8 0DF,51.5999,-0.2631
986201,HA8 0DG,51.6004,-0.2649
986202,HA8 0DH,51.5993,-0.2648
986203,HA8 0DJ,51.5992,-0.2633
986204,HA8 0DL,51.5984,-0.2637
986205,HA8 0DN,51.5986,-0.2623
986206,HA8 0DP,51.5991,-0.2596
986207,HA8 0DQ,51.6005,-0.2655
986208,HA8 0DR,51.6018,-0.2564
986209,HA8 0DS,51.6001,-0.2587
986210,HA8 0DT,51.6005,-0.2576
986211,HA8 0DU,51.6008,-0.2580
986212,HA8 0DW,51.5982,-0.2620
986213,HA8 0DX,51.6012,-0.2579
986214,HA8 0DY,51.6022,-0.2569
986215,HA8 0DZ,51.6032,-0.2563
986216,HA8 0EA,51.6045,-0.2561
986217,HA8 0EB,51.6046,-0.2567
986218,HA8 0ED,51.6066,-0.2742
986219,HA8 0EE,51.6072,-0.2732
986220,HA8 0EF,51.6071,-0.2725
986221,HA8 0EG,51.6023,-0.2644
986222,HA8 0EH,51.6067,-0.2732
986223,HA8 0EJ,51.6030,-0.2636
986224,HA8 0EL,51.6028,-0.2631
986225,HA8 0EN,51.6028,-0.2620
986226,HA8 0EP,51.6016,-0.2604
986227,HA8 0EQ,51.6049,-0.2606
986228,HA8 0ER,51.6021,-0.2587
986229,HA8 0ES,51.6026,-0.2586
986230,HA8 0ET,51.6016,-0.2577
986231,HA8 0EU,51.6026,-0.2570
986232,HA8 0EW,51.6017,-0.2594
986233,HA8 0EX,51.6027,-0.2574
986234,HA8 0EY,51.6030,-0.2582
986235,HA8 0EZ,51.6038,-0.2569
986236,HA8 0FA,51.6033,-0.2676
986237,HA8 0FB,51.6032,-0.2681
986238,HA8 0FD,51.6050,-0.2716
986239,HA8 0FE,51.6046,-0.2720
986240,HA8 0FG,51.6051,-0.2707
986241,HA8 0FH,51.6049,-0.2705
986242,HA8 0FJ,51.6057,-0.2700
986243,HA8 0FL,51.6057,-0.2694
986244,HA8 0FN,51.6053,-0.2696
986245,HA8 0FQ,51.6030,-0.2679
986246,HA8 0GA,51.6062,-0.2734
986247,HA8 0HA,51.6041,-0.2566
986248,HA8 0HB,51.6040,-0.2582
986249,HA8 0HD,51.6040,-0.2588
986250,HA8 0HE,51.6036,-0.2588
986251,HA8 0HF,51.6031,-0.2603
986252,HA8 0HG,51.6034,-0.2583
986253,HA8 0HH,51.6027,-0.2613
986254,HA8 0HJ,51.6033,-0.2606
986255,HA8 0HL,51.6031,-0.2614
986256,HA8 0HN,51.6051,-0.2594
986257,HA8 0HP,51.6036,-0.2596
986258,HA8 0HQ,51.6028,-0.2601
986259,HA8 0HR,51.6030,-0.2620
986260,HA8 0HS,51.6014,-0.2677
986261,HA8 0HW,51.6054,-0.2599
986262,HA8 0HY,51.6028,-0.2554
