id,postcode,lat,lon
PPL,HAMPDENPARK,50.7948,0.2759
PPL,HAMPDENROW,51.7000,-0.7667
PPLX,HAMPETERSHAMANDRICHMONDRIVERSIDE,51.4378,-0.2962
PPL,HAMPNETT,51.8396,-1.8567
ADM3,HAMPOLE,53.5944,-1.2344
PPL,HAMPRESTON,50.7901,-1.9237
ADM2,HAMPSHIRE,51.0000,-1.2500
PPL,HAMPSTEAD,51.5574,-0.1821
ADM3,HAMPSTEADMARSHALL,51.3871,-1.4071
PPL,HAMPSTEADNORREYS,51.4839,-1.2403
PPLX,HAMPSTEADTOWN,51.5603,-0.1741
PPL,HAMPSTHWAITE,54.0237,-1.6062
PPL,HAMPTON,51.4133,-0.3670
PPL,HAMPTONBISHOP,52.0405,-2.6472
ADM3,HAMPTONCHARLES,52.2420,-2.5787
PPL,HAMPTONCOURT,51.4036,-0.3375
ADM4,HAMPTONGAYANDPOYLE,51.8372,-1.2774
PPLX,HAMPTONHILL,51.4282,-0.3579
PPLA3,HAMPTONINARDEN,52.4254,-1.7027
PPL,HAMPTONLOADE,52.4748,-2.3764
ADM4,HAMPTONLOVETT,52.2893,-2.1672
PPL,HAMPTONLUCY,52.2123,-1.6280
PPLX,HAMPTONNORTH,51.4279,-0.3749
PPLX,HAMPTONWICK,51.4167,-0.3154
