id,postcode,lat,lon
ADM3,HARDEN,53.84274,-1.87311
PPL,HARDENHUISH,51.47028,-2.13111
PPL,HARDHAM,50.94813,-0.51867
PPL,HARDINGHAM,52.59435,1.01637
PPL,HARDINGSTONE,52.21358,-0.88582
PPL,HARDINGTON,51.2725,-2.37111
ADM4,HARDINGTONMANDEVILLE,50.88973,-2.70222
ADM3,HARDMEAD,52.11648,-0.63263
PPL,HARDSTOFT,53.16375,-1.3436
PPL,HARDWICK,52.46032,1.26746
PPL,HARDWICKE,51.80694,-2.29128
PPL,HARDWICKVILLAGE,53.27372,-1.0432
ADM4,HARDWICKWITHTUSMORE,51.96737,-1.17475
ADM4,HARDWICKWITHYELFORD,51.74661,-1.46264
