id,postcode,lat,lon
1080225,HD1 1DU,53.6482,-1.7822
1080226,HD1 1DY,53.6491,-1.7818
1080227,HD1 1EB,53.6496,-1.7824
1080228,HD1 1ED,53.6543,-1.7776
1080229,HD1 1EG,53.6493,-1.7824
1080230,HD1 1EH,53.6490,-1.7829
1080231,HD1 1ER,53.6483,-1.7826
1080232,HD1 1ES,53.6482,-1.7827
1080233,HD1 1EX,53.6479,-1.7832
1080235,HD1 1JB,53.6484,-1.7845
1080236,HD1 1JF,53.6479,-1.7848
1080237,HD1 1JP,53.6474,-1.7845
1080238,HD1 1JS,53.6477,-1.7840
1080239,HD1 1JY,53.6475,-1.7840
1080240,HD1 1LA,53.6479,-1.7838
1080241,HD1 1LE,53.6455,-1.7851
1080242,HD1 1LJ,53.6478,-1.7830
1080243,HD1 1LN,53.6472,-1.7834
1080244,HD1 1LS,53.6475,-1.7837
1080245,HD1 1LY,53.6475,-1.7837
1080246,HD1 1ND,53.6472,-1.7831
1080247,HD1 1NN,53.6471,-1.7831
1080248,HD1 1NP,53.6468,-1.7834
1080249,HD1 1NU,53.6471,-1.7838
1080250,HD1 1NX,53.6472,-1.7847
1080251,HD1 1NY,53.6468,-1.7851
1080252,HD1 1PA,53.6483,-1.7815
1080253,HD1 1PB,53.6468,-1.7855
1080254,HD1 1QA,53.6480,-1.7804
1080256,HD1 1QF,53.6477,-1.7797
1080257,HD1 1QH,53.6467,-1.7814
1080258,HD1 1QJ,53.6470,-1.7820
1080259,HD1 1QQ,53.6469,-1.7805
1080260,HD1 1QS,53.6470,-1.7815
1080261,HD1 1QT,53.6473,-1.7795
1080262,HD1 1QX,53.6482,-1.7794
1080263,HD1 1QY,53.6480,-1.7795
1080264,HD1 1QZ,53.6486,-1.7797
1080265,HD1 1RA,53.6483,-1.7802
1080268,HD1 1RL,53.6493,-1.7805
1080270,HD1 1RW,53.6503,-1.7825
1080273,HD1 1SE,53.6501,-1.7767
1080275,HD1 1SG,53.6490,-1.7764
1080277,HD1 1SR,53.6478,-1.7780
1080279,HD1 1ST,53.6481,-1.7786
1080280,HD1 1SU,53.6481,-1.7786
1080281,HD1 1SW,53.6481,-1.7786
1080284,HD1 1TA,53.6473,-1.7779
1080287,HD1 1XJ,53.6484,-1.7815
1080288,HD1 1XL,53.6483,-1.7815
1080289,HD1 1XN,53.6484,-1.7815
1080291,HD1 1YQ,53.6483,-1.7815
1080606,HD1 1AA,53.6486,-1.7813
1080607,HD1 1BA,53.6472,-1.7823
1080608,HD1 1BG,53.6478,-1.7823
1080609,HD1 1BL,53.6476,-1.7829
1080610,HD1 1BQ,53.6477,-1.7823
1080611,HD1 1BR,53.6473,-1.7828
1080612,HD1 1BS,53.6475,-1.7829
1080613,HD1 1BT,53.6472,-1.7821
1080614,HD1 1BU,53.6474,-1.7809
1080615,HD1 1BX,53.6473,-1.7817
1080616,HD1 1BY,53.6473,-1.7817
1080617,HD1 1DA,53.6477,-1.7819
1080618,HD1 1DD,53.6476,-1.7821
1080619,HD1 1DE,53.6481,-1.7786
1080620,HD1 1DG,53.6477,-1.7819
1080621,HD1 1DH,53.6479,-1.7823
1080622,HD1 1DL,53.6481,-1.7821
1080623,HD1 1DR,53.6490,-1.7824
1080624,HD1 1DT,53.6486,-1.7821
1780115,HD1 1DJ,53.6480,-1.7820
1780116,HD1 1QL,53.6468,-1.7798
1780117,HD1 1RF,53.6489,-1.7815
2094057,HD1 1AB,53.6484,-1.7821
