id,postcode,lat,lon
PPL,HEATH,53.2,-1.33333
ADM4,HEATHANDHOLMEWOOD,53.19691,-1.34004
PPL,HEATHANDREACH,51.94517,-0.65697
ADM4,HEATHCHARNOCK,53.63512,-2.60042
PPLX,HEATHEND,51.23752,-0.78857
PPL,HEATHER,52.6933,-1.4241
PPL,HEATHERWICK,57.26062,-2.32185
PPL,HEATHFIELD,50.96718,0.25612
ADM4,HEATHFIELDANDWALDRON,50.96547,0.25238
ADM4,HEATHHAYESANDWIMBLEBURY,52.69346,-1.99183
PPL,HEATHROW,51.4673,-0.4529
PPLX,HEATHROWVILLAGES,51.47727,-0.45874
PPL,HEATHTON,52.53333,-2.28333
PPL,HEATHWAEN,52.78704,-2.99446
ADM4,HEATHYLEE,53.16462,-1.92381
PPLX,HEATON,54.98333,-1.58333
PPL,HEATONCHAPEL,53.43333,-2.18333
PPL,HEATONMOOR,53.42283,-2.18353
PPL,HEATONNORRIS,53.41654,-2.16989
ADM4,HEATONWITHOXCLIFFE,54.04325,-2.84912
