id,postcode,lat,lon
1004620,HG3 3AA,54.0289,-1.5953
1004621,HG3 3AB,54.0300,-1.6016
1004622,HG3 3AD,54.0406,-1.5684
1004623,HG3 3AE,54.0409,-1.5681
1004624,HG3 3AF,54.0328,-1.6274
1004625,HG3 3AG,54.0340,-1.6270
1004626,HG3 3AH,54.0334,-1.6255
1004627,HG3 3AJ,54.0344,-1.6255
1004628,HG3 3AL,54.0352,-1.6270
1004629,HG3 3AN,54.0346,-1.6270
1004630,HG3 3AP,54.0352,-1.6290
1004631,HG3 3AQ,54.0333,-1.6265
1004632,HG3 3AR,54.0374,-1.6329
1004633,HG3 3AS,54.0393,-1.6504
1004634,HG3 3AT,54.0402,-1.5663
1004635,HG3 3AU,54.0372,-1.5592
1004636,HG3 3AW,54.0371,-1.6273
1004637,HG3 3AX,54.0402,-1.5671
1004638,HG3 3AY,54.0401,-1.5683
1004639,HG3 3AZ,54.0394,-1.5666
1004640,HG3 3BA,54.0332,-1.5659
1004641,HG3 3BB,54.0344,-1.5547
1004642,HG3 3BD,54.0376,-1.5502
1004643,HG3 3BE,54.0348,-1.5447
1004644,HG3 3BF,54.0646,-1.5857
1004645,HG3 3BG,54.0345,-1.5442
1004646,HG3 3BH,54.0320,-1.5363
1004647,HG3 3BJ,54.0339,-1.5361
1004648,HG3 3BL,54.0420,-1.5428
1004649,HG3 3BN,54.0421,-1.5404
1004650,HG3 3BP,54.0328,-1.5352
1004651,HG3 3BQ,54.0349,-1.5442
1004652,HG3 3BS,54.0247,-1.5288
1004653,HG3 3BT,54.0406,-1.5173
1004654,HG3 3BU,54.0422,-1.5173
1004655,HG3 3BW,54.0331,-1.5362
1004656,HG3 3BX,54.0435,-1.5101
1004657,HG3 3BY,54.0451,-1.5076
1004658,HG3 3BZ,54.0443,-1.5066
1004659,HG3 3DA,54.0521,-1.5064
1004660,HG3 3DB,54.0508,-1.4873
1004661,HG3 3DD,54.0438,-1.5184
1004662,HG3 3DE,54.0437,-1.5276
1004663,HG3 3DF,54.0489,-1.5255
1004664,HG3 3DG,54.0692,-1.5025
1004665,HG3 3DH,54.0487,-1.6154
1004666,HG3 3DJ,54.0698,-1.5912
1004667,HG3 3DL,54.0441,-1.5962
1004668,HG3 3DN,54.0354,-1.5899
1004669,HG3 3DP,54.0409,-1.6101
1004670,HG3 3DQ,54.0414,-1.5434
1004671,HG3 3DR,54.0333,-1.6147
1004672,HG3 3DS,54.0347,-1.6059
1004673,HG3 3DT,54.0388,-1.5978
1004674,HG3 3DU,54.0314,-1.5999
1004675,HG3 3DW,54.0446,-1.6088
1004676,HG3 3DX,54.0400,-1.5659
1004677,HG3 3DY,54.0355,-1.6244
1004678,HG3 3DZ,54.0495,-1.5595
1004679,HG3 3EA,54.0453,-1.5723
1004680,HG3 3EB,54.0493,-1.5817
1004681,HG3 3ED,54.0496,-1.5922
1004682,HG3 3EE,54.0489,-1.5937
1004683,HG3 3EF,54.0456,-1.6058
1004684,HG3 3EG,54.0454,-1.6086
1004685,HG3 3EH,54.0494,-1.6094
1004686,HG3 3EJ,54.0460,-1.6188
1004687,HG3 3EL,54.0461,-1.6196
1004688,HG3 3EN,54.0466,-1.6195
1004689,HG3 3EP,54.0524,-1.6410
1004690,HG3 3EQ,54.0451,-1.6076
1004691,HG3 3ER,54.0517,-1.6398
1004692,HG3 3ES,54.0439,-1.6446
1004693,HG3 3ET,54.0427,-1.6330
1004694,HG3 3EU,54.0483,-1.6523
1004695,HG3 3EW,54.0491,-1.6249
1004696,HG3 3EX,54.0398,-1.6552
1004697,HG3 3EY,54.0469,-1.6661
1004698,HG3 3EZ,54.0515,-1.6733
1004699,HG3 3GY,54.0458,-1.6164
1004700,HG3 3HA,54.0585,-1.6723
1004701,HG3 3HB,54.0651,-1.6659
1004702,HG3 3HD,54.0746,-1.6656
1004703,HG3 3HE,54.0651,-1.6545
1004704,HG3 3HF,54.0579,-1.6506
1004705,HG3 3HG,54.0456,-1.6194
1004706,HG3 3HH,54.0448,-1.6167
1004707,HG3 3HJ,54.0574,-1.6113
1004708,HG3 3HL,54.0530,-1.6041
1004709,HG3 3HN,54.0554,-1.5975
1004710,HG3 3HP,54.0570,-1.6154
