id,postcode,lat,lon
1023947,HP3 9AA,51.7393,-0.4741
1023948,HP3 9AB,51.7411,-0.4809
1023949,HP3 9AD,51.7387,-0.4659
1023950,HP3 9AE,51.7372,-0.4642
1023951,HP3 9AF,51.7410,-0.4627
1023952,HP3 9AG,51.7402,-0.4812
1023953,HP3 9AH,51.7423,-0.4847
1023954,HP3 9AJ,51.7389,-0.4745
1023955,HP3 9AL,51.7411,-0.4775
1023956,HP3 9AN,51.7406,-0.4768
1023957,HP3 9AP,51.7416,-0.4802
1023958,HP3 9AQ,51.7401,-0.4805
1023959,HP3 9AR,51.7419,-0.4828
1023960,HP3 9AS,51.7411,-0.4838
1023961,HP3 9AT,51.7418,-0.4832
1023962,HP3 9AU,51.7416,-0.4843
1023963,HP3 9AW,51.7434,-0.4727
1023964,HP3 9AX,51.7425,-0.4851
1023965,HP3 9AY,51.7422,-0.4864
1023966,HP3 9AZ,51.7410,-0.4811
1023967,HP3 9BA,51.7416,-0.4825
1023968,HP3 9BB,51.7468,-0.4616
1023969,HP3 9BD,51.7427,-0.4841
1023970,HP3 9BE,51.7429,-0.4867
1023971,HP3 9BF,51.7308,-0.4584
1023972,HP3 9BG,51.7428,-0.4887
1023973,HP3 9BH,51.7411,-0.4879
1023974,HP3 9BJ,51.7404,-0.4843
1023975,HP3 9BL,51.7399,-0.4484
1023976,HP3 9BN,51.7467,-0.4622
1023977,HP3 9BP,51.7285,-0.4506
1023978,HP3 9BQ,51.7425,-0.4903
1023979,HP3 9BS,51.7441,-0.4732
1023980,HP3 9BT,51.7407,-0.4806
1023981,HP3 9BU,51.7398,-0.4657
1023982,HP3 9BW,51.7471,-0.4619
1023983,HP3 9BX,51.7442,-0.4730
1023984,HP3 9BY,51.7420,-0.4728
1023985,HP3 9BZ,51.7416,-0.4733
1023986,HP3 9DA,51.7375,-0.4646
1023987,HP3 9DB,51.7424,-0.4843
1023988,HP3 9DD,51.7306,-0.4540
1023989,HP3 9DE,51.7379,-0.4650
1023990,HP3 9DF,51.7484,-0.4699
1023991,HP3 9DG,51.7313,-0.4556
1023992,HP3 9DH,51.7294,-0.4531
1023993,HP3 9DJ,51.7388,-0.4726
1023994,HP3 9DL,51.7381,-0.4730
1023995,HP3 9DN,51.7484,-0.4699
1023996,HP3 9DP,51.7314,-0.4547
1023997,HP3 9DQ,51.7311,-0.4560
1023998,HP3 9DR,51.7297,-0.4534
1023999,HP3 9DS,51.7385,-0.4715
1024000,HP3 9DT,51.7381,-0.4717
1024001,HP3 9DU,51.7380,-0.4724
1024002,HP3 9DW,51.7385,-0.4722
1024003,HP3 9DX,51.7376,-0.4729
1024004,HP3 9DY,51.7439,-0.4658
1024005,HP3 9DZ,51.7434,-0.4665
1024006,HP3 9EA,51.7467,-0.4683
1024007,HP3 9EB,51.7457,-0.4710
1024008,HP3 9ED,51.7449,-0.4695
1024009,HP3 9EE,51.7447,-0.4707
1024010,HP3 9EF,51.7437,-0.4697
1024011,HP3 9EG,51.7435,-0.4684
1024012,HP3 9EH,51.7435,-0.4669
1024013,HP3 9EJ,51.7443,-0.4659
1024014,HP3 9EL,51.7448,-0.4660
1024015,HP3 9EN,51.7448,-0.4681
1024016,HP3 9EP,51.7447,-0.4668
1024017,HP3 9EQ,51.7484,-0.4699
1024018,HP3 9ER,51.7471,-0.4637
1024019,HP3 9ES,51.7481,-0.4626
1024020,HP3 9ET,51.7484,-0.4638
1024021,HP3 9EU,51.7481,-0.4650
1024022,HP3 9EW,51.7442,-0.4681
1024023,HP3 9EX,51.7474,-0.4643
1024024,HP3 9EY,51.7464,-0.4650
1024025,HP3 9EZ,51.7465,-0.4660
1024026,HP3 9FA,51.7484,-0.4699
1024027,HP3 9FB,51.7377,-0.4560
1024028,HP3 9FD,51.7370,-0.4570
1024029,HP3 9FE,51.7323,-0.4574
1024030,HP3 9FF,51.7324,-0.4579
1024031,HP3 9FG,51.7319,-0.4582
1024032,HP3 9FH,51.7320,-0.4615
1024033,HP3 9FJ,51.7353,-0.4613
1024034,HP3 9FL,51.7420,-0.4693
1024035,HP3 9FN,51.7484,-0.4699
1024036,HP3 9FP,51.7335,-0.4594
1024037,HP3 9FQ,51.7320,-0.4579
1024038,HP3 9FR,51.7331,-0.4575
1024039,HP3 9FS,51.7341,-0.4606
1024040,HP3 9FT,51.7484,-0.4699
1024041,HP3 9FU,51.7370,-0.4636
1024042,HP3 9FW,51.7431,-0.4630
1024043,HP3 9FX,51.7291,-0.4527
1024044,HP3 9FY,51.7292,-0.4525
1024045,HP3 9FZ,51.7377,-0.4621
1024046,HP3 9GA,51.7288,-0.4521
1024047,HP3 9GB,51.7284,-0.4515
1024048,HP3 9GD,51.7285,-0.4527
1024049,HP3 9GE,51.7330,-0.4627
1024050,HP3 9GF,51.7327,-0.4622
1024051,HP3 9GG,51.7642,-0.4393
1024052,HP3 9GH,51.7284,-0.4525
1024053,HP3 9GJ,51.7281,-0.4513
1024054,HP3 9GL,51.7280,-0.4518
1024055,HP3 9GN,51.7484,-0.4699
1024056,HP3 9GP,51.7391,-0.4676
1024057,HP3 9GQ,51.7386,-0.4667
1024058,HP3 9GR,51.7296,-0.4515
1024059,HP3 9GS,51.7290,-0.4511
1024060,HP3 9GT,51.7407,-0.4621
1024061,HP3 9GU,51.7298,-0.4523
1024062,HP3 9GW,51.7484,-0.4699
1024063,HP3 9GX,51.7301,-0.4525
1024064,HP3 9GY,51.7301,-0.4532
1024065,HP3 9GZ,51.7484,-0.4699
1024066,HP3 9HA,51.7476,-0.4662
1024067,HP3 9HB,51.7460,-0.4685
1024068,HP3 9HD,51.7400,-0.4784
1024069,HP3 9HE,51.7366,-0.4630
1024070,HP3 9HF,51.7457,-0.4674
1024071,HP3 9HG,51.7450,-0.4663
1024072,HP3 9HH,51.7456,-0.4723
1024073,HP3 9HJ,51.7365,-0.4707
1024074,HP3 9HL,51.7449,-0.4716
1024075,HP3 9HN,51.7442,-0.4718
1024076,HP3 9HP,51.7378,-0.4704
1024077,HP3 9HQ,51.7456,-0.4660
1024078,HP3 9HR,51.7429,-0.4718
1024079,HP3 9HS,51.7420,-0.4688
1024080,HP3 9HT,51.7427,-0.4673
1024081,HP3 9HU,51.7441,-0.4649
1024082,HP3 9HW,51.7435,-0.4708
1024083,HP3 9HX,51.7413,-0.4680
1024084,HP3 9HY,51.7415,-0.4664
1024085,HP3 9HZ,51.7425,-0.4644
1024086,HP3 9JA,51.7437,-0.4634
1024087,HP3 9JB,51.7448,-0.4630
1024088,HP3 9JD,51.7453,-0.4639
1024089,HP3 9JE,51.7443,-0.4612
1024090,HP3 9JF,51.7401,-0.4668
1024091,HP3 9JG,51.7447,-0.4619
1024092,HP3 9JH,51.7453,-0.4648
1024093,HP3 9JJ,51.7458,-0.4519
1024094,HP3 9JL,51.7440,-0.4509
1024095,HP3 9JN,51.7429,-0.4499
1024096,HP3 9JP,51.7455,-0.4565
1024097,HP3 9JQ,51.7339,-0.4625
1024098,HP3 9JR,51.7480,-0.4519
1024099,HP3 9JS,51.7443,-0.4635
1024100,HP3 9JT,51.7430,-0.4652
1024101,HP3 9JU,51.7429,-0.4587
1024102,HP3 9JW,51.7474,-0.4526
1024103,HP3 9JX,51.7430,-0.4565
1024104,HP3 9JY,51.7410,-0.4565
1024105,HP3 9JZ,51.7425,-0.4549
1024106,HP3 9LA,51.7435,-0.4557
1024107,HP3 9LB,51.7426,-0.4538
1024108,HP3 9LD,51.7427,-0.4527
1024109,HP3 9LE,51.7434,-0.4530
1024110,HP3 9LF,51.7425,-0.4684
1024111,HP3 9LG,51.7419,-0.4672
1024112,HP3 9LH,51.7439,-0.4537
1024113,HP3 9LJ,51.7446,-0.4539
1024114,HP3 9LL,51.7450,-0.4542
1024115,HP3 9LN,51.7458,-0.4551
1024116,HP3 9LP,51.7462,-0.4542
1024117,HP3 9LQ,51.7440,-0.4552
1024118,HP3 9LR,51.7455,-0.4533
1024119,HP3 9LS,51.7446,-0.4525
1024120,HP3 9LT,51.7437,-0.4518
1024121,HP3 9LU,51.7428,-0.4510
