id,postcode,lat,lon
1052225,HR3 5PN,52.0618,-3.1464
1052226,HR3 5PP,52.0653,-3.1501
1052227,HR3 5PQ,52.0550,-3.1500
1052228,HR3 5PR,52.0584,-3.1638
1052229,HR3 5PS,52.0541,-3.1653
1052230,HR3 5PT,52.0504,-3.1804
1052231,HR3 5PU,52.0561,-3.1559
1052232,HR3 5PW,52.0702,-3.1410
1052233,HR3 5PX,52.0512,-3.1384
1052234,HR3 5PY,52.0466,-3.1257
1052235,HR3 5PZ,52.0545,-3.1489
1052236,HR3 5QA,52.0516,-3.1482
1052237,HR3 5QB,52.0482,-3.1493
1052238,HR3 5QD,52.0357,-3.1371
1052239,HR3 5QE,52.0426,-3.1518
1052240,HR3 5QF,52.0433,-3.1613
1052241,HR3 5QG,52.0421,-3.1707
1052242,HR3 5QH,52.0337,-3.1539
1052243,HR3 5QJ,52.0200,-3.1374
1052244,HR3 5QL,52.0281,-3.1439
1052245,HR3 5QN,52.0368,-3.1475
1052246,HR3 5QP,52.0444,-3.1271
1052247,HR3 5QQ,52.0378,-3.1623
1052248,HR3 5QR,52.0707,-3.1348
1052249,HR3 5QS,52.0707,-3.1362
1052250,HR3 5QT,52.0553,-3.1494
1052251,HR3 5QU,52.0547,-3.1482
1052252,HR3 5QW,52.0426,-3.1387
1052253,HR3 5QX,52.0737,-3.1170
1052254,HR3 5QY,52.0757,-3.1153
1052255,HR3 5QZ,52.0726,-3.1185
1052256,HR3 5RA,52.0726,-3.1181
1052257,HR3 5RB,52.0721,-3.1182
1052258,HR3 5RD,52.0712,-3.1184
1052259,HR3 5RE,52.0692,-3.1188
1052260,HR3 5RF,52.0684,-3.1146
1052262,HR3 5RH,52.0503,-3.1228
1052263,HR3 5RJ,52.0206,-3.1187
1052264,HR3 5RL,52.0503,-3.1132
1052265,HR3 5RN,52.0360,-3.0840
1052266,HR3 5RP,52.0546,-3.1504
1052267,HR3 5RQ,52.0629,-3.1085
1052268,HR3 5RR,52.0878,-3.1472
1052269,HR3 5RS,52.0809,-3.1317
1052270,HR3 5RT,52.0859,-3.1326
1052271,HR3 5RU,52.0921,-3.1392
1052272,HR3 5RW,52.0740,-3.1192
1052273,HR3 5RX,52.0992,-3.1310
1052274,HR3 5RY,52.1069,-3.1205
1052275,HR3 5RZ,52.0873,-3.1482
1052276,HR3 5SA,52.0870,-3.1485
1052277,HR3 5SB,52.0853,-3.1491
1052278,HR3 5SD,52.0840,-3.1478
1052279,HR3 5SE,52.0872,-3.1511
1052280,HR3 5SF,52.0874,-3.1503
1052281,HR3 5SG,52.0906,-3.1683
1052282,HR3 5SH,52.1152,-3.1688
1052283,HR3 5SJ,52.1107,-3.1616
1052284,HR3 5SL,52.0981,-3.1436
1052285,HR3 5SN,52.0998,-3.1471
1052286,HR3 5SP,52.0859,-3.1480
1052287,HR3 5SQ,52.1035,-3.1696
1052288,HR3 5SR,52.0872,-3.1530
1052289,HR3 5SS,52.0879,-3.1492
1052290,HR3 5ST,52.0725,-3.0125
1052291,HR3 5SU,52.0832,-3.0273
1052292,HR3 5SW,52.0897,-3.1470
1052293,HR3 5SX,52.0957,-3.0399
1052294,HR3 5SY,52.0876,-3.0490
1052295,HR3 5SZ,52.0859,-3.1469
1052296,HR3 5TA,52.0832,-3.0655
1052325,HR3 5TB,52.0758,-3.0825
1052326,HR3 5TD,52.0781,-3.1028
1052327,HR3 5TE,52.0728,-3.0928
1052328,HR3 5TF,52.0670,-3.0874
1052329,HR3 5TG,52.0570,-3.0727
1052330,HR3 5TH,52.0457,-3.2011
1052331,HR3 5TR,52.0873,-3.1426
1052332,HR3 5WU,52.0607,-2.7100
1052337,HR3 5ZZ,52.0746,-3.1252
1052460,HR3 5AA,52.0746,-3.1250
1052461,HR3 5AB,52.0747,-3.1235
1052462,HR3 5AD,52.0740,-3.1224
1052463,HR3 5AE,52.0744,-3.1256
1052464,HR3 5AF,52.0742,-3.1252
1052465,HR3 5AG,52.0743,-3.1245
1052466,HR3 5AH,52.0736,-3.1248
1052467,HR3 5AJ,52.0733,-3.1246
1052468,HR3 5AN,52.0742,-3.1236
1052469,HR3 5AP,52.0733,-3.1213
1052470,HR3 5AQ,52.0740,-3.1246
1052471,HR3 5AR,52.0747,-3.1220
1052472,HR3 5AS,52.0750,-3.1230
1052473,HR3 5AT,52.0760,-3.1244
1052474,HR3 5AU,52.0761,-3.1243
1052475,HR3 5AW,52.0731,-3.1219
1052476,HR3 5AX,52.0762,-3.1247
1052477,HR3 5AY,52.0757,-3.1244
1052478,HR3 5AZ,52.0755,-3.1236
1052479,HR3 5BA,52.0776,-3.1241
1052480,HR3 5BB,52.0778,-3.1237
1052481,HR3 5BD,52.0777,-3.1232
1052482,HR3 5BE,52.0781,-3.1234
1052483,HR3 5BG,52.0770,-3.1251
1052484,HR3 5BH,52.0763,-3.1237
1052485,HR3 5BJ,52.0773,-3.1250
1052486,HR3 5BL,52.0751,-3.1246
1052487,HR3 5BN,52.0745,-3.1247
1052488,HR3 5BP,52.0752,-3.1236
1052489,HR3 5BQ,52.0755,-3.1245
1052490,HR3 5BS,52.0744,-3.1278
1052491,HR3 5BT,52.0724,-3.1268
1052492,HR3 5BU,52.0747,-3.1260
1052493,HR3 5BW,52.0739,-3.1229
1052494,HR3 5BX,52.0747,-3.1265
1052495,HR3 5BY,52.0754,-3.1250
1052496,HR3 5BZ,52.0782,-3.1244
1052497,HR3 5DA,52.0746,-3.1272
1052498,HR3 5DB,52.0756,-3.1261
1052499,HR3 5DD,52.0752,-3.1259
1052500,HR3 5DE,52.0759,-3.1264
1052501,HR3 5DF,52.0737,-3.1271
1052502,HR3 5DG,52.0733,-3.1270
1052503,HR3 5DH,52.0764,-3.1258
1052525,HR3 5DJ,52.0754,-3.1257
1052526,HR3 5DL,52.0722,-3.1282
1052527,HR3 5DN,52.0718,-3.1293
1052528,HR3 5DP,52.0722,-3.1288
1052529,HR3 5DQ,52.0728,-3.1288
1052530,HR3 5DR,52.0727,-3.1329
1052531,HR3 5DS,52.0711,-3.1257
1052532,HR3 5DT,52.0716,-3.1283
1052533,HR3 5DU,52.0707,-3.1278
1052534,HR3 5DW,52.0720,-3.1290
1052535,HR3 5DX,52.0711,-3.1278
1052536,HR3 5DY,52.0706,-3.1303
1052537,HR3 5DZ,52.0707,-3.1309
1052538,HR3 5EA,52.0715,-3.1304
1052539,HR3 5EB,52.0714,-3.1308
1052540,HR3 5ED,52.0718,-3.1307
1052541,HR3 5EE,52.0717,-3.1311
1052542,HR3 5EF,52.0721,-3.1318
1052543,HR3 5EG,52.0713,-3.1332
1052544,HR3 5EH,52.0709,-3.1246
1052545,HR3 5EJ,52.0705,-3.1259
1052546,HR3 5EL,52.0716,-3.1364
1052547,HR3 5EN,52.0777,-3.1209
1052548,HR3 5EP,52.1017,-3.1047
1052549,HR3 5EQ,52.0736,-3.1267
1052550,HR3 5ER,52.1051,-3.1013
1052551,HR3 5ES,52.0887,-3.0784
1052552,HR3 5ET,52.1068,-3.0998
1052553,HR3 5EU,52.1058,-3.1030
1052554,HR3 5EW,52.0850,-3.1184
1052555,HR3 5EX,52.0990,-3.0996
1052556,HR3 5EY,52.0987,-3.0915
1052557,HR3 5EZ,52.0953,-3.0899
1052558,HR3 5FA,52.0693,-3.1241
1052559,HR3 5FD,52.0742,-3.1254
1052560,HR3 5HA,52.0958,-3.0614
1052561,HR3 5HB,52.1014,-3.0328
1052562,HR3 5HD,52.0977,-3.0804
1052563,HR3 5HE,52.1001,-3.0863
1052564,HR3 5HF,52.1011,-3.0809
1052565,HR3 5HG,52.1015,-3.0858
1052566,HR3 5HH,52.1050,-3.0796
1052567,HR3 5HJ,52.1064,-3.0921
1052568,HR3 5HL,52.1022,-3.0902
1052569,HR3 5HQ,52.1047,-3.0850
1052570,HR3 5HT,52.1030,-3.1045
1052571,HR3 5HU,52.1137,-3.0877
1052572,HR3 5JA,52.0675,-3.1795
1052573,HR3 5JB,52.0684,-3.1803
1052574,HR3 5JD,52.0683,-3.1823
1052575,HR3 5JE,52.0666,-3.1920
1052576,HR3 5JF,52.0721,-3.2045
1052577,HR3 5JG,52.0852,-3.2068
1052578,HR3 5JH,52.0908,-3.1874
1052579,HR3 5JJ,52.0906,-3.1812
1052580,HR3 5JL,52.1004,-3.1826
1052581,HR3 5JP,52.0852,-3.1833
1052582,HR3 5JR,52.0829,-3.1714
1052583,HR3 5JS,52.0770,-3.1855
1052584,HR3 5JT,52.0798,-3.1666
1052585,HR3 5JU,52.0799,-3.1688
1052586,HR3 5JW,52.0927,-3.1761
1052587,HR3 5JX,52.0765,-3.1723
1052588,HR3 5JY,52.0430,-3.1955
1052589,HR3 5JZ,52.0864,-3.1468
1052590,HR3 5LA,52.0797,-3.1365
1052591,HR3 5LB,52.0857,-3.1530
1052592,HR3 5LD,52.0819,-3.1547
1052593,HR3 5LE,52.0811,-3.1516
1052594,HR3 5LF,52.0705,-3.1378
1052595,HR3 5LG,52.0613,-3.1928
1052596,HR3 5LH,52.0457,-3.2027
1052597,HR3 5LJ,52.0447,-3.2021
1052598,HR3 5LL,52.0444,-3.2024
1052599,HR3 5LN,52.0455,-3.2039
1052600,HR3 5LP,52.0471,-3.2085
1052601,HR3 5LQ,52.0552,-3.2070
1052602,HR3 5LR,52.0488,-3.2153
1052603,HR3 5LS,52.0490,-3.2153
1052604,HR3 5LT,52.0489,-3.2147
1052605,HR3 5LU,52.0581,-3.2231
1052606,HR3 5LW,52.0460,-3.2053
1052607,HR3 5LX,52.0633,-3.2214
1052608,HR3 5LY,52.0639,-3.2137
1052609,HR3 5LZ,52.0695,-3.2196
1052610,HR3 5NA,52.0782,-3.2190
1052611,HR3 5NB,52.0683,-3.2462
1052612,HR3 5ND,52.0672,-3.2262
1052613,HR3 5NE,52.0640,-3.2203
1052614,HR3 5NF,52.0449,-3.2036
1052615,HR3 5NG,52.0797,-3.2539
1052616,HR3 5NH,52.0436,-3.1959
1052617,HR3 5NJ,52.0599,-3.2015
1052618,HR3 5NL,52.0483,-3.2004
1052619,HR3 5NN,52.0462,-3.2016
1052620,HR3 5NP,52.0460,-3.1962
1052621,HR3 5NQ,52.0863,-3.1473
1052622,HR3 5NR,52.0462,-3.1947
1052623,HR3 5NS,52.0469,-3.1931
1052624,HR3 5NT,52.0401,-3.2006
1052711,HR3 5NU,52.0392,-3.1994
1052712,HR3 5NW,52.0452,-3.2006
1052713,HR3 5NX,52.0439,-3.1869
1052714,HR3 5NY,52.0520,-3.1677
1052715,HR3 5NZ,52.0532,-3.2252
1052716,HR3 5PA,52.0442,-3.2206
1052717,HR3 5PB,52.0386,-3.2176
1052718,HR3 5PD,52.0436,-3.1951
1052719,HR3 5PE,52.0430,-3.1942
1052720,HR3 5PF,52.0436,-3.1942
1052721,HR3 5PG,52.0696,-3.1373
1052722,HR3 5PH,52.0701,-3.1331
1052723,HR3 5PJ,52.0696,-3.1347
1052724,HR3 5PL,52.0679,-3.1396
1781675,HR3 5AL,52.0607,-2.7100
1781676,HR3 5FE,52.0736,-3.1199
1781677,HR3 5TJ,52.0430,-3.1976
1781678,HR3 5XA,52.0607,-2.7100
2584152,HR3 5FB,52.0843,-3.1486
2587728,HR3 5FG,52.0735,-3.1198
2596264,HR3 5TL,52.0707,-3.1393
2626746,HR3 5TN,52.0716,-3.1387
2642222,HR3 5FF,52.0784,-3.1224
