id,postcode,lat,lon
1059825,HX7 5AA,53.7333,-1.9893
1059826,HX7 5AB,53.7327,-1.9880
1059827,HX7 5AD,53.7301,-1.9775
1059828,HX7 5AE,53.7335,-1.9938
1059829,HX7 5AF,53.7312,-1.9859
1059830,HX7 5AG,53.7314,-1.9852
1059831,HX7 5AH,53.7309,-1.9859
1059832,HX7 5AJ,53.7323,-1.9886
1059833,HX7 5AL,53.7317,-1.9887
1059834,HX7 5AN,53.7326,-1.9922
1059835,HX7 5AP,53.7318,-1.9950
1059836,HX7 5AQ,53.7293,-1.9865
1059837,HX7 5AR,53.7309,-1.9880
1059838,HX7 5AS,53.7296,-1.9874
1059839,HX7 5AT,53.7294,-1.9866
1059840,HX7 5AU,53.7292,-1.9868
1059841,HX7 5AW,53.7330,-1.9923
1059842,HX7 5AX,53.7287,-1.9878
1059843,HX7 5AY,53.7294,-1.9879
1059844,HX7 5AZ,53.7293,-1.9902
1059845,HX7 5BA,53.7302,-1.9883
1059846,HX7 5BB,53.7298,-1.9887
1059847,HX7 5BD,53.7295,-1.9891
1059848,HX7 5BE,53.7286,-1.9909
1059849,HX7 5BG,53.7290,-1.9908
1059850,HX7 5BH,53.7303,-1.9912
1059851,HX7 5BJ,53.7302,-1.9898
1059852,HX7 5BL,53.7293,-1.9975
1059853,HX7 5BN,53.7310,-1.9871
1059854,HX7 5BP,53.7317,-1.9905
1059855,HX7 5BQ,53.7304,-1.9888
1059856,HX7 5BS,53.7300,-1.9944
1059857,HX7 5BT,53.7323,-1.9906
1059858,HX7 5BW,53.7313,-1.9894
1059859,HX7 5DB,53.7313,-1.9863
1059860,HX7 5DE,53.7322,-1.9854
1059861,HX7 5DF,53.7320,-1.9849
1059862,HX7 5DG,53.7323,-1.9847
1059863,HX7 5DJ,53.7306,-1.9848
1059864,HX7 5DL,53.7320,-1.9846
1059865,HX7 5DN,53.7313,-1.9848
1059866,HX7 5DP,53.7314,-1.9839
1059867,HX7 5DQ,53.7327,-1.9833
1059868,HX7 5DR,53.7307,-1.9832
1059869,HX7 5DS,53.7300,-1.9820
1059870,HX7 5DT,53.7295,-1.9820
1059871,HX7 5DU,53.7295,-1.9807
1059872,HX7 5DW,53.7311,-1.9836
1059873,HX7 5DX,53.7298,-1.9821
1059874,HX7 5DY,53.7301,-1.9835
1059875,HX7 5DZ,53.7296,-1.9827
1059876,HX7 5EA,53.7290,-1.9827
1059877,HX7 5EB,53.7286,-1.9827
1059878,HX7 5ED,53.7276,-1.9865
1059879,HX7 5EE,53.7281,-1.9873
1059880,HX7 5EF,53.7279,-1.9878
1059881,HX7 5EG,53.7276,-1.9884
1059882,HX7 5EH,53.7312,-1.9817
1059883,HX7 5EJ,53.7281,-1.9857
1059884,HX7 5EL,53.7277,-1.9863
1059885,HX7 5EN,53.7276,-1.9877
1059886,HX7 5EP,53.7269,-1.9889
1059887,HX7 5EQ,53.7281,-1.9876
1059888,HX7 5ER,53.7265,-1.9891
1059889,HX7 5ES,53.7265,-1.9897
1059890,HX7 5ET,53.7258,-1.9899
1059891,HX7 5EU,53.7257,-1.9899
1059892,HX7 5EW,53.7271,-1.9886
1059893,HX7 5EX,53.7254,-1.9897
1059894,HX7 5EY,53.7261,-1.9891
1059895,HX7 5EZ,53.7250,-1.9896
1059896,HX7 5FA,53.7063,-2.0040
1059897,HX7 5FB,53.7235,-1.9891
1059898,HX7 5HA,53.7246,-1.9905
1059899,HX7 5HB,53.7237,-1.9890
1059900,HX7 5HD,53.7229,-1.9861
1059901,HX7 5HE,53.7218,-1.9837
1059902,HX7 5HF,53.7263,-1.9830
1059903,HX7 5HG,53.7269,-1.9828
1059904,HX7 5HH,53.7273,-1.9834
1059905,HX7 5HJ,53.7276,-1.9837
1059906,HX7 5HL,53.7277,-1.9846
1059907,HX7 5HN,53.7276,-1.9846
1059908,HX7 5HP,53.7271,-1.9852
1059909,HX7 5HQ,53.7268,-1.9835
1059910,HX7 5HR,53.7257,-1.9889
1059911,HX7 5HS,53.7283,-1.9835
1059912,HX7 5HT,53.7282,-1.9828
1059913,HX7 5HU,53.7276,-1.9822
1059914,HX7 5HW,53.7276,-1.9850
1059915,HX7 5HX,53.7277,-1.9818
1059916,HX7 5HZ,53.7280,-1.9822
1059917,HX7 5JA,53.7274,-1.9811
1059918,HX7 5JB,53.7274,-1.9807
1059919,HX7 5JD,53.7273,-1.9802
1059920,HX7 5JE,53.7270,-1.9806
1059921,HX7 5JF,53.7272,-1.9800
1059922,HX7 5JG,53.7272,-1.9796
1059923,HX7 5JH,53.7271,-1.9792
1059924,HX7 5JJ,53.7269,-1.9792
1059925,HX7 5JL,53.7272,-1.9787
1059926,HX7 5JN,53.7272,-1.9779
1059927,HX7 5JP,53.7269,-1.9760
1059928,HX7 5JQ,53.7272,-1.9792
1059929,HX7 5JR,53.7272,-1.9769
1059930,HX7 5JS,53.7276,-1.9750
1059931,HX7 5JT,53.7247,-1.9886
1059932,HX7 5JU,53.7268,-1.9779
1059933,HX7 5JW,53.7272,-1.9772
1059934,HX7 5JX,53.7291,-1.9859
1059935,HX7 5JY,53.7291,-1.9846
1059936,HX7 5JZ,53.7273,-1.9765
1059937,HX7 5LE,53.7302,-1.9792
1059938,HX7 5LF,53.7310,-1.9823
1059939,HX7 5LG,53.7317,-1.9830
1059940,HX7 5LH,53.7307,-1.9818
1059941,HX7 5LJ,53.7304,-1.9818
1059942,HX7 5LL,53.7308,-1.9817
1059943,HX7 5LN,53.7304,-1.9802
1059944,HX7 5LP,53.7312,-1.9800
1059945,HX7 5LR,53.7321,-1.9799
1059946,HX7 5LS,53.7324,-1.9790
1059947,HX7 5LT,53.7321,-1.9794
1059948,HX7 5LU,53.7214,-1.9863
1059949,HX7 5LW,53.7309,-1.9808
1059950,HX7 5LX,53.7319,-1.9783
1059951,HX7 5LY,53.7301,-1.9758
1059952,HX7 5LZ,53.7327,-1.9773
1059953,HX7 5NA,53.7333,-1.9763
1059954,HX7 5NB,53.7338,-1.9802
1059955,HX7 5ND,53.7339,-1.9777
1059956,HX7 5NE,53.7341,-1.9782
1059957,HX7 5NF,53.7339,-1.9814
