id,postcode,lat,lon
1017825,IP17 3QE,52.2762,1.5368
1017826,IP17 3QF,52.2773,1.5353
1017827,IP17 3QG,52.2828,1.5246
1017828,IP17 3QH,52.2815,1.5531
1017829,IP17 3QL,52.2870,1.5391
1017830,IP17 3QN,52.2885,1.5396
1017831,IP17 3QP,52.3040,1.5423
1017832,IP17 3QQ,52.2833,1.5358
1017833,IP17 3QR,52.2900,1.5421
1017834,IP17 3QS,52.2900,1.5432
1017835,IP17 3QT,52.2906,1.5496
1017836,IP17 3QU,52.2921,1.5432
1017837,IP17 3QW,52.2920,1.5322
1017838,IP17 3QX,52.3008,1.5521
1017839,IP17 3QZ,52.3040,1.5519
1017840,IP17 3RB,52.3097,1.5631
1017841,IP17 3RD,52.3130,1.5610
1017842,IP17 3RE,52.3063,1.5686
1017843,IP17 3RF,52.3108,1.5712
1017844,IP17 3RG,52.3024,1.5817
1017845,IP17 3RH,52.2903,1.5801
1017846,IP17 3RJ,52.2897,1.5786
1017847,IP17 3RN,52.2758,1.5522
1017848,IP17 3RQ,52.2956,1.5770
1018025,IP17 2QH,52.2277,1.4799
1018026,IP17 2QJ,52.2283,1.4800
1018027,IP17 2QL,52.2286,1.4793
1018028,IP17 2QN,52.2282,1.4707
1018029,IP17 2QP,52.2363,1.4635
1018030,IP17 2QQ,52.2285,1.4818
1018031,IP17 2QR,52.2285,1.4811
1018032,IP17 2QS,52.2292,1.4827
1018033,IP17 2QT,52.2302,1.4883
1018034,IP17 2QU,52.2316,1.4913
1018035,IP17 2QW,52.2320,1.4777
1018036,IP17 2QX,52.2367,1.4952
1018037,IP17 2QY,52.2362,1.4891
1018038,IP17 2QZ,52.2372,1.4869
1018039,IP17 2RA,52.2349,1.4861
1018040,IP17 2RD,52.2395,1.4900
1018041,IP17 2RE,52.2409,1.4876
1018042,IP17 2RF,52.2411,1.4883
1018043,IP17 2RG,52.2458,1.4908
1018044,IP17 2RH,52.2530,1.4965
1018045,IP17 2RJ,52.2487,1.5019
1018046,IP17 2RL,52.2449,1.5093
1018047,IP17 2RN,52.2432,1.5082
1018048,IP17 2RP,52.2435,1.5124
1018049,IP17 2RQ,52.2516,1.4859
1018050,IP17 2RR,52.2275,1.4859
1018051,IP17 2RS,52.2315,1.4907
1018052,IP17 2RW,52.2413,1.5071
1018053,IP17 2RX,52.2311,1.4908
1018054,IP17 3AA,52.2659,1.5760
1018055,IP17 3AB,52.2661,1.5764
1018056,IP17 3AD,52.2651,1.5755
1018057,IP17 3AE,52.2642,1.5738
1018125,IP17 3AF,52.2644,1.5738
1018126,IP17 3AG,52.2650,1.5745
1018127,IP17 3AH,52.2670,1.5743
1018128,IP17 3AL,52.2682,1.5740
1018129,IP17 3AN,52.2667,1.5758
1018130,IP17 3AP,52.2700,1.5742
1018131,IP17 3AQ,52.2662,1.5748
1018132,IP17 3AR,52.2680,1.5793
1018133,IP17 3AS,52.2689,1.5815
1018134,IP17 3AT,52.2703,1.5845
1018135,IP17 3AU,52.2676,1.5809
1018136,IP17 3AW,52.2673,1.5785
1018137,IP17 3AX,52.2666,1.5790
1018138,IP17 3AY,52.2661,1.5770
1018139,IP17 3AZ,52.2649,1.5778
1018140,IP17 3BA,52.2635,1.5781
1018141,IP17 3BB,52.2636,1.5799
1018142,IP17 3BD,52.2637,1.5764
1018143,IP17 3BE,52.2628,1.5747
1018144,IP17 3BF,52.2713,1.5563
1018145,IP17 3BJ,52.2684,1.5798
1018146,IP17 3BL,52.2696,1.5813
1018147,IP17 3BN,52.2673,1.5737
1018148,IP17 3BP,52.2683,1.5331
1018149,IP17 3BS,52.2683,1.5456
1018150,IP17 3BT,52.2652,1.5586
1018151,IP17 3BU,52.2657,1.5715
1018152,IP17 3BW,52.2699,1.5824
1018153,IP17 3BX,52.2608,1.5803
1018154,IP17 3BY,52.2489,1.6072
1018155,IP17 3BZ,52.2569,1.5893
1018156,IP17 3DA,52.2638,1.5848
1018157,IP17 3DB,52.2754,1.6027
1018158,IP17 3DD,52.2685,1.6125
