id,postcode,lat,lon
997742,IV63 6TH,57.3331,-4.5549
997743,IV63 6TJ,57.3379,-4.5844
997744,IV63 6TL,57.3417,-4.5808
997745,IV63 6TN,57.3372,-4.6296
997746,IV63 6TP,57.3327,-4.4722
997747,IV63 6TQ,57.3314,-4.4727
997748,IV63 6TR,57.3312,-4.4741
997749,IV63 6TS,57.3319,-4.4735
997750,IV63 6TU,57.3376,-4.4796
997751,IV63 6TW,57.3331,-4.6724
997752,IV63 6TX,57.3356,-4.4797
997753,IV63 6TY,57.3332,-4.4817
997754,IV63 6TZ,57.3376,-4.4900
997755,IV63 6UA,57.3394,-4.5030
997756,IV63 6UE,57.3272,-4.4827
997757,IV63 6UF,57.3320,-4.4702
997758,IV63 6UG,57.3308,-4.4793
997759,IV63 6UH,57.3323,-4.4712
997760,IV63 6UJ,57.3294,-4.4710
997761,IV63 6UL,57.3282,-4.4751
997762,IV63 6UN,57.3279,-4.4737
997763,IV63 6UP,57.3227,-4.4918
997764,IV63 6UQ,57.3300,-4.4803
997765,IV63 6UR,57.3256,-4.4860
997766,IV63 6US,57.3208,-4.4859
997767,IV63 6UT,57.3289,-4.4824
997768,IV63 6UU,57.3226,-4.4871
997769,IV63 6UW,57.3258,-4.4800
997770,IV63 6UX,57.3448,-4.4652
997771,IV63 6UY,57.3262,-4.4839
997773,IV63 6WR,57.3284,-4.4812
997774,IV63 6WU,57.3235,-4.4858
997775,IV63 6XA,57.3282,-4.4848
997776,IV63 6XD,57.3325,-4.4860
997777,IV63 6XE,57.3357,-4.4932
997778,IV63 6XF,57.3148,-4.4764
997779,IV63 6XG,57.2963,-4.4933
997780,IV63 6XH,57.2799,-4.5039
997781,IV63 6XJ,57.3101,-4.4608
997782,IV63 6XL,57.3250,-4.4489
997783,IV63 6XN,57.3278,-4.4614
997784,IV63 6XP,57.3384,-4.4657
997785,IV63 6XQ,57.2835,-4.5042
997786,IV63 6XR,57.3389,-4.4471
997787,IV63 6XS,57.3452,-4.5004
997788,IV63 6XT,57.3404,-4.5459
997789,IV63 6XW,57.3129,-4.5064
997790,IV63 7AB,57.2156,-4.6252
997792,IV63 7YA,57.2149,-4.6152
997793,IV63 7YD,57.2372,-4.5574
997794,IV63 7YE,57.1990,-4.6094
997795,IV63 7YF,57.2131,-4.6202
997796,IV63 7YG,57.2155,-4.6313
997797,IV63 7YH,57.2105,-4.6793
997798,IV63 7YJ,57.1779,-4.7999
997799,IV63 7YL,57.1761,-4.8044
997800,IV63 7YN,57.1708,-4.8479
997801,IV63 7YQ,57.2170,-4.6258
997802,IV63 7YW,57.1500,-5.1486
1784863,IV63 6TG,57.3325,-4.4771
1784864,IV63 6WP,57.3286,-4.4721
2587413,IV63 6UD,57.3270,-4.4743
2642544,IV63 6AD,57.3288,-4.4764
2642545,IV63 6AE,57.3305,-4.4762
2653759,IV63 6AF,57.3291,-4.4751
2653760,IV63 6AG,57.3294,-4.4781
id,postcode,lat,lon
1220,IV63,57.32228,-4.50465
