id,postcode,lat,lon
PPL,KILMACOLM,55.8947,-4.6264
PPL,KILMAHOG,56.2506,-4.2470
PPL,KILMALUAG,57.6844,-6.3058
PPL,KILMALUAIG,56.5113,-6.9280
PPL,KILMANY,56.3843,-2.9927
PPL,KILMARIE,57.1822,-6.0592
PPLA2,KILMARNOCK,55.6117,-4.4958
PPL,KILMARON,56.3167,-3.0333
PPL,KILMARTIN,56.1335,-5.4861
PPL,KILMAURS,55.6380,-4.5273
PPL,KILMELFORT,56.2667,-5.4833
PPL,KILMERSDON,51.2692,-2.4361
PPL,KILMESTON,51.0332,-1.1597
PPL,KILMICHAEL,55.4453,-5.6426
PPL,KILMICHAELGLASSARY,56.0849,-5.4436
PPL,KILMICHAELOFINVERLUSSA,56.0000,-5.5667
PPL,KILMINGTON,50.7781,-3.0394
ADM4,KILMISTON,51.0305,-1.1605
PPL,KILMOLUAG,56.5000,-6.9167
PPL,KILMORACK,57.4646,-4.5134
PPL,KILMORE,57.1000,-5.8833
PPL,KILMORY,57.0501,-6.3587
PPL,KILMOTE,58.0833,-3.7333
PPL,KILMUIR,57.6500,-6.4000
PPL,KILMUN,55.9922,-4.9324
