id,postcode,lat,lon
1178793,L34 6HA,53.4294,-2.8051
1178794,L34 6HB,53.4307,-2.8046
1178795,L34 6HD,53.4311,-2.8039
1178796,L34 6HE,53.4300,-2.8047
1178797,L34 6HF,53.4303,-2.8036
1178798,L34 6HG,53.4299,-2.8044
1178799,L34 6HH,53.4316,-2.8036
1178800,L34 6HJ,53.4317,-2.8033
1178801,L34 6HL,53.4312,-2.8029
1178802,L34 6HN,53.4310,-2.8020
1178803,L34 6HP,53.4330,-2.7996
1178804,L34 6HQ,53.4302,-2.8030
1178805,L34 6HR,53.4311,-2.8013
1178806,L34 6HS,53.4317,-2.8007
1178807,L34 6HT,53.4321,-2.8002
1178808,L34 6HU,53.4318,-2.8024
1178809,L34 6HW,53.4319,-2.8010
1178810,L34 6HX,53.4305,-2.8010
1178811,L34 6HY,53.4310,-2.7987
1178812,L34 6HZ,53.4305,-2.7999
1178813,L34 6JA,53.4301,-2.7988
1178814,L34 6JB,53.4310,-2.7991
1178815,L34 6JD,53.4310,-2.7997
1178816,L34 6JE,53.4318,-2.7992
1178817,L34 6JF,53.4311,-2.7974
1178818,L34 6JG,53.4313,-2.7988
1178819,L34 6JH,53.4309,-2.8006
1178820,L34 6JJ,53.4322,-2.8018
1178821,L34 6JL,53.4315,-2.8006
1178822,L34 6JN,53.4346,-2.7930
1178823,L34 6JP,53.4316,-2.7999
1178824,L34 6JQ,53.4430,-2.7952
1178825,L34 6JR,53.4443,-2.7916
1178826,L34 6JS,53.4347,-2.7926
1178827,L34 6JT,53.4348,-2.7921
1178828,L34 6JU,53.4309,-2.8028
1178829,L34 6JW,53.4411,-2.7922
1178830,L34 6LA,53.4265,-2.8141
1178831,L34 6LB,53.4327,-2.7983
1178832,L34 6LD,53.4323,-2.7991
1178833,L34 6LE,53.4320,-2.7978
1178834,L34 6LF,53.4322,-2.7973
1178835,L34 6LG,53.4326,-2.7946
1178836,L34 6LH,53.4338,-2.7932
1178837,L34 6LJ,53.4326,-2.7941
1178838,L34 6LL,53.4321,-2.7964
1178839,L34 6LN,53.4315,-2.7960
1178840,L34 6LP,53.4332,-2.7939
1178841,L34 6LR,53.4335,-2.7941
1178842,L34 6LS,53.4318,-2.7993
1178843,L34 6LT,53.4318,-2.7993
1178844,L34 6LU,53.4346,-2.7909
1178845,L34 6LW,53.4327,-2.7950
1178846,L34 6LX,53.4318,-2.7993
1178847,L34 6LZ,53.4318,-2.7993
1178848,L34 6NA,53.4318,-2.7993
1178849,L34 6NB,53.4318,-2.7993
1178850,L34 6ND,53.4310,-2.8051
1178851,L34 6NE,53.4313,-2.8024
1178852,L34 6NF,53.4306,-2.8005
1178853,L34 6NG,53.4311,-2.8027
1178854,L34 6NH,53.4287,-2.8017
1178855,L34 6NJ,53.4308,-2.8036
1178856,L34 6NL,53.4301,-2.8046
1178857,L34 6NP,53.4339,-2.7951
1178858,L34 6YX,53.4287,-2.8017
