id,postcode,lat,lon
1174889,L3 6BA,53.4138,-2.9926
1174890,L3 6BB,53.4115,-2.9885
1174891,L3 6BD,53.4198,-2.9885
1174892,L3 6BG,53.4113,-2.9878
1174893,L3 6BH,53.4198,-2.9901
1174894,L3 6BJ,53.4117,-2.9884
1174895,L3 6BL,53.4115,-2.9884
1174896,L3 6BN,53.4143,-2.9900
1174897,L3 6BP,53.4198,-2.9901
1174898,L3 6BQ,53.4126,-2.9914
1174899,L3 6BR,53.4179,-2.9896
1174900,L3 6BS,53.4135,-2.9923
1174901,L3 6BU,53.4144,-2.9914
1174902,L3 6BX,53.4140,-2.9916
1174903,L3 6BY,53.4157,-2.9907
1174904,L3 6BZ,53.4153,-2.9914
