id,postcode,lat,lon
1183373,L4 2TA,53.4306,-2.9533
1183374,L4 2TB,53.4314,-2.9513
1183375,L4 2TD,53.4323,-2.9504
1183376,L4 2TE,53.4297,-2.9535
1183377,L4 2TF,53.4297,-2.9528
1183378,L4 2TG,53.4299,-2.9541
1183379,L4 2TH,53.4300,-2.9550
1183380,L4 2TJ,53.4298,-2.9547
1183381,L4 2TL,53.4305,-2.9539
1183382,L4 2TN,53.4303,-2.9553
1183383,L4 2TP,53.4312,-2.9558
1183384,L4 2TQ,53.4298,-2.9535
1183385,L4 2TR,53.4312,-2.9552
1183386,L4 2TS,53.4310,-2.9552
1183387,L4 2TT,53.4308,-2.9550
1183388,L4 2TU,53.4315,-2.9486
1183389,L4 2TW,53.4312,-2.9541
1183390,L4 2TX,53.4334,-2.9506
1183391,L4 2TY,53.4318,-2.9484
1183392,L4 2TZ,53.4332,-2.9499
