id,postcode,lat,lon
1200442,L7 0JA,53.4130,-2.9395
1200443,L7 0JB,53.4135,-2.9363
1200444,L7 0JD,53.4139,-2.9344
1200445,L7 0JE,53.4123,-2.9351
1200446,L7 0JF,53.4123,-2.9356
1200447,L7 0JG,53.4126,-2.9346
1200448,L7 0JH,53.4129,-2.9340
1200449,L7 0JJ,53.4128,-2.9343
1200450,L7 0JL,53.4123,-2.9301
1200451,L7 0JN,53.4127,-2.9331
1200452,L7 0JP,53.4130,-2.9325
1200453,L7 0JQ,53.4126,-2.9350
1200454,L7 0JR,53.4128,-2.9329
1200455,L7 0JS,53.4126,-2.9303
1200456,L7 0JT,53.4118,-2.9296
1200457,L7 0JU,53.4115,-2.9294
1200458,L7 0JW,53.4128,-2.9335
1200459,L7 0JX,53.4112,-2.9285
1200460,L7 0JY,53.4130,-2.9317
1200461,L7 0JZ,53.4128,-2.9322
