id,postcode,lat,lon
1200747,L7 5QB,53.4060,-2.9475
1200748,L7 5QD,53.4058,-2.9464
1200749,L7 5QE,53.4057,-2.9459
1200750,L7 5QF,53.4060,-2.9454
1200751,L7 5QG,53.4063,-2.9455
1200752,L7 5QH,53.4077,-2.9478
1200753,L7 5QJ,53.4030,-2.9490
1200754,L7 5QL,53.4056,-2.9472
1200755,L7 5QN,53.4044,-2.9475
1200756,L7 5QP,53.4047,-2.9465
1200757,L7 5QQ,53.4065,-2.9461
1200758,L7 5QR,53.4043,-2.9463
1200759,L7 5QS,53.4050,-2.9462
1200760,L7 5QT,53.4048,-2.9448
1200761,L7 5QU,53.4042,-2.9447
1200762,L7 5QW,53.4049,-2.9466
1200763,L7 5QX,53.4045,-2.9461
1200764,L7 5QY,53.4051,-2.9452
1200765,L7 5QZ,53.4051,-2.9476
