id,postcode,lat,lon
1200803,L7 6LA,53.3998,-2.9504
1200804,L7 6LB,53.4007,-2.9508
1200805,L7 6LD,53.4009,-2.9506
1200806,L7 6LE,53.4019,-2.9413
1200807,L7 6LF,53.4017,-2.9509
1200808,L7 6LG,53.4019,-2.9515
1200809,L7 6LH,53.4026,-2.9506
1200810,L7 6LJ,53.3996,-2.9512
1200811,L7 6LL,53.4018,-2.9505
1200812,L7 6LN,53.4025,-2.9502
1200813,L7 6LP,53.4024,-2.9490
1200814,L7 6LQ,53.4020,-2.9505
1200815,L7 6LR,53.4023,-2.9498
1200816,L7 6LS,53.4002,-2.9495
1200817,L7 6LT,53.3998,-2.9496
1200818,L7 6LU,53.4009,-2.9497
1200819,L7 6LY,53.4001,-2.9490
