id,postcode,lat,lon
1200885,L7 7EA,53.4005,-2.9705
1200886,L7 7EB,53.4006,-2.9693
1200887,L7 7ED,53.4008,-2.9700
1200888,L7 7EE,53.4027,-2.9672
1200889,L7 7EF,53.4005,-2.9670
1200890,L7 7EG,53.3993,-2.9730
1200891,L7 7EH,53.4011,-2.9625
1200892,L7 7EJ,53.4011,-2.9640
1200893,L7 7EL,53.4006,-2.9651
1200894,L7 7EN,53.3997,-2.9629
1200895,L7 7EP,53.3996,-2.9634
1200896,L7 7EQ,53.3993,-2.9730
1200897,L7 7ER,53.3998,-2.9655
1200898,L7 7ES,53.4001,-2.9658
1200899,L7 7ET,53.3978,-2.9614
1200900,L7 7EU,53.3976,-2.9666
1200901,L7 7EW,53.4003,-2.9629
1200902,L7 7EX,53.4059,-2.9631
1200903,L7 7EZ,53.4022,-2.9673
