id,postcode,lat,lon
940380,L8 0SA,53.3923,-2.9470
940382,L8 0SD,53.3952,-2.9439
940383,L8 0SE,53.3926,-2.9442
940384,L8 0SF,53.3903,-2.9441
940385,L8 0SG,53.3950,-2.9445
940386,L8 0SH,53.3905,-2.9447
940387,L8 0SJ,53.3927,-2.9469
940388,L8 0SL,53.3925,-2.9471
940389,L8 0SN,53.3932,-2.9470
940390,L8 0SP,53.3933,-2.9485
940391,L8 0SQ,53.3925,-2.9446
940392,L8 0SR,53.3936,-2.9469
940393,L8 0ST,53.3934,-2.9471
940394,L8 0SU,53.3906,-2.9550
940395,L8 0SW,53.3929,-2.9469
940396,L8 0SX,53.3903,-2.9515
940397,L8 0SY,53.3914,-2.9516
940398,L8 0SZ,53.3911,-2.9516
