id,postcode,lat,lon
1214362,LA5 0AA,54.2013,-2.8355
1214363,LA5 0AB,54.2012,-2.8340
1214364,LA5 0AD,54.2005,-2.8375
1214365,LA5 0AE,54.2003,-2.8357
1214366,LA5 0AF,54.2013,-2.8339
1214367,LA5 0AG,54.2005,-2.8348
1214368,LA5 0AH,54.2000,-2.8349
1214369,LA5 0AJ,54.1995,-2.8345
1214370,LA5 0AL,54.1989,-2.8336
1214371,LA5 0AN,54.1987,-2.8345
1214372,LA5 0AP,54.1986,-2.8364
1214373,LA5 0AQ,54.1999,-2.8333
1214374,LA5 0AR,54.1981,-2.8379
1214375,LA5 0AS,54.1989,-2.8384
1214376,LA5 0AT,54.1982,-2.8410
1214377,LA5 0AU,54.1968,-2.8439
1214378,LA5 0AW,54.1971,-2.8355
1214379,LA5 0AX,54.1970,-2.8455
1214380,LA5 0AY,54.1958,-2.8432
1214381,LA5 0AZ,54.1945,-2.8436
1214382,LA5 0BA,54.1937,-2.8437
1214383,LA5 0BB,54.1954,-2.8453
1214384,LA5 0BD,54.1943,-2.8463
1214385,LA5 0BE,54.1960,-2.8455
1214386,LA5 0BF,54.1736,-2.8342
1214387,LA5 0BG,54.1931,-2.8474
1214388,LA5 0BH,54.1935,-2.8492
1214389,LA5 0BJ,54.1971,-2.8413
1214390,LA5 0BL,54.1925,-2.8490
1214391,LA5 0BN,54.1927,-2.8571
1214392,LA5 0BP,54.1937,-2.8439
1214393,LA5 0BQ,54.1939,-2.8484
1214394,LA5 0BS,54.2003,-2.8367
1214395,LA5 0BT,54.1994,-2.8335
1214396,LA5 0BU,54.1967,-2.8415
1214397,LA5 0BW,54.1991,-2.8412
1214398,LA5 0BX,54.1992,-2.8353
1214399,LA5 0BY,54.1995,-2.8363
1214400,LA5 0BZ,54.1984,-2.8406
1214401,LA5 0DA,54.2020,-2.8342
1214402,LA5 0DB,54.2017,-2.8341
1214403,LA5 0DD,54.2016,-2.8343
1214404,LA5 0DE,54.2016,-2.8345
1214405,LA5 0DF,54.2020,-2.8332
1214406,LA5 0DG,54.2025,-2.8336
1214407,LA5 0DH,54.2027,-2.8318
