id,postcode,lat,lon
925825,LD3 8RD,51.9626,-3.6252
925826,LD3 8RE,51.9695,-3.6440
925827,LD3 8RF,51.9553,-3.6557
925828,LD3 8RG,51.9663,-3.6477
925829,LD3 8RH,51.9710,-3.6736
925830,LD3 8RL,51.9462,-3.5693
925831,LD3 8RP,51.9517,-3.5600
925832,LD3 8RR,51.9476,-3.5669
925833,LD3 8RS,51.9464,-3.5690
925834,LD3 8RT,51.9443,-3.5685
925835,LD3 8RU,51.9436,-3.5675
925836,LD3 8RY,51.9428,-3.5661
925837,LD3 8SA,51.9386,-3.5691
925838,LD3 8SB,51.9406,-3.5649
925839,LD3 8SD,51.9397,-3.5643
925840,LD3 8SE,51.9387,-3.5645
925841,LD3 8SF,51.9372,-3.5639
925842,LD3 8SG,51.9367,-3.5638
925843,LD3 8SH,51.9392,-3.5636
925844,LD3 8SL,51.9376,-3.5633
925845,LD3 8SN,51.9372,-3.5627
925846,LD3 8SP,51.9294,-3.5570
925847,LD3 8SR,51.9271,-3.5480
925848,LD3 8SS,51.9159,-3.5511
925849,LD3 8ST,51.9095,-3.5662
925850,LD3 8SU,51.8890,-3.5626
925851,LD3 8SW,51.9370,-3.5609
925852,LD3 8SY,51.8936,-3.5892
925853,LD3 8TA,51.8985,-3.5417
925854,LD3 8TB,51.9406,-3.5428
925855,LD3 8TD,51.9364,-3.5280
925856,LD3 8TE,51.9267,-3.5250
925857,LD3 8TF,51.9488,-3.5137
925858,LD3 8TG,51.9183,-3.5341
925859,LD3 8TL,51.9117,-3.5833
925860,LD3 8TN,51.9476,-3.5682
925861,LD3 8TP,51.9503,-3.5643
925862,LD3 8TR,51.9511,-3.5637
925863,LD3 8TS,51.9527,-3.5677
925864,LD3 8TT,51.9608,-3.5738
925865,LD3 8TU,51.9669,-3.5877
925866,LD3 8TW,51.9499,-3.5655
925867,LD3 8TY,51.9590,-3.6035
925868,LD3 8UA,51.9778,-3.5645
925869,LD3 8UB,51.9831,-3.5869
925870,LD3 8UD,51.9962,-3.6022
925871,LD3 8UE,51.9489,-3.6288
925872,LD3 8UF,51.9491,-3.6298
925873,LD3 8UG,51.9486,-3.6304
925874,LD3 8UH,51.9497,-3.6337
925875,LD3 8UL,51.9507,-3.6339
925876,LD3 8UP,51.9499,-3.6305
925877,LD3 8UQ,51.9504,-3.6331
925878,LD3 8UR,51.9426,-3.6299
925879,LD3 8UT,51.9382,-3.6162
925880,LD3 8UU,51.9455,-3.6048
925881,LD3 8UW,51.9508,-3.6318
925882,LD3 8UY,51.9278,-3.6506
925885,LD3 8YA,51.9125,-3.6412
925886,LD3 8YB,51.9178,-3.6320
925887,LD3 8YD,51.9181,-3.6714
925888,LD3 8YE,51.9344,-3.6587
925889,LD3 8YF,51.9463,-3.6783
925890,LD3 8YG,51.9288,-3.6808
925891,LD3 8YH,51.9347,-3.5700
925892,LD3 8YL,51.9122,-3.5890
925893,LD3 8YN,51.9055,-3.6058
925894,LD3 8YP,51.9080,-3.6070
925895,LD3 8YR,51.8951,-3.6255
925896,LD3 8YS,51.9007,-3.6398
925897,LD3 8YT,51.9094,-3.6224
925898,LD3 8YU,51.9131,-3.6067
925899,LD3 8YW,51.9063,-3.6063
925900,LD3 8YY,51.8819,-3.6149
926094,LD3 8AD,51.9462,-3.3939
926095,LD3 8AF,51.9461,-3.3953
926096,LD3 8AH,51.9472,-3.3955
926097,LD3 8AL,51.9460,-3.3983
926098,LD3 8AN,51.9467,-3.3974
926099,LD3 8AP,51.9453,-3.3983
926100,LD3 8AR,51.9458,-3.3998
926101,LD3 8AS,51.9459,-3.3997
926102,LD3 8AT,51.9461,-3.3997
926103,LD3 8AU,51.9472,-3.3990
926104,LD3 8AW,51.9460,-3.3987
926105,LD3 8AY,51.9465,-3.3993
926106,LD3 8BA,51.9476,-3.3988
926107,LD3 8BB,51.9466,-3.3988
926108,LD3 8BD,51.9482,-3.3980
926109,LD3 8BE,51.9483,-3.3989
926110,LD3 8BG,51.9479,-3.4006
926111,LD3 8BH,51.9524,-3.5708
926112,LD3 8BL,51.9473,-3.3967
926113,LD3 8BN,51.9458,-3.3931
926114,LD3 8BT,51.9432,-3.4142
926115,LD3 8BU,51.9458,-3.3994
926116,LD3 8BY,51.9455,-3.4000
926117,LD3 8DA,51.9457,-3.4018
926118,LD3 8DB,51.9464,-3.4008
926126,LD3 8DD,51.9458,-3.4033
926127,LD3 8DE,51.9456,-3.4046
926128,LD3 8DF,51.9471,-3.4016
926129,LD3 8DG,51.9451,-3.4034
926130,LD3 8DH,51.9453,-3.4026
926131,LD3 8DJ,51.9445,-3.4052
926132,LD3 8DL,51.9449,-3.4034
926133,LD3 8DN,51.9451,-3.4055
926134,LD3 8DP,51.9440,-3.4047
926135,LD3 8DQ,51.9455,-3.4051
926136,LD3 8DR,51.9440,-3.4052
926137,LD3 8DS,51.9441,-3.4013
926138,LD3 8DT,51.9436,-3.4027
926139,LD3 8DU,51.9442,-3.4029
926140,LD3 8DW,51.9447,-3.4060
926141,LD3 8DX,51.9462,-3.4051
926142,LD3 8DY,51.9431,-3.4043
926143,LD3 8EA,51.9429,-3.4018
926144,LD3 8EB,51.9449,-3.4005
926145,LD3 8ED,51.9449,-3.4074
926146,LD3 8EE,51.9435,-3.4016
926147,LD3 8EF,51.9456,-3.4168
926148,LD3 8EG,51.9454,-3.4084
926149,LD3 8EH,51.9341,-3.4285
926150,LD3 8EJ,51.9244,-3.4636
926151,LD3 8EL,51.9265,-3.4574
926152,LD3 8EN,51.9231,-3.4651
926153,LD3 8EP,51.9153,-3.4787
926154,LD3 8ER,51.9250,-3.4888
926155,LD3 8ES,51.9435,-3.4815
926156,LD3 8ET,51.9358,-3.5002
926157,LD3 8EU,51.9480,-3.4982
926158,LD3 8EW,51.9199,-3.4648
926159,LD3 8EX,51.9464,-3.4145
926160,LD3 8EY,51.9499,-3.5077
926161,LD3 8FB,51.9228,-3.4636
926162,LD3 8HA,51.9481,-3.5290
926163,LD3 8HB,51.9507,-3.5251
926164,LD3 8HD,51.9542,-3.5369
926166,LD3 8HF,51.9559,-3.5314
926167,LD3 8HG,51.9580,-3.5371
926168,LD3 8HH,51.9562,-3.5585
926169,LD3 8HL,51.9612,-3.5621
926170,LD3 8HN,51.9630,-3.5486
926171,LD3 8HP,51.9563,-3.5073
926172,LD3 8HR,51.9557,-3.5006
926173,LD3 8HS,51.9577,-3.4934
926174,LD3 8HT,51.9239,-3.4650
926175,LD3 8HW,51.9633,-3.5317
926176,LD3 8LA,51.9413,-3.4109
926177,LD3 8LB,51.9353,-3.4124
