id,postcode,lat,lon
900325,LL13 9PW,53.0399,-2.9160
900326,LL13 9PY,53.0355,-2.9377
900327,LL13 9PZ,53.0600,-2.9598
900328,LL13 9QA,53.0375,-2.9251
900329,LL13 9QB,53.0571,-2.9652
900330,LL13 9QD,53.0578,-2.9637
900331,LL13 9QF,53.0343,-2.8854
900332,LL13 9QG,53.0575,-2.9644
900333,LL13 9QH,53.0594,-2.9650
900334,LL13 9QJ,53.0591,-2.9672
900335,LL13 9QL,53.0624,-2.9647
900336,LL13 9QN,53.0621,-2.9634
900337,LL13 9QP,53.0583,-2.9646
900338,LL13 9QQ,53.0618,-2.9627
900339,LL13 9QR,53.0591,-2.9632
900340,LL13 9QS,53.0383,-2.9292
900341,LL13 9QT,53.0585,-2.9611
900342,LL13 9QU,53.0599,-2.9640
900343,LL13 9QW,53.0609,-2.9627
900344,LL13 9QX,53.0587,-2.9626
900345,LL13 9QY,53.0591,-2.9618
900346,LL13 9QZ,53.0612,-2.9636
900347,LL13 9RA,53.0338,-2.9374
900348,LL13 9RB,53.0344,-2.9346
900349,LL13 9RD,53.0393,-2.9218
900350,LL13 9RE,53.0399,-2.9198
900351,LL13 9RF,53.0404,-2.9174
900352,LL13 9RG,53.0368,-2.9094
900353,LL13 9RH,53.0305,-2.8989
900354,LL13 9RJ,53.0411,-2.9196
900355,LL13 9RL,53.0389,-2.8956
900356,LL13 9RN,53.0473,-2.8993
900357,LL13 9RP,53.0285,-2.8845
900358,LL13 9RQ,53.0613,-2.9651
900359,LL13 9RR,53.0333,-2.8871
900360,LL13 9RS,53.0349,-2.8848
900361,LL13 9RT,53.0401,-2.8810
900362,LL13 9RU,53.0542,-2.8863
900363,LL13 9RW,53.0292,-2.8955
900364,LL13 9RX,53.0494,-2.9209
900365,LL13 9RY,53.0461,-2.8906
900366,LL13 9RZ,53.0602,-2.9672
900367,LL13 9SA,53.0589,-2.9597
900368,LL13 9SB,53.0612,-2.9536
900369,LL13 9SD,53.0630,-2.9433
900370,LL13 9SE,53.0663,-2.9417
900371,LL13 9SF,53.0600,-2.9463
900372,LL13 9SG,53.0643,-2.9382
900373,LL13 9SH,53.0620,-2.9287
900374,LL13 9SJ,53.0551,-2.9523
900375,LL13 9SL,53.0798,-2.8941
900376,LL13 9SQ,53.0326,-2.9373
900377,LL13 9SS,53.0715,-2.9051
900378,LL13 9ST,53.0734,-2.8997
900379,LL13 9SU,53.0794,-2.8940
900380,LL13 9SW,53.0671,-2.9159
900381,LL13 9SX,53.0591,-2.9660
900382,LL13 9SY,53.0834,-2.9098
900383,LL13 9SZ,53.0659,-2.9734
900384,LL13 9TA,53.0718,-2.9192
900385,LL13 9TE,53.0816,-2.9228
900386,LL13 9TF,53.0746,-2.9287
900387,LL13 9TG,53.0798,-2.9393
900425,LL13 9TH,53.0767,-2.9469
900426,LL13 9TJ,53.0682,-2.9775
900427,LL13 9TL,53.0742,-2.9483
900428,LL13 9TN,53.0706,-2.9577
900429,LL13 9TP,53.0687,-2.9637
900430,LL13 9TQ,53.0676,-2.9759
900431,LL13 9TR,53.0644,-2.9661
900432,LL13 9TS,53.0753,-2.8863
900433,LL13 9TT,53.0450,-2.9641
900434,LL13 9TU,53.0398,-2.9643
900435,LL13 9TW,53.0683,-2.9608
900436,LL13 9TX,53.0679,-2.9791
900437,LL13 9TY,53.0542,-2.9587
900438,LL13 9TZ,53.0687,-2.9809
900439,LL13 9UA,53.0466,-2.9214
900440,LL13 9UB,53.0554,-2.9379
900441,LL13 9UD,53.0493,-2.9370
900442,LL13 9UE,53.0467,-2.9177
900443,LL13 9UF,53.0485,-2.9274
900444,LL13 9UG,53.0457,-2.9284
900445,LL13 9UH,53.0397,-2.9309
900446,LL13 9UJ,53.0693,-2.9810
900447,LL13 9UL,53.0450,-2.9221
900448,LL13 9UQ,53.0688,-2.9794
900449,LL13 9UR,53.0538,-2.9051
900450,LL13 9US,53.0557,-2.8996
900451,LL13 9UT,53.0482,-2.9141
900452,LL13 9UU,53.0396,-2.9140
900453,LL13 9UX,53.0682,-2.9815
900454,LL13 9UY,53.0410,-2.9139
900455,LL13 9UZ,53.0463,-2.9351
900456,LL13 9WB,53.0450,-2.9165
900457,LL13 9WJ,53.0744,-2.8850
900460,LL13 9XA,53.0525,-2.9776
900461,LL13 9XB,53.0520,-2.9780
900462,LL13 9XD,53.0525,-2.9762
900463,LL13 9XE,53.0385,-2.9365
900464,LL13 9XG,53.0488,-2.9203
900465,LL13 9XH,53.0796,-2.8846
900466,LL13 9XJ,53.0799,-2.8844
900467,LL13 9XL,53.0797,-2.8838
900468,LL13 9XN,53.0398,-2.9336
900469,LL13 9XP,53.0457,-2.9202
900470,LL13 9XQ,53.0438,-2.9201
900471,LL13 9XR,53.0468,-2.9197
900472,LL13 9XS,53.0369,-2.9395
900473,LL13 9XT,53.0449,-2.9195
900475,LL13 9XW,53.0506,-2.9130
900477,LL13 9XY,53.0783,-2.8812
900478,LL13 9YA,53.0601,-2.8972
900479,LL13 9YB,53.0656,-2.9019
900480,LL13 9YD,53.0562,-2.9283
900481,LL13 9YE,53.0590,-2.9310
900482,LL13 9YF,53.0789,-2.8791
900483,LL13 9YG,53.0793,-2.8814
900484,LL13 9YH,53.0778,-2.8824
900485,LL13 9YJ,53.0756,-2.8851
900486,LL13 9YL,53.0781,-2.8819
900487,LL13 9YN,53.0783,-2.8826
900488,LL13 9YP,53.0760,-2.8837
900489,LL13 9YQ,53.0762,-2.8833
900490,LL13 9YR,53.0753,-2.8845
900491,LL13 9YS,53.0763,-2.8819
900492,LL13 9YT,53.0749,-2.8834
900493,LL13 9YU,53.0760,-2.8863
900494,LL13 9YW,53.0777,-2.8832
900495,LL13 9YX,53.0788,-2.8803
900496,LL13 9YY,53.0767,-2.8843
900497,LL13 9YZ,53.0747,-2.8845
900525,LL13 8YD,53.0387,-2.9669
900526,LL13 8YE,53.0377,-2.9648
900527,LL13 8YF,53.0368,-2.9661
900528,LL13 8YG,53.0379,-2.9670
900529,LL13 8YH,53.0365,-2.9683
900530,LL13 8YL,53.0375,-2.9684
900531,LL13 8YR,53.0393,-2.9736
900533,LL13 9AB,53.0496,-2.9691
900534,LL13 9AE,53.0348,-2.9419
900535,LL13 9AH,53.0778,-2.8858
900536,LL13 9AJ,53.0775,-2.8840
900537,LL13 9AL,53.0798,-2.8794
900538,LL13 9AN,53.0532,-2.9725
900539,LL13 9AP,53.0513,-2.9775
900540,LL13 9AQ,53.0770,-2.8858
900541,LL13 9AR,53.0509,-2.9768
900542,LL13 9AS,53.0502,-2.9736
900543,LL13 9AT,53.0491,-2.9685
900544,LL13 9AU,53.0515,-2.9760
900545,LL13 9AW,53.0466,-2.9678
900546,LL13 9AX,53.0786,-2.8801
900547,LL13 9AY,53.0518,-2.9741
900548,LL13 9AZ,53.0776,-2.8812
900549,LL13 9BA,53.0494,-2.9731
900550,LL13 9BB,53.0499,-2.9741
900551,LL13 9BD,53.0488,-2.9720
900552,LL13 9BE,53.0480,-2.9744
900553,LL13 9BG,53.0480,-2.9731
900554,LL13 9BH,53.0484,-2.9700
900555,LL13 9BJ,53.0780,-2.8831
900556,LL13 9BL,53.0482,-2.9680
900557,LL13 9BN,53.0489,-2.9692
900558,LL13 9BP,53.0481,-2.9712
900559,LL13 9BS,53.0493,-2.9727
900560,LL13 9BT,53.0492,-2.9764
900561,LL13 9BU,53.0504,-2.9724
900562,LL13 9BW,53.0487,-2.9676
900563,LL13 9BY,53.0509,-2.9717
900564,LL13 9DA,53.0514,-2.9712
900565,LL13 9DB,53.0518,-2.9704
900566,LL13 9DD,53.0523,-2.9698
900567,LL13 9DE,53.0535,-2.9696
900568,LL13 9DF,53.0509,-2.9711
900569,LL13 9DG,53.0520,-2.9693
900570,LL13 9DH,53.0530,-2.9689
900571,LL13 9DJ,53.0788,-2.8833
900572,LL13 9DL,53.0510,-2.9725
900573,LL13 9DN,53.0515,-2.9717
900574,LL13 9DP,53.0524,-2.9705
900575,LL13 9DQ,53.0598,-2.9602
900576,LL13 9DR,53.0521,-2.9722
900577,LL13 9DS,53.0516,-2.9690
900578,LL13 9DT,53.0521,-2.9686
900579,LL13 9DU,53.0527,-2.9703
900580,LL13 9DW,53.0519,-2.9711
900581,LL13 9DX,53.0524,-2.9724
900582,LL13 9DY,53.0536,-2.9717
900583,LL13 9DZ,53.0552,-2.9666
900584,LL13 9EA,53.0550,-2.9695
900585,LL13 9EB,53.0534,-2.9709
900586,LL13 9ED,53.0541,-2.9699
900587,LL13 9EE,53.0553,-2.9674
900588,LL13 9EF,53.0552,-2.9708
900589,LL13 9EG,53.0569,-2.9730
900590,LL13 9EH,53.0558,-2.9709
900591,LL13 9EJ,53.0791,-2.8828
900592,LL13 9EL,53.0575,-2.9730
900593,LL13 9EN,53.0547,-2.9716
900594,LL13 9EP,53.0580,-2.9718
900625,LL13 9EQ,53.0520,-2.9736
900626,LL13 9ER,53.0572,-2.9741
900627,LL13 9ES,53.0560,-2.9732
900628,LL13 9ET,53.0549,-2.9735
900629,LL13 9EU,53.0488,-2.9749
900630,LL13 9EW,53.0571,-2.9718
900631,LL13 9EX,53.0554,-2.9689
900632,LL13 9EY,53.0504,-2.9757
900633,LL13 9EZ,53.0543,-2.9703
900634,LL13 9FX,53.0548,-2.9609
900635,LL13 9FY,53.0548,-2.9600
900636,LL13 9FZ,53.0353,-2.9331
900637,LL13 9GA,53.0537,-2.9667
900638,LL13 9GB,53.0531,-2.9677
900639,LL13 9GD,53.0557,-2.9660
900640,LL13 9GE,53.0565,-2.9634
900641,LL13 9GF,53.0562,-2.9593
900642,LL13 9GG,53.0553,-2.9591
900643,LL13 9GJ,53.0564,-2.9611
900644,LL13 9GL,53.0557,-2.9630
900645,LL13 9GN,53.0566,-2.9591
900646,LL13 9GP,53.0546,-2.9632
900647,LL13 9GQ,53.0550,-2.9638
900648,LL13 9GR,53.0548,-2.9644
900649,LL13 9GS,53.0561,-2.9647
900650,LL13 9GT,53.0575,-2.9606
900651,LL13 9GU,53.0577,-2.9613
900652,LL13 9GW,53.0572,-2.9621
900653,LL13 9GX,53.0552,-2.9655
900654,LL13 9GY,53.0557,-2.9638
900655,LL13 9GZ,53.0562,-2.9603
900656,LL13 9HA,53.0491,-2.9741
900657,LL13 9HB,53.0473,-2.9754
900658,LL13 9HD,53.0475,-2.9717
900659,LL13 9HE,53.0480,-2.9717
900660,LL13 9HF,53.0474,-2.9712
900661,LL13 9HG,53.0467,-2.9707
900662,LL13 9HH,53.0477,-2.9694
900663,LL13 9HJ,53.0794,-2.8848
900664,LL13 9HL,53.0483,-2.9671
900665,LL13 9HN,53.0474,-2.9689
900666,LL13 9HP,53.0469,-2.9692
900667,LL13 9HQ,53.0578,-2.9657
900668,LL13 9HR,53.0469,-2.9672
900669,LL13 9HS,53.0474,-2.9665
900670,LL13 9HT,53.0461,-2.9680
900671,LL13 9HU,53.0463,-2.9659
900672,LL13 9HW,53.0481,-2.9667
900673,LL13 9HX,53.0401,-2.9682
900674,LL13 9HY,53.0460,-2.9659
900675,LL13 9HZ,53.0585,-2.9663
900676,LL13 9JA,53.0791,-2.8850
900677,LL13 9JB,53.0781,-2.9196
900678,LL13 9JD,53.0796,-2.8820
900679,LL13 9JE,53.0821,-2.8827
900680,LL13 9JF,53.0818,-2.8820
900681,LL13 9JG,53.0819,-2.8801
900682,LL13 9JH,53.0825,-2.8805
900683,LL13 9JJ,53.0822,-2.8806
900684,LL13 9JL,53.0818,-2.8807
900685,LL13 9JN,53.0814,-2.8813
900686,LL13 9JP,53.0802,-2.8801
900687,LL13 9JQ,53.0817,-2.8801
900688,LL13 9JR,53.0796,-2.8805
900689,LL13 9JS,53.0810,-2.8828
900690,LL13 9JT,53.0477,-2.9306
900691,LL13 9JW,53.0807,-2.8811
900692,LL13 9JX,53.0799,-2.8809
900693,LL13 9JY,53.0611,-2.9620
900694,LL13 9JZ,53.0796,-2.8823
900695,LL13 9LA,53.0456,-2.9661
900696,LL13 9LB,53.0451,-2.9654
900697,LL13 9LD,53.0442,-2.9657
900698,LL13 9LE,53.0444,-2.9664
900699,LL13 9LF,53.0438,-2.9668
900700,LL13 9LG,53.0442,-2.9680
900701,LL13 9LH,53.0444,-2.9672
900702,LL13 9LJ,53.0624,-2.9663
900703,LL13 9LL,53.0446,-2.9676
900704,LL13 9LN,53.0446,-2.9685
900705,LL13 9LP,53.0454,-2.9705
900706,LL13 9LQ,53.0452,-2.9700
900707,LL13 9LR,53.0452,-2.9685
900708,LL13 9LS,53.0466,-2.9698
900709,LL13 9LT,53.0461,-2.9699
900710,LL13 9LU,53.0460,-2.9710
900711,LL13 9LW,53.0450,-2.9697
900712,LL13 9LX,53.0620,-2.9652
900713,LL13 9LY,53.0466,-2.9690
900714,LL13 9LZ,53.0625,-2.9657
900715,LL13 9NA,53.0472,-2.9680
900716,LL13 9NB,53.0544,-2.9673
900717,LL13 9ND,53.0547,-2.9673
900718,LL13 9NE,53.0540,-2.9676
900719,LL13 9NF,53.0541,-2.9684
900720,LL13 9NG,53.0509,-2.9696
900721,LL13 9NH,53.0526,-2.9682
900722,LL13 9NJ,53.0605,-2.9656
900723,LL13 9NN,53.0488,-2.9665
900724,LL13 9NP,53.0469,-2.9654
900725,LL13 7YP,53.0490,-3.0141
900726,LL13 7YR,53.0413,-2.9987
900727,LL13 7YT,53.0489,-3.0097
900728,LL13 7YW,53.0491,-3.0104
900729,LL13 7YX,53.0488,-3.0109
900730,LL13 7YY,53.0509,-3.0113
900736,LL13 8AD,53.0459,-2.9924
900737,LL13 8AE,53.0464,-2.9925
900738,LL13 8AH,53.0473,-2.9916
900740,LL13 8AZ,53.0463,-2.9932
900741,LL13 8BA,53.0458,-2.9913
900742,LL13 8BB,53.0466,-2.9913
900743,LL13 8BD,53.0456,-2.9916
900744,LL13 8BE,53.0462,-2.9913
900745,LL13 8BG,53.0475,-2.9920
900746,LL13 8BS,53.0454,-2.9913
900747,LL13 8BT,53.0454,-2.9903
900748,LL13 8BX,53.0457,-2.9900
900749,LL13 8BY,53.0462,-2.9898
900750,LL13 8DA,53.0463,-2.9890
900751,LL13 8DB,53.0455,-2.9892
900752,LL13 8DE,53.0471,-2.9873
900753,LL13 8DG,53.0445,-2.9886
900754,LL13 8DH,53.0471,-2.9907
900755,LL13 8DJ,53.0443,-2.9900
900756,LL13 8DL,53.0427,-2.9889
900757,LL13 8DN,53.0440,-2.9912
900758,LL13 8DP,53.0448,-2.9901
900759,LL13 8DQ,53.0420,-2.9833
900760,LL13 8DS,53.0434,-2.9880
900761,LL13 8DT,53.0423,-2.9864
900762,LL13 8DU,53.0419,-2.9846
900763,LL13 8DW,53.0437,-2.9909
900765,LL13 8DZ,53.0431,-2.9875
900766,LL13 8EA,53.0411,-2.9855
900767,LL13 8EB,53.0438,-2.9861
900768,LL13 8ED,53.0425,-2.9856
900769,LL13 8EE,53.0432,-2.9845
900770,LL13 8EF,53.0438,-2.9838
900771,LL13 8EG,53.0439,-2.9817
900772,LL13 8EH,53.0436,-2.9832
900773,LL13 8EJ,53.0429,-2.9823
900774,LL13 8EL,53.0437,-2.9827
900775,LL13 8EN,53.0447,-2.9854
900776,LL13 8EP,53.0443,-2.9845
900777,LL13 8ER,53.0444,-2.9834
900778,LL13 8ES,53.0446,-2.9822
900779,LL13 8ET,53.0458,-2.9825
900780,LL13 8EU,53.0452,-2.9833
900781,LL13 8EY,53.0451,-2.9838
900782,LL13 8HA,53.0450,-2.9847
900783,LL13 8HB,53.0456,-2.9844
900784,LL13 8HD,53.0456,-2.9856
900785,LL13 8HE,53.0450,-2.9855
900786,LL13 8HF,53.0461,-2.9875
900787,LL13 8HH,53.0471,-2.9830
900788,LL13 8HL,53.0500,-2.9860
900789,LL13 8HP,53.0452,-2.9924
900790,LL13 8HR,53.0448,-2.9923
900791,LL13 8HY,53.0450,-2.9925
900792,LL13 8JA,53.0358,-2.9679
900793,LL13 8JB,53.0359,-2.9664
900794,LL13 8JD,53.0352,-2.9674
900795,LL13 8JE,53.0355,-2.9661
900796,LL13 8JF,53.0349,-2.9663
900797,LL13 8JG,53.0349,-2.9677
900798,LL13 8JH,53.0350,-2.9670
900799,LL13 8JJ,53.0345,-2.9687
900800,LL13 8JL,53.0341,-2.9682
900801,LL13 8JQ,53.0348,-2.9661
900802,LL13 9NQ,53.0611,-2.9655
900803,LL13 9NR,53.0447,-2.9649
900804,LL13 9NS,53.0436,-2.9655
900805,LL13 9NT,53.0428,-2.9659
900806,LL13 9NU,53.0421,-2.9661
900807,LL13 9NW,53.0479,-2.9658
900808,LL13 9NX,53.0432,-2.9699
900809,LL13 9NY,53.0412,-2.9658
900810,LL13 9NZ,53.0609,-2.9669
900811,LL13 9PA,53.0396,-2.9654
900812,LL13 9PB,53.0400,-2.9665
900813,LL13 9PD,53.0401,-2.9675
900814,LL13 9PE,53.0416,-2.9681
900815,LL13 9PF,53.0425,-2.9693
900816,LL13 9PG,53.0431,-2.9707
900817,LL13 9PH,53.0399,-2.9097
900818,LL13 9PJ,53.0559,-2.9608
900819,LL13 9PN,53.0418,-2.9196
900820,LL13 9PQ,53.0382,-2.9065
900821,LL13 9PR,53.0298,-2.9370
900822,LL13 9PS,53.0372,-2.9320
900823,LL13 9PT,53.0335,-2.9366
900824,LL13 9PU,53.0351,-2.9348
900825,LL13 8LD,53.0450,-2.9924
900828,LL13 8LP,53.0452,-2.9913
900829,LL13 8LS,53.0448,-2.9932
900830,LL13 8LU,53.0446,-2.9939
900831,LL13 8LW,53.0446,-2.9914
900832,LL13 8LY,53.0447,-2.9928
900833,LL13 8NA,53.0448,-2.9940
900834,LL13 8NB,53.0448,-2.9941
900835,LL13 8NE,53.0501,-2.9844
900836,LL13 8NF,53.0507,-2.9818
900837,LL13 8NG,53.0511,-2.9802
900838,LL13 8NH,53.0410,-2.9888
900839,LL13 8NL,53.0407,-2.9872
900840,LL13 8NN,53.0401,-2.9848
900841,LL13 8NR,53.0368,-2.9809
900842,LL13 8NS,53.0414,-2.9885
900843,LL13 8NT,53.0412,-2.9873
900844,LL13 8NU,53.0411,-2.9868
900845,LL13 8NW,53.0385,-2.9824
900846,LL13 8NX,53.0378,-2.9806
900847,LL13 8NY,53.0415,-2.9880
900848,LL13 8PA,53.0413,-2.9861
900849,LL13 8PE,53.0407,-2.9832
900850,LL13 8PF,53.0403,-2.9826
900851,LL13 8PG,53.0399,-2.9838
900852,LL13 8PH,53.0409,-2.9842
900853,LL13 8PL,53.0408,-2.9818
900854,LL13 8PN,53.0389,-2.9813
900855,LL13 8PP,53.0397,-2.9799
900856,LL13 8PR,53.0393,-2.9812
900857,LL13 8PS,53.0391,-2.9793
900858,LL13 8PT,53.0401,-2.9795
900859,LL13 8PU,53.0406,-2.9803
900860,LL13 8PW,53.0401,-2.9807
900861,LL13 8PY,53.0402,-2.9790
900862,LL13 8QA,53.0393,-2.9833
900863,LL13 8QH,53.0364,-2.9798
900864,LL13 8QJ,53.0360,-2.9836
900865,LL13 8QL,53.0358,-2.9847
900866,LL13 8QN,53.0352,-2.9837
900867,LL13 8QP,53.0355,-2.9821
900868,LL13 8QR,53.0371,-2.9821
900869,LL13 8QS,53.0365,-2.9819
900870,LL13 8QT,53.0355,-2.9809
900871,LL13 8QU,53.0361,-2.9828
900872,LL13 8QW,53.0356,-2.9826
900873,LL13 8QX,53.0365,-2.9824
900874,LL13 8QY,53.0369,-2.9826
900875,LL13 8QZ,53.0377,-2.9823
900876,LL13 8RA,53.0391,-2.9779
900877,LL13 8RB,53.0400,-2.9823
900878,LL13 8RD,53.0367,-2.9839
900879,LL13 8RE,53.0381,-2.9837
900880,LL13 8RG,53.0495,-2.9843
900881,LL13 8RH,53.0504,-2.9812
900882,LL13 8RL,53.0509,-2.9793
900883,LL13 8RN,53.0499,-2.9823
900884,LL13 8RP,53.0491,-2.9795
900885,LL13 8RR,53.0492,-2.9810
900886,LL13 8RS,53.0496,-2.9804
900887,LL13 8RT,53.0504,-2.9803
900888,LL13 8RU,53.0504,-2.9785
900889,LL13 8RW,53.0500,-2.9815
900890,LL13 8RY,53.0498,-2.9783
900891,LL13 8SA,53.0499,-2.9776
900892,LL13 8SB,53.0498,-2.9767
900893,LL13 8SD,53.0497,-2.9773
900894,LL13 8SE,53.0490,-2.9780
900895,LL13 8SF,53.0485,-2.9785
900896,LL13 8SG,53.0484,-2.9790
900897,LL13 8SH,53.0478,-2.9792
900898,LL13 8SJ,53.0416,-2.9795
900899,LL13 8SL,53.0474,-2.9805
900900,LL13 8SN,53.0460,-2.9791
