id,postcode,lat,lon
848025,LU7 0JZ,51.8992,-0.7324
848026,LU7 0LA,51.8997,-0.7584
848027,LU7 0LB,51.8975,-0.7492
848028,LU7 0LD,51.9051,-0.7488
848029,LU7 0LE,51.8941,-0.7751
848030,LU7 0LF,51.8925,-0.7768
848031,LU7 0LG,51.8907,-0.7784
848032,LU7 0LH,51.8915,-0.7816
848033,LU7 0LJ,51.8931,-0.7806
848034,LU7 0LL,51.8920,-0.7821
848035,LU7 0LN,51.8922,-0.7823
848036,LU7 0LP,51.8907,-0.7851
848037,LU7 0LQ,51.8920,-0.7814
848038,LU7 0LR,51.9035,-0.7660
848039,LU7 0LS,51.9003,-0.7788
848040,LU7 0LT,51.9111,-0.7847
848041,LU7 0LU,51.9107,-0.7647
848042,LU7 0LW,51.8917,-0.7849
848043,LU7 0LX,51.8907,-0.7836
848044,LU7 0LY,51.8926,-0.7799
848045,LU7 0LZ,51.9033,-0.7225
848046,LU7 0NA,51.8925,-0.7807
848047,LU7 0NB,51.8923,-0.7813
848048,LU7 0ND,51.8981,-0.7134
848049,LU7 0NE,51.8980,-0.7162
848050,LU7 0NF,51.8988,-0.7143
848051,LU7 0NG,51.8996,-0.7147
848052,LU7 0NH,51.8997,-0.7174
848053,LU7 0NJ,51.8977,-0.7157
848054,LU7 0NL,51.8970,-0.7163
848055,LU7 0NN,51.8973,-0.7152
848056,LU7 0NP,51.8966,-0.7167
848057,LU7 0NQ,51.8989,-0.7173
848058,LU7 0NR,51.8958,-0.7200
848059,LU7 0NS,51.8957,-0.7203
848060,LU7 0NT,51.8957,-0.7182
848061,LU7 0NU,51.8957,-0.7214
848062,LU7 0NW,51.8956,-0.7168
848063,LU7 0NX,51.8954,-0.7215
848064,LU7 0NY,51.8945,-0.7208
848065,LU7 0NZ,51.8937,-0.7199
848066,LU7 0PA,51.8934,-0.7169
848067,LU7 0PB,51.8936,-0.7187
848068,LU7 0PD,51.8923,-0.7201
848069,LU7 0PE,51.8881,-0.7276
848070,LU7 0PF,51.8821,-0.7291
848071,LU7 0PG,51.8796,-0.7459
848072,LU7 0PH,51.8972,-0.7170
848073,LU7 0PJ,51.8985,-0.7160
848074,LU7 0PL,51.8946,-0.7203
848075,LU7 0PN,51.9078,-0.6828
848076,LU7 0PP,51.9009,-0.6956
848077,LU7 0PQ,51.8942,-0.7203
848078,LU7 0PR,51.8966,-0.7063
848079,LU7 0PS,51.8979,-0.7091
848080,LU7 0PT,51.8956,-0.7058
848081,LU7 0PU,51.8932,-0.7082
848082,LU7 0PW,51.9029,-0.7057
848083,LU7 0PX,51.8878,-0.6899
848084,LU7 0PY,51.8878,-0.6890
848085,LU7 0PZ,51.8882,-0.6914
848086,LU7 0QA,51.8877,-0.6885
848087,LU7 0QB,51.8897,-0.6866
848088,LU7 0QD,51.8808,-0.6770
848089,LU7 0QE,51.8708,-0.6827
848090,LU7 0QF,51.8694,-0.6832
848125,LU7 0QG,51.8691,-0.6870
848126,LU7 0QH,51.8682,-0.6906
848127,LU7 0QJ,51.8668,-0.7062
848128,LU7 0QL,51.8687,-0.7101
848129,LU7 0QN,51.8628,-0.6754
848130,LU7 0QP,51.8639,-0.6601
848131,LU7 0QQ,51.8698,-0.6889
848132,LU7 0QR,51.8659,-0.6574
848133,LU7 0QS,51.8854,-0.6699
848134,LU7 0QT,51.8836,-0.6625
848135,LU7 0QU,51.8936,-0.6669
848136,LU7 0QW,51.8612,-0.6619
848138,LU7 0RA,51.8818,-0.7091
848139,LU7 0RB,51.8992,-0.7125
848140,LU7 0RD,51.8995,-0.7123
848141,LU7 0RE,51.8994,-0.7128
848142,LU7 0RG,51.8456,-0.6606
848143,LU7 0RH,51.8457,-0.6627
848144,LU7 0RJ,51.8470,-0.6645
848145,LU7 0RL,51.8466,-0.6661
848146,LU7 0RN,51.8450,-0.6683
848147,LU7 0RP,51.8475,-0.6706
848148,LU7 0RQ,51.8455,-0.6613
848149,LU7 0RR,51.8455,-0.6699
848150,LU7 0RS,51.8465,-0.6748
848151,LU7 0RT,51.8472,-0.6668
848152,LU7 0RU,51.8492,-0.6626
848153,LU7 0RW,51.8460,-0.6685
848154,LU7 0RX,51.8492,-0.6632
848155,LU7 0RY,51.8480,-0.6610
848156,LU7 0RZ,51.8486,-0.6622
848157,LU7 0SA,51.8480,-0.6649
848158,LU7 0SB,51.8484,-0.6660
848159,LU7 0SD,51.8492,-0.6659
848160,LU7 0SE,51.8517,-0.6682
848161,LU7 0SF,51.8546,-0.6650
848162,LU7 0SG,51.8550,-0.6642
848163,LU7 0SH,51.8571,-0.6608
848164,LU7 0SJ,51.8457,-0.6622
848165,LU7 0SL,51.8451,-0.6619
848166,LU7 0SN,51.8498,-0.6655
848167,LU7 0SP,51.8447,-0.6678
848168,LU7 0SQ,51.8572,-0.6620
848169,LU7 0SR,51.8452,-0.6655
848170,LU7 0SS,51.8463,-0.6653
848171,LU7 0ST,51.8456,-0.6686
848172,LU7 0SU,51.8481,-0.6609
848173,LU7 0SX,51.8499,-0.6638
848174,LU7 0SY,51.8498,-0.6646
848175,LU7 0SZ,51.8357,-0.6554
848176,LU7 0TA,51.8969,-0.7196
848177,LU7 0TB,51.8999,-0.7209
848178,LU7 0TD,51.8994,-0.7194
848179,LU7 0TE,51.8985,-0.7193
848180,LU7 0TF,51.8998,-0.7201
848181,LU7 0TG,51.9012,-0.7157
848182,LU7 0TH,51.9001,-0.7154
