id,postcode,lat,lon
1333724,M1 2HA,53.4794,-2.2305
1333725,M1 2HB,53.4803,-2.2335
1333726,M1 2HD,53.4815,-2.2332
1333727,M1 2HE,53.4815,-2.2332
1333728,M1 2HF,53.4812,-2.2329
1333729,M1 2HG,53.4802,-2.2322
1333730,M1 2HH,53.4807,-2.2325
1333731,M1 2HJ,53.4807,-2.2325
1333732,M1 2HL,53.4803,-2.2335
1333733,M1 2HN,53.4808,-2.2333
1333734,M1 2HP,53.4803,-2.2327
1333735,M1 2HR,53.4805,-2.2329
1333736,M1 2HS,53.4805,-2.2323
1333737,M1 2HT,53.4794,-2.2320
1333738,M1 2HU,53.4812,-2.2350
1333739,M1 2HW,53.4777,-2.2195
1333740,M1 2HX,53.4794,-2.2328
1333741,M1 2HY,53.4795,-2.2328
1333742,M1 2HZ,53.4794,-2.2320
