id,postcode,lat,lon
1333743,M1 2JA,53.4781,-2.2300
1333744,M1 2JB,53.4796,-2.2313
1333745,M1 2JD,53.4794,-2.2320
1333746,M1 2JE,53.4794,-2.2320
1333747,M1 2JF,53.4803,-2.2290
1333748,M1 2JG,53.4810,-2.2273
1333749,M1 2JH,53.4794,-2.2305
1333750,M1 2JJ,53.4791,-2.2311
1333751,M1 2JL,53.4804,-2.2290
1333752,M1 2JN,53.4799,-2.2281
1333753,M1 2JP,53.4812,-2.2273
1333754,M1 2JQ,53.4809,-2.2267
1333755,M1 2JS,53.4802,-2.2271
1333756,M1 2JU,53.4803,-2.2290
1333757,M1 2JW,53.4804,-2.2286
1333758,M1 2JX,53.4806,-2.2282
1333759,M1 2JY,53.4813,-2.2284
1333760,M1 2JZ,53.4811,-2.2279
